params/clip_range,params/use_sde,params/rollout_buffer_class,params/policy,params/gae_lambda,params/rollout_buffer_kwargs,mean_reward,params/learning_rate,params/stats_window_size,params/batch_size,time/iterations,time/fps,params/gamma,params/verbose,rollout/ep_len_mean,params/normalize_advantage,params/policy_kwargs,params/n_epochs,params/seed,rollout/ep_rew_mean,time/time_elapsed,params/ent_coef,params/_init_setup_model,params/max_grad_norm,params/n_steps,time/total_timesteps,params/vf_coef,params/sde_sample_freq,params/clip_range_vf,params/device,train/explained_variance,train/approx_kl,train/entropy_loss,train/loss,train/learning_rate,train/value_loss,train/clip_range,train/clip_fraction,train/n_updates,train/policy_gradient_loss,eval/mean_reward,eval/mean_ep_length
0.2,False,,"MlpPolicy",0.95,,1.5634253,<function learning_rate_schedule.<locals>.<lambda> at 0x354c0e310>,100,750,1,15,0.99,1,15.0,True,{'net_arch': [{'pi': [256, 256, 128], 'vf': [256, 256, 128]}]},30,69,1.3139817000000003,49,0.03,True,0.7,750,750,0.5,-1,,"auto",,,,,,,,,,,,
,,,,,,1.3147157,,,,2,15,,,15.0,,,,,1.3310018000000001,97,,,,,1500,,,,,-0.08413875102996826,0.014260936,-1.0334255377451578,-0.031319014728069305,9.998125e-05,0.11252969255050023,0.2,0.1832888894714415,16410,-0.029805437775742672,,
,,,,,,1.3474492,,,,3,15,,,15.0,,,,,1.3923676600000001,145,,,,,2250,,,,,0.08249205350875854,0.013139738,-1.0516517440478006,-0.028747867792844772,9.99625e-05,0.1390198563536008,0.2,0.1325333341335257,16440,-0.033432754972121795,,
,,,,,,1.438137,,,,4,15,,,15.0,,,,,1.42411502,194,,,,,3000,,,,,-0.13402831554412842,0.010065872,-1.0536712606747944,-0.0465318039059639,9.994375e-05,0.0769725243250529,0.2,0.10542222249011199,16470,-0.026779567371515788,,
,,,,,,1.4112531,,,,5,15,,,15.0,,,,,1.35846367,242,,,,,3750,,,,,-0.005296826362609863,0.0143287,-1.0812119404474894,-0.060761578381061554,9.9925e-05,0.06314080568651358,0.2,0.14720000102339934,16500,-0.03312419014206777,,
,,,,,,1.3051666,,,,6,15,,,15.0,,,,,1.3131617800000002,290,,,,,4500,,,,,-0.019632339477539062,0.016501633,-1.0919106443723043,-0.029331054538488388,9.990625e-05,0.130746624370416,0.2,0.16004444377807278,16530,-0.03260408592509722,,
,,,,,,1.3203073,,,,,,,,,,,,,,,,,,,5000,,,,,-0.056566715240478516,0.011316283,-1.1077277898788451,-0.02569560706615448,9.988750000000001e-05,0.1303850881755352,0.2,0.14213333413936197,16560,-0.03123459825724777,1.579325532913208,15.0
,,,,,,,,,,7,15,,,15.05,,,,,1.2780046200000001,343,,,,,5250,,,,,,,,,,,,,,,,
,,,,,,1.2143118,,,,8,15,,,15.05,,,,,1.2843330600000002,391,,,,,6000,,,,,0.03719496726989746,0.013144698,-1.066830337047577,-0.037791892886161804,9.986875000000001e-05,0.12002108469605446,0.2,0.1597333338732521,16590,-0.0355844343899232,,
,,,,,,1.3531264,,,,9,15,,,15.0,,,,,1.3556947400000001,440,,,,,6750,,,,,-0.008103132247924805,0.013018334,-1.109229854742686,-0.049524370580911636,9.985000000000001e-05,0.08423498570919037,0.2,0.17035555453815807,16620,-0.03015335490931245,,
,,,,,,1.3783486,,,,10,15,,,15.0,,,,,1.4288386700000002,488,,,,,7500,,,,,0.07054561376571655,0.013838555,-1.0979780197143554,-0.039460718631744385,9.983125e-05,0.10711393877863884,0.2,0.15004444470008213,16650,-0.034214152219622505,,
,,,,,,1.4616318,,,,11,15,,,15.0,,,,,1.3658175599999998,536,,,,,8250,,,,,-0.030230998992919922,0.011408768,-1.1005170424779256,-0.048948757350444794,9.98125e-05,0.06129091680049896,0.2,0.1656000009427468,16680,-0.025111015485496147,,
,,,,,,1.2314819,,,,12,15,,,15.0,,,,,1.26074575,584,,,,,9000,,,,,0.00036895275115966797,0.012665361,-1.120435889561971,-0.03830259293317795,9.979375e-05,0.12054866825540861,0.2,0.13333333351183682,16710,-0.033045944534231826,,
