player,fpts,pos,source,source_url,fpts_halfppr_adjust
Bucky Irving,60.400000000000006,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Braelon Allen,59.005,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Ray Davis,63.1,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Audric Estime,59.325,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Roschon Johnson,61.455000000000005,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Tyrone Tracy Jr.,55.675,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Jamaal Williams,50.01,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Dylan Laube,43.835,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Kenneth Gainwell,40.97,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Miles Sanders,40.655,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
D'Onta Foreman,35.93,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Deuce Vaughn,32.98,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Clyde Edwards-Helaire,26.29,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
A.,24.005,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Cordarrelle Patterson,27.92,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Deneric Prince,23.060000000000002,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Evan Hull,22.669999999999998,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Rashaad Penny,20.325000000000003,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Chase Edmonds,19.45,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Royce Freeman,18.92,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Eric Gray,19.445,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Jaylen Wright,17.0,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Trey Sermon,15.815000000000001,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Kyle Juszczyk,13.325,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Samaje Perine,12.17,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Ty Johnson,12.07,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
D'Ernest Johnson,11.614999999999998,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Jordan Mason,10.34,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Trayveon Williams,11.02,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Ameer Abdullah,10.58,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Kene Nwangwu,10.489999999999998,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
JaMycal Hasty,9.895,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Nyheim Hines,9.265,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Malik Davis,9.440000000000001,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Hunter Luepke,9.33,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Keaontay Ingram,8.075,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Sean Tucker,7.970000000000001,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Justice Hill,8.68,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Israel Abanikanda,7.745,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Gary Brightwell,7.569999999999999,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Michael Carter,7.745,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Reggie Gilliam,7.16,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Cam Akers,6.0,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Avery Williams,5.914999999999999,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Michael Burton,6.445,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Tucker Fisk,6.734999999999999,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Nick Bawden,5.43,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
DeeJay Dallas,5.17,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Kevin Harris,5.135,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Jashaun Corbin,5.1,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Spencer Brown,5.04,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Giovanni Ricci,5.3100000000000005,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Boston Scott,4.755,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Darrynton Evans,4.825,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Craig Reynolds,4.775,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Snoop Conner,4.675,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Andrew Beck,4.675,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Jermar Jefferson,4.66,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Jake Funk,4.63,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Zonovan Knight,4.625,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Travis Homer,4.5649999999999995,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Ronnie Rivers,4.495,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Zach Evans,4.484999999999999,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Chris Evans,4.57,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Jeff Wilson,4.53,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Dare Ogunbowale,4.5,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
J.,4.545,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Patrick Ricard,4.33,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Emanuel Wilson,4.495,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Alec Ingold,4.485,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Patrick Taylor,4.34,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
James Robinson,4.4,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Khari Blasingame,4.32,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Salvon Ahmed,4.36,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Pierre Strong Jr.,4.26,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Chris Brooks,4.365,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Tyrion Davis-Price,4.220000000000001,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
C.,4.205,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
John Kelly,4.22,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
Adam Prentice,4.3,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
