fpts,fpts_ci,rank_pos,def_pts_allowed,def_yd_allowed,def_sack,def_int,def_fum,def_td,player,team,pos,source,source_url,fpts_halfppr_adjust
111.04,86.71-135.37,#23,397.7,5905.5,46.58,11.11,8.68,2.6,"Denver D/ST  DEN D/ST  (D, DEN)",DEN,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
109.63,85.39-133.87,#24,406.4,5812.1,45.45,12.6,7.98,2.67,"Los Angeles Rams D/ST  LA D/ST  (D, LA)",LA,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
109.38,85.13-133.63,#25,395.9,6070.9,41.72,12.68,8.2,2.67,"Arizona D/ST  ARI D/ST  (D, ARI)",ARI,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
109.33,85.1-133.56,#26,403.0,6054.4,42.77,13.12,8.06,2.72,"Detroit D/ST  DET D/ST  (D, DET)",DET,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
108.82,84.59-133.05,#27,385.0,5844.9,37.77,12.59,8.27,2.83,"Chicago D/ST  CHI D/ST  (D, CHI)",CHI,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
108.18,84-132.36,#28,403.7,5866.3,43.87,11.9,8.4,2.62,"Jacksonville D/ST  JAC D/ST  (D, JAC)",JAC,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
107.86,83.69-132.03,#29,401.1,5940.0,43.29,11.53,8.66,2.57,"Tennessee D/ST  TEN D/ST  (D, TEN)",TEN,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
106.62,82.51-130.73,#30,416.0,5800.9,47.62,11.39,8.13,2.49,"Minnesota D/ST  MIN D/ST  (D, MIN)",MIN,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
99.05,75.32-122.78,#31,420.7,5767.9,42.3,11.3,8.09,2.41,"New England D/ST  NE D/ST  (D, NE)",NE,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
95.96,72.37-119.55,#32,415.0,5670.2,36.5,11.47,8.45,2.45,"Carolina D/ST  CAR D/ST  (D, CAR)",CAR,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
