player,fpts,pos,source,source_url,fpts_halfppr_adjust
"Baltimore D/ST  BAL D/ST  (D, BAL)",137.13,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
"Kansas City D/ST  KC D/ST  (D, KC)",134.2,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
"Philadelphia D/ST  PHI D/ST  (D, PHI)",132.15,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
"Cincinnati D/ST  CIN D/ST  (D, CIN)",131.04,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
"New York Jets D/ST  NYJ D/ST  (D, NYJ)",128.73,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
"Pittsburgh D/ST  PIT D/ST  (D, PIT)",125.8,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
"San Francisco D/ST  SF D/ST  (D, SF)",124.45,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
"Los Angeles Chargers D/ST  LAC D/ST  (D, LAC)",124.06,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
"Tampa Bay D/ST  TB D/ST  (D, TB)",122.85,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
"Atlanta D/ST  ATL D/ST  (D, ATL)",122.44,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
"Dallas D/ST  DAL D/ST  (D, DAL)",122.38,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
"Miami D/ST  MIA D/ST  (D, MIA)",121.3,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
"Houston D/ST  HOU D/ST  (D, HOU)",119.08,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
"New Orleans D/ST  NO D/ST  (D, NO)",118.59,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
"Washington D/ST  WSH D/ST  (D, WSH)",117.43,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
"Cleveland D/ST  CLE D/ST  (D, CLE)",117.33,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
"Indianapolis D/ST  IND D/ST  (D, IND)",116.96,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
"Green Bay D/ST  GB D/ST  (D, GB)",114.81,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
"Las Vegas D/ST  LV D/ST  (D, LV)",114.46,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
"Buffalo D/ST  BUF D/ST  (D, BUF)",113.33,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
"Seattle D/ST  SEA D/ST  (D, SEA)",112.32,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
"New York Giants D/ST  NYG D/ST  (D, NYG)",112.2,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
"Denver D/ST  DEN D/ST  (D, DEN)",111.04,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
"Los Angeles Rams D/ST  LA D/ST  (D, LA)",109.63,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
"Arizona D/ST  ARI D/ST  (D, ARI)",109.38,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
"Detroit D/ST  DET D/ST  (D, DET)",109.33,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
"Chicago D/ST  CHI D/ST  (D, CHI)",108.82,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
"Jacksonville D/ST  JAC D/ST  (D, JAC)",108.18,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
"Tennessee D/ST  TEN D/ST  (D, TEN)",107.86,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
"Minnesota D/ST  MIN D/ST  (D, MIN)",106.62,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
"New England D/ST  NE D/ST  (D, NE)",99.05,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
"Carolina D/ST  CAR D/ST  (D, CAR)",95.96,d,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/d,False
