fpts,fpts_ci,rank_overall,rank_pos,pass_yd,pass_td,pass_int,rush_att,rush_yd,rush_td,player,team,pos,source,source_url,fpts_halfppr_adjust,pass_cmp,pass_att
137.44,108.95-165.93,#97,#30,2007.77,14.26,6.99,25.98,113.49,1.03,J.J. McCarthy,MIN,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,188.61,297.98
121.49,93.46-149.52,#111,#31,1774.92,11.65,5.78,28.22,116.03,1.27,Gardner Minshew,LV,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,166.62,265.01
121.02,93-149.04,#113,#32,1968.49,11.15,9.16,25.98,106.37,1.52,Sam Darnold,MIN,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,186.35,296.08
112.71,84.95-140.47,#120,#33,1852.69,7.38,6.34,40.77,177.97,1.28,Drake Maye,NE,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,168.65,264.51
109.65,82-137.3,#127,#34,1759.18,10.14,7.87,23.53,94.77,1.22,Aidan O'Connell,LV,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,166.33,264.92
109.27,81.63-136.91,#128,#35,1888.77,7.41,5.38,27.2,111.66,1.09,Jacoby Brissett,NE,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,172.01,263.69
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Joe Flacco,IND,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Josh Johnson,BAL,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Andy Dalton,CAR,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Tyrod Taylor,NYJ,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Case Keenum,HOU,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Jimmy Garoppolo,LA,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Jameis Winston,CLE,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
0.0,-19.13-19.13,#544,#36,0.0,0.0,0.0,0.0,0.0,0.0,Marcus Mariota,WSH,qb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/qb,False,0.0,0.0
