fpts,fpts_ci,rank_overall,rank_pos,rush_att,rush_yd,rush_td,rec_rcpt,rec_tgt,rec_yd,rec_td,player,team,pos,source,source_url,fpts_halfppr_adjust
351.635,274.9-352.16,#7,#1,314.95,1453.5,13.36,76.21,99.73,598.2,5.25,Christian McCaffrey,SF,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
288.33000000000004,219.46-287.14,#26,#2,309.62,1359.9,7.42,70.06,93.75,536.85,3.6,Breece Hall,NYJ,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
281.685,213.51-280.17,#29,#3,289.22,1246.59,7.99,69.69,91.25,535.3,4.32,Bijan Robinson,ATL,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
250.26,201.03-265.53,#32,#4,311.06,1435.34,9.55,33.96,46.69,240.87,1.66,Jonathan Taylor,IND,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
253.285,193.52-256.76,#35,#5,295.23,1238.33,8.69,56.29,84.15,346.74,2.81,Saquon Barkley,PHI,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
240.6,191.24-254.06,#36,#6,286.56,1259.79,10.23,35.9,52.64,271.3,2.16,Kyren Williams,LA,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
252.88000000000002,191.21-254.01,#37,#7,243.95,1077.79,8.92,60.54,84.11,434.27,3.38,Jahmyr Gibbs,DET,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
231.73,189.31-251.81,#38,#8,296.7,1340.14,10.22,22.34,30.15,179.73,1.15,Derrick Henry,BAL,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
236.185,184.28-245.9,#40,#9,256.64,1122.52,9.65,42.19,56.54,339.58,2.35,Josh Jacobs,GB,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
235.82,182.88-244.26,#41,#10,273.07,1161.2,8.84,44.5,59.51,326.68,1.88,Travis Etienne,JAC,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
230.075,181.24-242.34,#42,#11,279.2,1120.61,9.96,36.57,47.41,287.4,1.83,Joe Mixon,HOU,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
226.25,176.81-237.13,#44,#12,278.98,1226.38,8.35,38.56,51.17,267.87,2.01,Isiah Pacheco,KC,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
233.86,176.74-237.06,#45,#13,222.15,1034.42,8.28,53.92,71.18,390.85,2.8,De'Von Achane,MIA,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
213.685,170.2-229.42,#47,#14,268.73,1174.58,9.2,27.75,37.66,201.02,1.33,Kenneth Walker III,SEA,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
221.745,169.56-228.64,#48,#15,243.21,1078.48,6.56,45.29,62.22,390.22,2.86,James Cook,BUF,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
224.14999999999998,169.06-228.08,#49,#16,282.83,1107.07,7.32,51.16,68.21,357.96,2.44,Rachaad White,TB,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
201.265,155.92-212.66,#53,#17,232.95,1020.03,8.56,33.95,45.62,237.62,1.73,D'Andre Swift,CHI,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
214.365,154.14-210.54,#54,#18,213.5,871.6,5.74,64.05,85.76,416.33,3.13,Alvin Kamara,NO,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
198.05,150.42-206.2,#55,#19,216.59,1050.77,6.51,39.48,59.41,266.0,1.93,Aaron Jones,MIN,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
196.185,147.45-202.73,#56,#20,244.7,1051.29,5.92,42.19,58.12,292.87,1.31,Rhamondre Stevenson,NE,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
183.26500000000001,144.75-199.55,#58,#21,187.66,835.29,10.66,22.23,30.06,179.3,1.42,David Montgomery,DET,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
182.68,140.46-194.52,#61,#22,247.08,1016.67,6.71,30.38,42.4,204.66,1.14,Zamir White,LV,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
181.15,138.7-192.46,#63,#23,253.46,1011.89,6.55,31.14,41.76,173.82,1.63,Najee Harris,PIT,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
172.37,132.71-185.45,#66,#24,229.06,963.56,6.28,26.58,35.48,172.38,1.25,Zack Moss,CIN,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
169.96,128.86-180.94,#74,#25,222.68,977.0,4.93,30.12,40.65,224.81,1.05,Jonathon Brooks,CAR,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
165.745,125.72-177.22,#76,#26,202.02,889.26,6.05,28.55,40.02,213.21,1.21,Tony Pollard,TEN,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
165.22,125.7-177.22,#77,#27,207.9,883.78,6.51,27.52,37.54,178.98,0.98,James Conner,ARI,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
162.13,123.37-174.49,#81,#28,216.46,915.7,6.26,26.4,34.87,162.14,0.78,Devin Singletary,NYG,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
154.62,116.34-166.24,#92,#29,159.94,788.54,6.35,26.66,35.56,196.73,1.32,Raheem Mostert,MIA,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
153.78,115.95-165.81,#93,#30,194.9,769.15,6.66,25.8,36.21,162.15,1.6,Ezekiel Elliott,DAL,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
163.435,115.34-165.06,#95,#31,167.26,749.66,4.46,46.47,61.4,290.46,2.27,Jaylen Warren,PIT,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
147.375,107.96-156.98,#101,#32,190.45,768.24,4.77,29.81,40.86,205.9,1.18,Jerome Ford,CLE,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
141.15,103.87-151.61,#103,#33,183.66,746.01,4.7,26.82,37.33,205.3,0.92,Tyjae Spears,TEN,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
137.425,100.01-147.09,#107,#34,162.46,683.62,4.87,27.75,38.19,222.81,0.98,Brian Robinson,WSH,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
148.85,99.14-146.08,#108,#35,137.15,575.97,3.11,52.48,73.45,384.89,2.08,Austin Ekeler,WSH,rb,NumberFire,https://www.numberfire.com/nfl/fantasy/remaining-projections/rb,True
