rank,name,team,position,games_played,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,sacks,def_int,fumbles_forced,fumbles_rec,fpts_per_game,fpts
1,Tom Brady,NE,QB,16,4806,50,8,98,2,0,0,0,0,0,0,0,24.4,390.0
2,LaDainian Tomlinson,LAC,RB,16,17,1,0,1474,15,60,475,3,0,0,0,0,21.1,337.6
3,Randy Moss,NE,WR,16,0,0,0,0,0,98,1493,23,0,0,0,0,21.0,336.3
4,Brian Westbrook,PHI,RB,15,0,0,0,1333,7,90,771,5,0,0,0,0,21.7,325.4
5,Tony Romo,DAL,QB,16,4211,36,19,129,2,0,0,0,0,0,0,0,18.5,295.3
6,Peyton Manning,IND,QB,16,4040,31,14,-5,3,0,0,0,0,0,0,0,17.2,275.1
7,Terrell Owens,DAL,WR,15,0,0,0,5,0,81,1355,15,0,0,0,0,17.8,266.5
8,Braylon Edwards,CLE,WR,16,0,0,0,0,0,80,1289,16,0,0,0,0,16.3,260.9
9,Ben Roethlisberger,PIT,QB,15,3154,32,11,204,2,0,0,0,0,0,0,0,17.4,260.6
10,Drew Brees,NO,QB,16,4423,28,18,52,1,2,10,0,0,0,0,0,16.1,258.1
11,Reggie Wayne,IND,WR,16,0,0,0,4,0,104,1510,10,0,0,0,0,16.1,257.4
12,Joseph Addai,IND,RB,15,0,0,0,1072,12,41,364,3,0,0,0,0,17.1,256.1
13,Derek Anderson,CLE,QB,16,3787,29,19,70,3,0,0,0,0,0,0,0,15.8,252.5
14,Clinton Portis,WAS,RB,16,15,1,0,1262,11,47,389,0,0,0,0,0,15.6,249.2
15,Matt Hasselbeck,SEA,QB,16,3966,28,12,89,0,0,0,0,0,0,0,0,15.3,245.5
16,Larry Fitzgerald,ARI,WR,15,0,0,0,0,0,100,1409,10,0,0,0,0,16.3,244.9
17,Brett Favre,GB,QB,16,4155,28,15,12,0,0,0,0,0,0,0,0,15.2,243.4
18,Adrian Peterson,MIN,RB,14,0,0,0,1341,12,19,268,1,0,0,0,0,17.3,242.4
19,TJ Houshmandzadeh,CIN,WR,16,0,0,0,14,0,112,1143,12,0,0,0,0,15.1,241.7
20,Chad Johnson,CIN,WR,16,0,0,0,47,0,93,1440,8,0,0,0,0,15.1,241.2
21,Marques Colston,NO,WR,16,0,0,0,0,0,98,1202,11,0,0,0,0,14.6,233.2
22,Jamal Lewis,CLE,RB,15,0,0,0,1304,9,30,248,2,0,0,0,0,15.5,232.2
23,Brandon Marshall,DEN,WR,16,0,0,0,57,0,102,1325,7,0,0,0,0,14.3,229.2
24,Carson Palmer,CIN,QB,16,4131,26,20,10,0,0,0,0,0,0,0,0,14.3,228.2
25,Wes Welker,NE,WR,16,0,0,0,34,0,112,1175,8,0,0,0,0,14.1,224.9
26,Marion Barber,DAL,RB,16,0,0,0,975,10,44,282,2,0,0,0,1,13.7,219.7
27,Jay Cutler,DEN,QB,16,3497,20,14,205,1,0,0,0,0,0,0,0,13.1,210.4
28,Frank Gore,SF,RB,15,0,0,0,1102,5,53,436,1,0,0,0,0,14.0,210.3
29,Plaxico Burress,NYG,WR,16,0,0,0,0,0,70,1025,12,0,0,0,0,13.1,209.5
30,Donovan McNabb,PHI,QB,14,3324,19,7,236,0,0,0,0,0,0,0,0,14.9,208.6
31,Torry Holt,LAR,WR,16,0,0,0,0,0,93,1189,7,0,0,0,0,13.0,207.4
32,Willis McGahee,BAL,RB,15,0,0,0,1207,7,43,231,1,0,0,0,0,13.8,207.3
33,Kurt Warner,ARI,QB,14,3417,27,17,15,1,0,0,0,0,0,0,0,14.7,206.2
34,Earnest Graham,TB,RB,15,0,0,0,898,10,49,324,0,0,0,0,0,13.6,204.7
35,Jason Witten,DAL,TE,16,0,0,0,0,0,96,1145,7,0,0,0,0,12.7,202.5
36,Kevin Curtis,PHI,WR,16,0,0,0,0,2,77,1110,6,0,0,0,0,12.3,197.5
37,Tony Gonzalez,KC,TE,16,0,0,0,0,0,99,1172,5,0,0,0,0,12.3,196.7
38,Edgerrin James,ARI,RB,16,0,0,0,1222,7,24,204,0,0,0,0,0,12.3,196.6
39,Bobby Engram,SEA,WR,16,0,0,0,0,0,94,1147,6,0,0,0,0,12.2,195.7
40,Roddy White,ATL,WR,16,0,0,0,-2,0,83,1202,6,0,0,1,0,12.1,193.5
41,Greg Jennings,GB,WR,13,0,0,0,0,0,53,920,12,0,0,0,0,14.7,190.5
42,Jon Kitna,DET,QB,16,4068,18,20,63,0,1,9,0,0,0,0,0,11.9,190.4
43,Steve Smith,CAR,WR,15,0,0,0,66,0,87,1002,7,0,0,0,0,12.7,190.3
44,Antonio Gates,LAC,TE,16,0,0,0,0,0,75,984,9,0,0,0,0,11.9,189.9
45,David Garrard,JAX,QB,12,2509,18,3,185,1,0,0,0,0,0,0,0,15.7,188.9
46,Derrick Mason,BAL,WR,16,0,0,0,0,0,103,1087,5,0,0,0,0,11.8,188.2
47,Maurice Jones-Drew,JAX,RB,15,0,0,0,768,9,40,407,0,0,0,0,0,12.5,187.5
48,Marshawn Lynch,BUF,RB,13,8,1,0,1115,7,18,184,0,0,0,0,0,14.2,185.2
