rank,name,team,position,games_played,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,sacks,def_int,fumbles_forced,fumbles_rec,fpts_per_game,fpts
1,Sam Howell,WAS,QB,3,547,1,1,94,2,0,0,0,0,0,0,0,15.8,47.3
2,Lance McCutcheon,LAR,WR,3,0,0,0,0,0,15,259,2,0,0,0,0,15.1,45.4
3,Bryce Perkins,LAR,QB,3,399,2,0,73,2,0,0,0,0,0,0,0,15.1,45.3
4,Jason Sanders,MIA,K,3,0,0,0,0,0,0,0,0,0,0,0,0,13.7,41.0
5,Sam Ehlinger,IND,QB,3,289,4,0,71,1,0,0,0,0,0,0,0,13.6,40.7
6,Malik Willis,TEN,QB,3,318,2,1,159,1,0,0,0,0,0,0,0,13.5,40.6
7,Skylar Thompson,MIA,QB,3,450,5,0,23,0,0,0,0,0,0,0,0,13.4,40.3
8,DeeJay Dallas,SEA,RB,3,0,0,0,163,1,7,78,1,0,0,0,0,13.2,39.6
9,Daniel Carlson,LV,K,4,0,0,0,0,0,0,0,0,0,0,0,0,9.8,39.0
10,Michael Bandy,LAC,WR,3,0,0,0,0,0,18,172,2,0,0,0,0,12.7,38.2
11,Alex Bachman,NYG,WR,3,0,0,0,0,0,19,166,2,0,0,0,0,12.7,38.1
12,Evan McPherson,CIN,K,3,0,0,0,0,0,0,0,0,0,0,0,0,12.3,37.0
13,Raheem Blackshear,BUF,RB,3,0,0,0,116,2,8,93,0,0,0,0,0,12.3,36.9
14,Anthony Brown Jr.,BAL,QB,3,464,3,1,22,1,0,0,0,0,0,0,0,12.3,36.8
15,Jason Huntley,PHI,RB,3,0,0,0,163,2,8,61,0,0,0,0,0,12.1,36.4
16,Chris Streveler,NYJ,QB,3,277,5,1,71,0,0,0,0,0,0,0,0,12.1,36.2
17,Joshua Dobbs,CLE,QB,3,338,2,0,57,1,0,0,0,0,0,0,0,11.7,35.2
18,Brittain Brown,LV,RB,3,0,0,0,152,2,7,37,0,0,0,0,0,11.5,34.4
19,Tom Kennedy,DET,WR,3,0,0,0,0,0,16,143,2,0,0,0,0,11.4,34.3
20,Jashaun Corbin,NYG,RB,3,0,0,0,73,2,14,76,0,0,0,0,0,11.3,33.9
21,Davis Webb,NYG,QB,3,457,3,0,14,0,0,0,0,0,0,0,0,11.2,33.7
22,Tashawn Bower,LV,DE,4,0,0,0,0,0,0,0,0,4,0,1,1,8.3,33.1
23,Trace McSorley,ARI,QB,3,536,1,2,42,1,0,0,0,0,0,0,0,10.5,31.6
24,Clay Johnston,CIN,LB,3,0,0,0,0,0,0,0,0,1,0,0,0,10.5,31.6
25,Desmond Ridder,ATL,QB,3,431,3,2,58,0,0,0,0,0,0,0,0,10.3,31.0
26,Brandon McManus,DEN,K,3,0,0,0,0,0,0,0,0,0,0,0,0,10.3,31.0
27,Kendric Pryor,CIN,WR,3,0,0,0,3,0,13,182,1,0,0,0,0,10.3,31.0
28,Chase Daniel,LAC,QB,3,341,3,0,29,0,0,0,0,0,0,0,0,10.2,30.5
29,Jerome Ford,CLE,RB,3,0,0,0,88,1,8,71,1,0,0,0,0,10.0,29.9
30,Andy Isabella,ARI,WR,3,0,0,0,0,0,14,226,0,0,0,0,0,9.9,29.6
31,Greg Dortch,ARI,WR,3,0,0,0,0,0,14,164,1,0,0,0,0,9.8,29.4
32,Denzel Mims,NYJ,WR,3,0,0,0,0,0,12,170,1,0,0,0,0,9.7,29.0
33,Tim Jones,JAX,WR,4,0,0,0,0,0,14,219,0,0,0,0,0,7.2,28.9
34,Demarcus Robinson,BAL,WR,3,0,0,0,0,0,8,180,1,0,0,0,0,9.3,28.0
35,Shane Buechele,KC,QB,3,335,3,1,45,0,0,0,0,0,0,0,0,9.3,27.9
36,Dezmon Patmon,IND,WR,3,0,0,0,0,0,9,171,1,0,0,0,0,9.2,27.6
37,Austin Calitro,NYG,ILB,3,0,0,0,0,0,0,0,0,0,2,0,1,9.2,27.5
38,Jarrett Stidham,LV,QB,4,316,0,0,28,2,0,0,0,0,0,0,0,6.9,27.4
39,Zamir White,LV,RB,4,0,0,0,90,2,6,31,0,0,0,0,0,6.8,27.1
40,Tyler Goodson,GB,RB,3,0,0,0,107,1,8,60,0,0,0,0,0,8.9,26.7
41,Lil'Jordan Humphrey,NE,WR,3,0,0,0,0,0,13,140,1,0,0,0,0,8.8,26.5
42,Isaiah Likely,BAL,TE,2,0,0,0,0,0,12,144,1,0,0,0,0,13.2,26.4
