rank,name,team,position,games_played,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,sacks,def_int,fumbles_forced,fumbles_rec,fpts_per_game,fpts
1,Aaron Rodgers,GB,QB,16,4428,40,7,369,4,0,0,0,0,0,0,0,23.8,380.0
2,David Johnson,ARI,RB,16,0,0,0,1239,16,80,879,4,0,0,0,0,23.0,367.8
3,Matt Ryan,ATL,QB,16,4944,38,7,117,0,0,0,0,0,0,0,0,21.7,347.5
4,Drew Brees,NO,QB,16,5208,37,15,20,2,0,0,0,0,0,0,0,20.8,332.3
5,Ezekiel Elliott,DAL,RB,15,0,0,0,1631,15,32,363,1,0,0,0,0,20.6,309.4
6,Andrew Luck,IND,QB,15,4240,31,13,341,2,0,0,0,0,0,0,0,20.5,307.7
7,Kirk Cousins,WAS,QB,16,4917,25,12,96,4,0,0,0,0,0,0,0,18.8,300.3
8,Dak Prescott,DAL,QB,16,3667,23,4,282,6,0,0,0,0,0,0,0,17.9,286.9
9,Le'Veon Bell,PIT,RB,12,0,0,0,1268,7,75,616,2,0,0,0,0,23.3,279.9
10,Matthew Stafford,DET,QB,16,4327,24,10,207,2,0,0,0,0,0,0,0,17.5,279.8
11,LeSean McCoy,BUF,RB,15,0,0,0,1267,13,51,356,1,0,0,0,0,18.3,273.8
12,Tyrod Taylor,BUF,QB,15,3023,17,6,580,6,0,0,0,0,0,0,0,18.1,270.9
13,Blake Bortles,JAX,QB,16,3905,23,16,359,3,1,20,1,0,0,0,0,16.9,270.6
14,Russell Wilson,SEA,QB,16,4219,21,11,259,1,2,14,1,0,0,0,0,16.8,269.1
15,Derek Carr,LV,QB,15,3933,28,6,69,0,0,0,0,0,0,0,0,17.9,268.2
16,DeMarco Murray,TEN,RB,16,10,1,0,1287,9,53,377,3,0,0,0,0,16.7,267.3
17,Andy Dalton,CIN,QB,16,4206,18,8,184,4,0,0,0,0,0,0,0,16.3,260.6
18,Marcus Mariota,TEN,QB,15,3426,26,9,349,2,0,0,0,0,0,0,0,17.3,259.9
19,Philip Rivers,LAC,QB,16,4386,33,21,35,0,0,0,0,0,0,0,0,16.2,258.9
20,Tom Brady,NE,QB,12,3554,28,2,64,0,0,0,0,0,0,0,0,21.5,258.6
21,Devonta Freeman,ATL,RB,16,0,0,0,1079,11,54,462,2,0,0,0,0,16.1,257.1
22,Jameis Winston,TB,QB,16,4090,28,18,168,1,0,0,0,0,0,0,0,16.0,256.4
23,Jordy Nelson,GB,WR,16,0,0,0,0,0,97,1257,14,0,0,0,0,16.0,256.2
24,Mike Evans,TB,WR,16,0,0,0,0,0,96,1321,12,0,0,0,0,16.0,256.1
