rank,name,team,position,games_played,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,sacks,def_int,fumbles_forced,fumbles_rec,fpts_per_game,fpts
1,Shaun Alexander,SEA,RB,16,0,0,0,1880,27,15,78,1,0,0,0,0,23.1,369.3
2,Larry Johnson,KC,RB,16,0,0,0,1750,20,33,343,1,0,0,0,0,21.5,343.8
3,LaDainian Tomlinson,LAC,RB,16,47,3,0,1462,18,51,370,2,0,0,0,0,21.3,340.6
4,Tiki Barber,NYG,RB,16,0,0,0,1860,9,54,530,2,0,0,0,0,20.8,332.0
5,Edgerrin James,IND,RB,15,0,0,0,1506,13,44,337,1,0,0,0,0,19.2,288.3
6,Steve Smith,CAR,WR,16,0,0,0,25,1,103,1563,12,0,0,0,0,17.9,286.3
7,Carson Palmer,CIN,QB,16,3836,32,12,41,1,0,0,0,0,0,0,0,16.6,265.5
8,LaMont Jordan,LV,RB,14,0,0,0,1025,9,70,563,2,0,0,0,0,18.6,259.8
9,Clinton Portis,WAS,RB,16,17,1,0,1516,11,30,216,0,0,0,0,0,16.1,256.9
10,Larry Fitzgerald,ARI,WR,16,0,0,0,41,0,103,1409,10,0,0,0,0,16.0,256.5
11,Tom Brady,NE,QB,16,4110,26,14,89,1,0,0,0,0,0,0,0,15.6,249.3
12,Chad Johnson,CIN,WR,16,0,0,0,33,0,97,1432,9,0,0,0,0,15.6,249.0
13,Peyton Manning,IND,QB,16,3747,28,10,45,0,0,0,0,0,0,0,0,15.1,242.4
14,Santana Moss,WAS,WR,16,0,0,0,-3,0,84,1483,9,0,0,0,0,15.1,242.0
15,Rudi Johnson,CIN,RB,16,0,0,0,1458,12,23,90,0,0,0,0,0,14.9,238.3
16,Anquan Boldin,ARI,WR,14,0,0,0,45,0,102,1402,7,0,0,0,0,17.0,237.7
17,Torry Holt,LAR,WR,14,0,0,0,2,0,102,1331,9,0,0,0,0,16.9,236.3
