rank,name,team,position,games_played,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,sacks,def_int,fumbles_forced,fumbles_rec,fpts_per_game,fpts
1,Joe Flacco,BAL,QB,4,1140,11,0,16,0,0,0,0,0,0,0,0,22.3,89.2
2,Colin Kaepernick,SF,QB,3,798,4,2,264,3,0,0,0,0,0,0,0,29.4,88.3
3,Anquan Boldin,BAL,WR,4,0,0,0,0,0,22,380,4,0,0,0,0,18.2,73.0
4,Frank Gore,SF,RB,3,0,0,0,319,4,2,48,0,0,0,0,0,20.6,61.7
5,Arian Foster,HOU,RB,2,0,0,0,230,2,15,97,1,0,0,0,0,29.1,58.2
6,Michael Crabtree,SF,WR,3,0,0,0,0,0,20,285,3,0,0,0,0,18.2,54.5
7,Russell Wilson,SEA,QB,2,572,3,1,127,1,0,0,0,0,0,0,0,26.8,53.6
8,Ray Rice,BAL,RB,4,0,0,0,306,2,8,88,0,0,0,0,0,12.3,49.4
9,Corey Graham,BAL,CB,4,0,0,0,0,0,0,0,0,1,2,0,0,12.1,48.3
10,Julio Jones,ATL,WR,2,0,0,0,-1,0,17,241,2,0,1,0,0,22.2,44.5
11,Ray Lewis,BAL,ILB,4,0,0,0,0,0,0,0,0,0,0,0,0,10.8,43.0
12,Matt Ryan,ATL,QB,2,646,6,3,9,0,0,0,0,0,0,0,0,21.4,42.7
13,Paul Kruger,BAL,OLB,4,0,0,0,0,0,0,0,0,5,0,1,1,10.6,42.3
14,Dennis Pitta,BAL,TE,4,0,0,0,0,0,14,163,3,0,0,0,0,10.3,41.3
15,Torrey Smith,BAL,WR,4,0,0,0,0,0,11,233,2,0,0,0,0,10.2,40.8
16,Tom Brady,NE,QB,2,664,4,2,4,0,0,0,0,0,0,0,0,19.5,39.0
17,Wes Welker,NE,WR,2,0,0,0,0,0,16,248,1,0,0,0,0,19.4,38.8
18,Shane Vereen,NE,RB,2,0,0,0,57,1,7,105,2,0,0,0,0,18.9,37.7
19,Dannell Ellerbe,BAL,OLB,4,0,0,0,0,0,0,0,0,0,1,0,0,9.4,37.5
20,Vernon Davis,SF,TE,3,0,0,0,0,0,12,254,1,0,0,0,0,12.5,37.4
21,Cary Williams,BAL,CB,4,0,0,0,0,0,0,0,0,0,2,0,0,9.0,36.0
22,Aaron Rodgers,GB,QB,2,531,3,1,40,0,0,0,0,0,0,0,0,17.6,35.2
23,Patrick Willis,SF,ILB,3,0,0,0,0,0,0,0,0,1,0,0,0,11.1,33.4
24,Zach Miller,SEA,TE,2,0,0,0,0,0,12,190,1,0,0,0,0,16.5,33.0
25,Marshawn Lynch,SEA,RB,2,0,0,0,178,2,4,46,0,0,0,0,0,16.2,32.4
26,Tony Gonzalez,ATL,TE,2,0,0,0,0,0,14,129,2,0,0,0,0,15.9,31.9
27,DuJuan Harris,GB,RB,2,0,0,0,100,2,7,64,0,0,0,0,0,15.9,31.9
28,Terrell Suggs,BAL,DE,4,0,0,0,0,0,0,0,0,2,0,1,0,7.7,30.8
29,Matt Schaub,HOU,QB,2,605,2,2,2,0,0,0,0,0,0,0,0,15.2,30.4
30,Roddy White,ATL,WR,2,0,0,0,0,0,12,176,1,0,0,0,0,14.8,29.6
31,Clay Matthews,GB,OLB,2,0,0,0,0,0,0,0,0,3,0,1,1,14.7,29.3
32,Jacoby Jones,BAL,WR,4,0,0,0,0,0,5,147,2,0,0,0,0,7.3,29.2
33,Justin Tucker,BAL,K,4,0,0,0,8,0,0,0,0,0,0,0,0,7.2,28.8
34,Owen Daniels,HOU,TE,2,0,0,0,0,0,18,172,0,0,0,0,0,13.1,26.2
35,Sam Shields,GB,CB,2,0,0,0,0,0,0,0,0,0,2,0,0,13.0,26.0
36,Aaron Hernandez,NE,TE,2,0,0,0,6,0,15,168,0,0,0,0,0,12.4,24.9
37,Golden Tate,SEA,WR,2,0,0,0,0,0,10,138,1,0,0,0,0,12.4,24.8
38,Rob Ninkovich,NE,DE,2,0,0,0,0,0,0,0,0,2,1,0,0,12.2,24.5
39,NaVorro Bowman,SF,ILB,3,0,0,0,0,0,0,0,0,0,0,0,0,8.2,24.5
40,David Akers,SF,K,3,0,0,0,0,0,0,0,0,0,0,0,0,8.0,24.0
41,James Jones,GB,WR,2,0,0,0,0,0,8,138,1,0,0,0,0,11.9,23.8
42,Andre Johnson,HOU,WR,2,0,0,0,0,0,12,157,0,0,0,0,0,11.8,23.7
43,Tarell Brown,SF,CB,3,0,0,0,0,0,0,0,0,0,1,1,1,7.8,23.5
44,Shayne Graham,HOU,K,2,0,0,0,0,0,0,0,0,0,0,0,0,11.5,23.0
45,Greg Jennings,GB,WR,2,0,0,0,0,0,10,115,1,0,0,0,0,11.2,22.5
46,Brandon Lloyd,NE,WR,2,0,0,0,0,0,12,102,1,0,0,0,0,11.1,22.2
47,Chris Culliver,SF,CB,3,0,0,0,0,0,0,0,0,0,1,0,0,7.2,21.5
48,Bernard Pierce,BAL,RB,4,0,0,0,202,0,1,8,0,0,0,0,0,5.4,21.5
49,Bernard Pollard,BAL,SS,4,0,0,0,0,0,0,0,0,0,0,1,0,5.2,21.0
50,Stevan Ridley,NE,RB,2,0,0,0,152,1,1,13,0,0,0,0,0,10.5,21.0
51,Ed Reed,BAL,FS,4,0,0,0,0,0,0,0,0,0,1,0,0,5.1,20.5
