rank,name,team,position,games_played,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,sacks,def_int,fumbles_forced,fumbles_rec,fpts_per_game,fpts
1,Rich Gannon,LV,QB,3,841,7,6,41,1,0,0,0,0,0,0,0,19.9,59.7
2,Steve McNair,TEN,QB,2,532,3,2,82,3,0,0,0,0,0,0,0,27.7,55.5
3,Joe Porter,LV,CB,3,0,0,0,0,0,14,237,3,0,0,0,0,16.2,48.7
4,Hines Ward,PIT,WR,2,0,0,0,5,0,18,186,3,0,0,0,0,24.1,48.1
5,Mike Alstott,TB,FB,3,0,0,0,100,4,8,70,0,0,0,0,0,15.0,45.0
6,Terrell Owens,SF,WR,2,25,0,0,0,0,13,212,2,0,0,0,0,22.4,44.7
7,Brad Johnson,TB,QB,3,670,5,3,13,0,0,0,0,0,0,0,0,14.0,42.1
8,Charlie Garner,LV,RB,3,0,0,0,139,0,17,132,1,0,0,0,0,13.9,41.6
9,Jeff Garcia,SF,QB,2,524,3,4,60,1,0,0,0,0,0,0,0,20.5,41.0
10,Tommy Maddox,PIT,QB,2,633,5,3,7,0,0,0,0,0,0,0,0,20.0,40.0
11,D. Smith,TB,LB,3,0,0,0,0,0,0,0,0,0,3,0,1,13.3,40.0
12,Jerry Rice,LV,WR,3,0,0,0,0,0,14,203,2,0,0,0,0,13.1,39.3
13,Julian Peterson,SF,LB,2,0,0,0,0,0,0,0,0,2,1,2,0,18.4,36.8
14,Korey Toomer,NYG,WR,1,0,0,0,0,0,8,136,3,0,0,0,0,35.6,35.6
15,Derrick Brooks,TB,LB,3,0,0,0,0,0,0,0,0,1,2,0,1,11.4,34.2
16,Ronde Barber,TB,CB,3,0,0,0,0,0,0,0,0,1,2,1,0,11.2,33.5
17,Kevin Johnson,TB,WR,3,0,0,0,0,0,14,194,1,0,0,0,0,10.8,32.4
18,Duce Staley,PHI,RB,2,0,0,0,121,1,11,65,0,0,0,0,0,15.1,30.1
19,J. Jurevicius,TB,WR,3,0,0,0,0,0,8,197,1,0,0,0,0,9.9,29.7
20,F. Wycheck,TEN,TE,2,0,0,0,0,0,14,164,1,0,0,0,0,14.7,29.4
21,Chad Pennington,NYJ,QB,2,405,4,2,6,0,0,0,0,0,0,0,0,14.4,28.8
22,Eric Barton,LV,LB,3,0,0,0,0,0,0,0,0,0,1,1,0,9.5,28.5
23,Plaxico Burress,PIT,WR,2,0,0,0,0,0,8,162,1,0,0,0,0,14.1,28.2
24,Simeon Rice,TB,DE,3,0,0,0,0,0,0,0,0,4,0,2,1,9.4,28.1
25,M. Gramatica,TB,K,3,0,0,0,0,0,0,0,0,0,0,0,0,9.3,28.0
26,Kerry Collins,NYG,QB,1,342,4,1,0,0,0,0,0,0,0,0,0,27.7,27.7
27,Michael Pittman,TB,RB,3,0,0,0,182,0,6,63,0,0,0,0,0,9.2,27.5
28,Kelly Holcomb,CLE,QB,1,429,3,1,3,0,0,0,0,0,0,0,0,27.5,27.5
29,Charles Woodson,LV,CB,3,0,0,0,0,0,0,0,0,0,1,0,0,9.0,27.0
30,Tiki Barber,NYG,RB,1,0,0,0,115,1,5,62,0,0,0,0,0,26.2,26.2
31,Sebastian Janikowski,LV,K,3,0,0,0,0,0,0,0,0,0,0,0,0,8.7,26.0
32,Donovan McNabb,PHI,QB,2,490,1,1,41,0,0,0,0,0,0,0,0,12.8,25.7
33,A. Dorsett,LV,SS,3,0,0,0,0,0,0,0,0,0,0,0,1,8.5,25.5
34,Warrick Dunn,ATL,RB,2,0,0,0,109,0,10,96,0,0,0,0,0,12.8,25.5
35,D. Bennett,TEN,WR,2,0,0,0,0,0,10,143,1,0,0,0,0,12.7,25.3
36,Michael Vick,ATL,QB,2,391,1,2,94,0,0,0,0,0,0,0,0,12.5,25.0
37,Dennis Northcutt,CLE,WR,1,0,0,0,5,0,6,92,2,0,0,0,0,24.7,24.7
