rank,name,team,position,games_played,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,sacks,def_int,fumbles_forced,fumbles_rec,fpts_per_game,fpts
1,Demaryius Thomas,DEN,WR,3,0,0,0,0,0,28,306,3,0,0,0,0,20.2,60.6
2,Colin Kaepernick,SF,QB,3,576,3,3,243,1,0,0,0,0,0,0,0,19.1,57.3
3,Marshawn Lynch,SEA,RB,3,0,0,0,288,4,1,3,0,0,0,0,0,17.9,53.6
4,T.Y. Hilton,IND,WR,2,0,0,0,0,0,17,327,2,0,0,0,0,26.6,53.2
5,Andrew Luck,IND,QB,2,774,6,7,50,1,0,0,0,0,0,0,0,26.0,52.0
6,Peyton Manning,DEN,QB,3,910,5,3,-2,0,0,0,0,0,0,0,0,16.7,50.2
7,NaVorro Bowman,SF,ILB,3,0,0,0,0,0,0,0,0,2,0,2,0,15.3,45.9
8,LeGarrette Blount,NE,RB,2,0,0,0,172,4,0,0,0,0,0,0,0,20.6,41.2
9,Ahmad Brooks,SF,OLB,3,0,0,0,0,0,0,0,0,5,0,1,0,12.4,37.1
10,Anquan Boldin,SF,WR,3,0,0,0,0,0,16,227,1,0,0,0,0,12.2,36.7
11,Kam Chancellor,SEA,SS,3,0,0,0,0,0,0,0,0,0,2,0,0,12.0,36.0
12,Russell Wilson,SEA,QB,3,524,3,0,42,0,0,0,0,0,0,0,0,11.7,35.2
13,Malcolm Smith,SEA,LB,3,0,0,0,0,0,0,0,0,0,2,0,1,11.7,35.0
14,Alex Smith,KC,QB,1,378,4,0,57,0,0,0,0,0,0,0,0,34.8,34.8
15,Stephen Hauschka,SEA,K,3,0,0,0,0,0,0,0,0,0,0,0,0,11.0,33.0
16,Wes Welker,DEN,WR,3,0,0,0,0,0,18,160,1,0,0,0,0,11.0,33.0
17,Doug Baldwin,SEA,WR,3,0,0,0,0,0,13,202,1,0,0,0,0,10.9,32.7
18,Keenan Allen,LAC,WR,2,0,0,0,0,0,8,163,2,0,0,0,0,16.1,32.3
19,Julian Edelman,NE,WR,2,0,0,0,0,0,16,173,1,0,0,0,0,15.6,31.3
20,Donald Brown,IND,RB,2,0,0,0,118,1,5,50,1,0,0,0,0,15.6,31.3
21,Aldon Smith,SF,OLB,3,0,0,0,0,0,0,0,0,4,0,1,1,10.2,30.5
22,Knowshon Moreno,DEN,RB,3,0,0,0,158,1,6,54,0,0,0,0,0,10.1,30.2
23,Tom Brady,NE,QB,2,475,1,0,6,1,0,0,0,0,0,0,0,14.8,29.6
24,Michael Bennett,SEA,DT,3,0,0,0,0,0,0,0,0,2,0,3,2,9.6,28.9
25,Jermaine Kearse,SEA,WR,3,0,0,0,0,0,7,134,2,0,0,0,0,9.6,28.9
26,Marques Colston,NO,WR,2,0,0,0,0,0,13,155,1,0,0,0,0,14.0,28.0
27,Michael Crabtree,SF,WR,3,0,0,0,0,0,15,203,0,0,0,0,0,9.3,27.8
28,LaVon Brazill,IND,WR,2,0,0,0,0,0,6,127,2,0,0,0,0,13.8,27.7
29,Bobby Wagner,SEA,ILB,3,0,0,0,0,0,0,0,0,0,0,0,0,9.2,27.5
30,Frank Gore,SF,RB,3,0,0,0,164,1,3,36,0,0,0,0,0,9.2,27.5
31,Drew Brees,NO,QB,2,554,2,2,13,0,0,0,0,0,0,0,0,13.7,27.5
