rank,name,team,position,games_played,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,sacks,def_int,fumbles_forced,fumbles_rec,fpts_per_game,fpts
1,Marshall Faulk,LAR,RB,14,0,0,0,1382,12,83,765,9,0,0,0,0,27.3,382.2
2,Priest Holmes,KC,RB,16,0,0,0,1555,8,62,614,2,0,0,0,0,19.1,305.9
3,Jeff Garcia,SF,QB,16,3538,32,12,254,5,0,0,0,0,0,0,0,18.9,302.9
4,Marvin Harrison,IND,WR,16,0,0,0,3,0,109,1524,15,0,0,0,0,18.6,297.2
5,Kurt Warner,LAR,QB,16,4830,36,22,60,0,0,0,0,0,0,0,0,18.6,297.2
6,Ahman Green,GB,RB,16,0,0,0,1387,9,62,594,2,0,0,0,0,18.2,291.1
7,Terrell Owens,SF,WR,16,0,0,0,21,0,93,1412,16,0,0,1,0,17.9,285.8
8,Shaun Alexander,SEA,RB,16,0,0,0,1318,14,44,343,2,0,0,0,0,17.6,282.1
9,Curtis Martin,NYJ,RB,16,18,1,0,1513,10,53,320,0,0,0,0,0,17.2,274.5
10,Rich Gannon,LV,QB,16,3828,27,9,231,2,0,0,0,0,0,0,0,17.1,274.2
11,Donovan McNabb,PHI,QB,16,3233,25,12,482,2,0,0,0,0,0,0,0,16.6,265.5
12,Steve McNair,TEN,QB,15,3350,21,12,414,5,0,0,0,0,0,0,0,17.7,265.4
13,Peyton Manning,IND,QB,16,4131,26,23,157,4,0,0,0,0,0,0,1,16.6,264.9
14,Rod Smith,DEN,WR,15,0,0,0,27,0,113,1343,11,0,0,1,0,17.4,261.5
15,D. Boston,ARI,WR,16,0,0,0,35,0,98,1598,8,0,0,0,0,16.3,260.3
16,Aaron Brooks,NO,QB,16,3832,26,22,358,1,0,0,0,0,0,0,0,16.1,257.1
17,Brett Favre,GB,QB,16,3722,30,14,56,1,0,0,0,0,0,0,0,15.7,250.5
18,Corey Dillon,CIN,RB,16,0,0,1,1315,10,34,228,3,0,0,0,0,15.3,245.3
19,LaDainian Tomlinson,LAC,RB,16,0,0,0,1236,10,59,367,0,0,0,0,0,15.2,243.8
20,Ricky Williams,NO,RB,16,0,0,0,1245,6,60,511,1,0,0,1,0,15.2,243.6
21,Jimmy Smith,JAX,WR,16,0,0,0,-3,0,112,1373,8,0,0,0,0,15.1,241.0
22,Kordell Stewart,PIT,QB,16,3109,14,11,537,5,0,0,0,0,0,0,0,14.9,238.1
23,Jay Fiedler,MIA,QB,16,3290,20,19,321,4,0,0,0,0,0,0,0,14.4,229.7
24,Randy Moss,MIN,WR,16,29,0,0,38,0,82,1233,10,0,0,0,0,14.3,229.3
25,Joe Horn,NO,WR,16,0,0,0,4,0,83,1265,9,0,0,0,0,13.9,222.4
26,Torry Holt,LAR,WR,16,0,0,0,0,0,81,1363,7,0,0,0,0,13.7,218.8
27,A. Smith,NE,RB,16,0,0,0,1157,12,19,192,1,0,0,0,0,13.7,218.4
28,T. Brown,LV,WR,16,0,0,0,39,0,91,1165,9,0,0,0,0,13.6,217.9
29,Mark Brunell,JAX,QB,15,3309,19,13,224,1,0,0,0,0,0,0,0,14.2,212.8
30,M. Booker,CHI,WR,16,34,1,0,8,0,100,1071,8,0,0,0,0,13.2,211.3
31,T. Brown,NE,WR,16,0,0,0,91,0,101,1199,5,0,0,0,0,13.1,209.5
32,Jerry Rice,LV,WR,16,0,0,0,0,0,83,1139,9,0,0,0,0,13.1,209.4
33,Daunte Culpepper,MIN,QB,11,2612,14,13,416,5,1,0,0,0,0,0,0,19.0,208.6
34,Stephen Davis,WAS,RB,16,0,0,0,1432,5,28,205,0,0,0,0,0,13.0,207.7
35,Jake Plummer,ARI,QB,16,3653,18,14,163,0,0,0,0,0,0,0,0,12.9,206.4
36,Tiki Barber,NYG,RB,14,0,0,0,865,4,72,577,0,0,0,0,0,14.7,206.2
37,Garrison Hearst,SF,RB,16,0,0,0,1206,4,41,347,1,0,0,0,0,12.9,205.8
38,K. Johnson,CLE,WR,16,0,0,0,0,0,84,1097,9,0,0,0,0,12.9,205.7
39,Derrick Mason,TEN,WR,15,0,0,0,0,0,73,1128,9,0,0,0,0,13.6,203.3
40,Kerry Collins,NYG,QB,16,3764,19,16,73,0,1,-2,0,0,0,0,0,12.6,202.2
41,Dominic Rhodes,IND,RB,15,0,0,0,1104,9,34,224,0,0,0,0,0,13.3,199.8
42,C. Conway,LAC,WR,16,0,0,0,116,1,71,1125,6,0,0,0,0,12.5,199.6
43,Brad Johnson,TB,QB,16,3406,13,11,120,3,0,0,0,0,0,0,0,12.4,198.2
44,Keenan McCardell,JAX,WR,16,0,0,0,0,0,93,1110,6,0,0,0,0,12.2,195.5
45,Brian Griese,DEN,QB,15,2827,23,19,173,1,1,-6,0,0,0,0,0,12.8,192.3
46,D. Jackson,SEA,WR,16,0,0,0,9,0,70,1081,8,0,0,0,0,12.0,192.0
47,Trent Green,KC,QB,16,3783,17,24,158,0,1,1,0,0,0,0,0,12.0,191.7
48,Charlie Garner,LV,RB,16,0,0,0,839,1,72,578,2,0,0,0,0,12.0,191.7
49,Anthony Thomas,CHI,RB,14,0,0,0,1183,7,22,178,0,0,0,0,0,13.7,191.1
50,Doug Flutie,LAC,QB,16,3464,15,18,192,1,0,0,0,0,0,0,0,11.6,185.8
51,Kevin Johnson,TB,WR,15,0,0,0,0,0,106,1266,1,0,0,0,0,12.4,185.6
52,Q. Ismail,BAL,WR,16,0,0,0,0,0,74,1059,7,0,0,0,0,11.6,184.9
53,L. Smith,MIA,RB,16,0,0,0,968,6,30,234,2,0,0,0,0,11.3,181.2
54,Hines Ward,PIT,WR,16,0,0,0,83,0,94,1003,4,0,0,0,0,11.2,179.6
55,Isaac Bruce,LAR,WR,16,0,0,0,23,0,64,1106,6,0,0,0,0,11.2,178.9
56,Mike Alstott,TB,RB,16,0,0,0,680,10,35,231,1,0,0,0,0,11.2,178.6
57,J. Morton,DET,WR,16,0,0,0,6,0,77,1154,4,0,0,0,0,11.2,178.5
