rank,name,team,position,games_played,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,sacks,def_int,fumbles_forced,fumbles_rec,fpts_per_game,fpts
1,Marshall Faulk,LAR,RB,3,0,0,0,317,3,14,114,0,0,0,0,0,22.7,68.1
2,Donovan McNabb,PHI,QB,3,627,5,3,120,2,0,0,0,0,0,0,0,21.0,63.1
3,Duce Staley,PHI,RB,3,0,0,0,139,1,17,139,2,0,0,0,0,18.1,54.3
4,A. Williams,LAR,CB,3,0,0,0,0,0,0,0,0,0,3,1,1,16.3,49.0
5,Kurt Warner,LAR,QB,3,793,4,3,8,1,0,0,0,0,0,0,0,16.2,48.5
6,T. Law,NE,CB,3,0,0,0,0,0,0,0,0,0,1,0,0,13.5,40.5
7,T. Polley,LAR,LB,3,0,0,0,0,0,0,0,0,0,2,0,0,13.3,40.0
8,Charlie Garner,LV,RB,2,0,0,0,222,1,7,59,0,0,0,0,0,19.8,39.6
9,A. Freeman,GB,WR,2,0,0,0,0,0,13,148,3,0,0,0,0,19.6,39.3
10,D. Patten,NE,WR,3,0,0,0,22,0,13,154,2,0,0,0,0,12.0,36.1
11,Ahman Green,GB,RB,2,0,0,0,180,1,10,67,0,0,0,0,0,17.9,35.7
12,Jerry Rice,LV,WR,2,0,0,0,0,0,13,231,1,0,0,0,0,17.8,35.6
13,Amous Zereoue,PIT,RB,2,0,0,0,74,3,6,63,0,0,0,0,0,17.4,34.7
14,T. Brown,NE,WR,3,0,0,0,-9,0,18,253,0,0,0,0,0,11.1,33.4
15,Tom Brady,NE,QB,3,572,1,1,22,1,0,0,0,0,0,0,0,11.0,33.1
16,Torry Holt,LAR,WR,3,0,0,0,0,0,15,191,1,0,0,0,0,10.9,32.6
17,J. Gildon,PIT,LB,2,0,0,0,0,0,0,0,0,3,0,0,1,15.8,31.6
18,Rich Gannon,LV,QB,2,453,3,0,11,0,0,0,0,0,0,0,0,15.6,31.2
19,Isaac Bruce,LAR,WR,3,0,0,0,0,0,14,159,1,0,0,0,0,9.6,28.9
20,David Akers,PHI,K,3,0,0,0,0,0,0,0,0,0,0,0,0,9.3,28.0
21,D. Moore,PHI,SS,3,0,0,0,0,0,0,0,0,0,3,0,0,9.0,27.0
22,C. Lewis,PHI,TE,3,0,0,0,0,0,12,145,1,0,0,0,0,8.8,26.5
23,Plaxico Burress,PIT,WR,2,0,0,0,0,0,10,151,1,0,0,0,0,13.1,26.1
24,Jamie Sharper,BAL,LB,2,0,0,0,0,0,0,0,0,1,0,1,0,12.8,25.5
25,J. Wilkins,LAR,K,3,0,0,0,0,0,0,0,0,0,0,0,0,8.3,25.0
26,J. Harris,LV,SS,2,0,0,0,0,0,0,0,0,0,1,1,1,12.5,25.0
27,Brett Favre,GB,QB,2,550,4,7,6,0,0,0,0,0,0,0,0,12.3,24.6
28,Adam Vinatieri,NE,K,3,0,0,0,0,0,0,0,0,0,0,0,0,8.0,24.0
29,W. McGinest,NE,DE,3,0,0,0,0,0,0,0,0,2,0,0,0,7.9,23.8
30,Jeremiah Trotter,PHI,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,7.8,23.5
31,Ray Lewis,BAL,LB,2,0,0,0,0,0,0,0,0,0,0,3,0,11.8,23.5
32,Vinny Testaverde,NYJ,QB,1,268,3,0,1,0,0,0,0,0,0,0,0,22.8,22.8
33,Darren Sharper,GB,FS,2,0,0,0,0,0,0,0,0,1,1,0,0,11.0,22.0
34,G. Wistrom,LAR,DE,3,0,0,0,0,0,0,0,0,2,0,0,0,7.3,21.9
35,A. Hakim,LAR,WR,3,0,0,0,14,0,11,149,0,0,0,0,0,7.3,21.8
36,Tedy Bruschi,NE,LB,3,0,0,0,0,0,0,0,0,2,0,0,1,7.3,21.8
37,Leonard Little,LAR,DE,3,0,0,0,0,0,0,0,0,3,0,1,0,7.2,21.7
38,Correll Buckhalter,PHI,RB,3,0,0,0,110,1,4,26,0,0,0,0,0,7.2,21.6
39,A. Smith,NE,RB,3,0,0,0,204,0,1,4,0,0,0,0,0,7.1,21.3
40,K. Bell,PIT,LB,2,0,0,0,0,0,0,0,0,1,0,0,0,10.6,21.1
41,O. Smith,NE,CB,3,0,0,0,0,0,0,0,0,0,1,0,0,7.0,21.0
42,J. Thrash,PHI,WR,3,0,0,0,-3,0,11,151,0,0,0,0,0,6.8,20.3
43,K. Herring,LAR,FS,3,0,0,0,0,0,0,0,0,0,1,1,0,6.7,20.0
44,Lawyer Milloy,NE,SS,3,0,0,0,0,0,0,0,0,0,1,0,0,6.5,19.5
45,T. Pinkston,PHI,WR,3,0,0,0,0,0,8,93,1,0,0,0,0,6.4,19.3
46,W. Chrebet,NYJ,WR,1,0,0,0,0,0,4,52,2,0,0,0,0,19.2,19.2
47,Sebastian Janikowski,LV,K,2,0,0,0,0,0,0,0,0,0,0,0,0,9.5,19.0
48,M. Caldwell,PHI,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,6.3,19.0
49,T. Allen,BAL,RB,2,0,0,0,120,1,3,11,0,0,0,0,0,9.3,18.6
50,Brian Dawkins,PHI,FS,3,0,0,0,0,0,0,0,0,0,1,0,0,6.2,18.5
51,T. Taylor,BAL,WR,2,0,0,0,15,0,6,76,1,0,0,0,0,9.1,18.1
52,Adam Archuleta,LAR,SS,3,0,0,0,0,0,0,0,0,0,0,0,1,6.0,18.0
53,Zack Thomas,MIA,LB,1,0,0,0,0,0,0,0,0,0,0,0,0,18.0,18.0
54,Richard Seymour,NE,DT,3,0,0,0,0,0,0,0,0,1,0,0,0,5.9,17.7
55,R. Phifer,NE,LB,3,0,0,0,0,0,0,0,0,0,0,0,0,5.8,17.5
56,Kordell Stewart,PIT,QB,2,409,1,4,71,0,0,0,0,0,0,0,0,8.7,17.5
57,Curtis Martin,NYJ,RB,1,0,0,0,106,0,6,34,0,0,0,0,0,17.0,17.0
58,G. Biekert,LV,LB,2,0,0,0,0,0,0,0,0,0,0,0,0,8.5,17.0
59,T. Jones,NE,FS,3,0,0,0,0,0,0,0,0,0,1,0,0,5.7,17.0
60,C. Bradford,GB,WR,2,0,0,0,0,0,7,135,0,0,0,1,1,8.5,17.0
61,Laveranues Coles,NYJ,WR,1,0,0,0,7,0,8,123,0,0,0,0,0,17.0,17.0
62,R. Cook,PHI,S,3,0,0,0,0,0,0,0,0,1,1,1,0,5.6,16.7
63,W. Thomas,LV,LB,2,0,0,0,0,0,0,0,0,0,0,0,0,8.2,16.5
64,T. Brown,LV,WR,2,0,0,0,6,0,8,55,1,0,0,0,0,8.1,16.1
