rank,name,team,position,games_played,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,sacks,def_int,fumbles_forced,fumbles_rec,fpts_per_game,fpts
1,Josh Allen,BUF,QB,17,4407,36,15,763,6,0,0,0,0,0,0,0,23.7,402.6
2,Justin Herbert,LAC,QB,17,5014,38,15,302,3,0,0,0,0,0,0,0,22.4,380.8
3,Tom Brady,TB,QB,17,5316,43,12,81,2,0,0,0,0,0,0,0,22.0,374.7
4,Cooper Kupp,LAR,WR,17,0,0,0,18,0,145,1947,16,0,0,0,0,21.6,367.0
5,Patrick Mahomes,KC,QB,17,4839,37,13,381,2,0,0,0,0,0,0,0,21.3,361.7
6,Jonathan Taylor,IND,RB,17,0,0,0,1811,18,40,360,2,0,0,0,0,20.8,353.1
7,Aaron Rodgers,GB,QB,16,4115,37,4,101,3,1,-4,0,0,0,0,0,20.8,332.8
8,Matthew Stafford,LAR,QB,17,4886,41,17,43,0,0,0,0,0,0,0,0,19.4,329.7
9,Dak Prescott,DAL,QB,16,4449,37,10,146,1,0,0,0,0,0,0,0,20.0,320.6
10,Joe Burrow,CIN,QB,16,4611,34,14,118,2,0,0,0,0,0,0,0,19.6,314.2
11,Jalen Hurts,PHI,QB,15,3144,16,9,784,10,0,0,0,0,0,0,0,20.8,312.2
12,Austin Ekeler,LAC,RB,16,0,0,0,911,12,70,647,8,0,0,0,0,19.3,308.8
13,Kyler Murray,ARI,QB,14,3787,24,10,423,5,0,7,0,0,0,0,0,21.5,300.5
14,Deebo Samuel Sr.,SF,WR,16,24,1,0,365,8,77,1405,6,0,0,0,0,18.8,300.5
15,Kirk Cousins,MIN,QB,16,4221,33,7,115,1,0,0,0,0,0,0,0,18.8,300.3
16,Davante Adams,GB,WR,16,0,0,0,0,0,123,1553,11,0,0,0,0,17.7,282.8
17,Justin Jefferson,MIN,WR,17,35,0,0,14,0,108,1616,10,0,0,0,0,16.3,276.4
18,Ryan Tannehill,TEN,QB,17,3734,21,14,270,7,0,0,0,0,0,0,0,15.8,268.4
19,Joe Mixon,CIN,RB,16,0,0,0,1205,13,42,314,3,0,0,0,0,16.7,266.9
20,Ja'Marr Chase,CIN,WR,17,0,0,0,21,0,81,1455,13,0,0,0,0,15.5,264.1
21,Najee Harris,PIT,RB,17,0,0,0,1200,7,74,467,3,0,0,0,0,15.5,263.7
22,Carson Wentz,IND,QB,17,3563,27,7,215,1,0,0,0,0,0,0,0,15.2,258.0
23,Derek Carr,LV,QB,17,4804,23,14,108,0,0,0,0,0,0,0,0,15.1,257.0
24,Mark Andrews,BAL,TE,17,0,0,0,0,0,107,1361,9,0,0,0,0,14.6,247.6
25,Russell Wilson,SEA,QB,14,3113,25,6,183,2,0,0,0,0,0,0,0,17.3,242.8
26,Tyreek Hill,KC,WR,17,0,0,0,96,0,111,1239,9,0,0,0,0,14.2,241.0
27,Lamar Jackson,BAL,QB,12,2882,16,13,767,2,0,0,0,0,0,0,0,20.0,240.0
28,James Conner,ARI,RB,15,0,0,0,752,15,37,375,3,0,0,0,0,15.9,239.2
29,Stefon Diggs,BUF,WR,17,0,0,0,0,0,103,1225,10,0,0,0,0,13.8,234.0
