rank,name,team,position,games_played,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,sacks,def_int,fumbles_forced,fumbles_rec,fpts_per_game,fpts
90,Jeremiah Ledbetter,JAX,DL,3,0,0,0,0,0,0,0,0,2,0,1,0,7.2,21.5
91,Travis Vokolek,BAL,TE,3,0,0,0,0,0,6,63,2,0,0,0,0,7.1,21.3
92,Hunter Luepke,DAL,FB,3,0,0,0,67,0,5,60,1,0,0,0,0,7.1,21.2
93,Natrone Brooks,ATL,DB,3,0,0,0,0,0,0,0,0,1,0,0,0,7.1,21.2
94,Daurice Fountain,CHI,WR,3,0,0,0,0,0,7,116,1,0,0,0,0,7.0,21.1
95,Joshua Kelley,LAC,RB,3,0,0,0,141,1,1,5,0,0,0,0,0,7.0,21.1
96,Grant Stuard,IND,LB,3,0,0,0,0,0,0,0,0,1,0,1,0,7.0,21.0
97,Mohamoud Diabate,CLE,LB,4,0,0,0,0,0,0,0,0,0,0,1,0,5.2,21.0
98,Jaylen Warren,PIT,RB,3,0,0,0,89,2,0,0,0,0,0,0,0,7.0,20.9
99,Justyn Ross,KC,WR,3,0,0,0,0,0,6,59,2,0,0,0,0,7.0,20.9
100,Deuce Vaughn,DAL,RB,2,0,0,0,64,2,4,5,0,0,0,0,0,10.4,20.9
