rank,name,team,position,games_played,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,sacks,def_int,fumbles_forced,fumbles_rec,fpts_per_game,fpts
1,Tyler Huntley,BAL,QB,3,551,4,1,80,2,0,0,0,0,0,0,0,18.0,54.0
2,Rhamondre Stevenson,NE,RB,3,0,0,0,216,5,3,25,0,0,0,0,0,17.9,53.6
3,Bryce Perkins,LAR,QB,3,451,3,1,114,0,0,0,0,0,0,0,0,13.1,39.4
4,JaMycal Hasty,SF,RB,3,0,0,0,176,3,4,26,0,0,0,0,0,12.7,38.2
5,J.J. Taylor,NE,RB,3,0,0,0,179,1,10,62,0,0,0,0,0,11.7,35.1
6,Justin Fields,CHI,QB,3,276,2,0,92,1,0,0,0,0,0,0,0,11.4,34.2
7,Mekhi Sargent,TEN,RB,3,0,0,0,187,1,3,17,1,0,0,0,0,11.3,33.9
8,Davion Davis,CLE,WR,3,0,0,0,0,0,12,154,2,0,0,0,0,11.1,33.4
9,Sam Eguavoen,MIA,OLB,3,0,0,0,0,0,0,0,0,4,0,0,0,11.1,33.3
10,Marquez Callaway,NO,WR,2,0,0,0,0,0,8,165,2,0,0,0,0,16.2,32.5
11,A.J. Rose,MIN,RB,3,0,0,0,151,2,3,38,0,0,0,0,0,10.8,32.4
12,Jesper Horsted,CHI,TE,3,0,0,0,0,0,6,113,3,0,0,0,0,10.8,32.3
13,Cody Barton,SEA,ILB,3,0,0,0,0,0,0,0,0,3,0,1,0,10.7,32.2
14,Trey Ragas,LV,RB,3,0,0,0,102,2,8,59,0,0,0,0,0,10.7,32.1
15,Nathan Peterman,LV,QB,3,593,2,4,80,0,0,0,0,0,0,0,0,10.6,31.7
16,Kyle Lauletta,CLE,QB,3,514,3,2,30,0,0,0,0,0,0,0,0,10.5,31.6
17,Jamir Jones,PIT,OLB,4,0,0,0,0,0,0,0,0,3,0,0,0,7.8,31.1
18,Michael Jacquet,PHI,DB,3,0,0,0,0,0,0,0,0,0,0,1,1,10.3,31.0
19,Shane Buechele,KC,QB,3,422,3,2,18,1,0,0,0,0,0,0,0,10.2,30.7
20,Reid Sinnett,MIA,QB,3,401,3,1,14,0,0,0,0,0,0,0,0,9.8,29.4
