rank,name,team,position,games_played,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,sacks,def_int,fumbles_forced,fumbles_rec,fpts_per_game,fpts
81,P. Hunter,SEA,CB,2,0,0,0,0,0,0,0,0,0,1,0,1,6.8,13.5
82,Benjamin Watson,NE,TE,3,0,0,0,0,0,10,81,0,0,0,0,0,4.4,13.1
83,R. Bernard,SEA,DT,2,0,0,0,0,0,0,0,0,1,0,0,0,6.5,13.1
84,J. Bellamy,NO,SS,2,0,0,0,0,0,0,0,0,0,0,0,0,6.5,13.0
85,M. Boulware,SEA,SS,2,0,0,0,0,0,0,0,0,0,0,1,0,6.5,13.0
86,Danieal Manning,CHI,FS,3,0,0,0,0,0,0,0,0,0,0,0,1,4.3,13.0
87,Josh Brown,SEA,K,2,0,0,0,0,0,0,0,0,0,0,0,0,6.5,13.0
88,Trent Cole,PHI,DE,2,0,0,0,0,0,0,0,0,1,0,0,0,6.5,12.9
89,Eli Manning,NYG,QB,1,161,2,1,4,0,0,0,0,0,0,0,0,12.8,12.8
90,Richard Seymour,NE,DE,3,0,0,0,0,0,0,0,0,1,0,0,0,4.3,12.8
91,Scott Shanle,NO,LB,2,0,0,0,0,0,0,0,0,1,0,0,0,6.4,12.8
92,Brian Dawkins,PHI,FS,2,0,0,0,0,0,0,0,0,0,0,0,0,6.2,12.5
93,Julius Jones,DAL,RB,1,0,0,0,112,0,2,0,0,0,0,0,0,12.2,12.2
94,Chad Pennington,NYJ,QB,1,300,1,1,1,0,0,0,0,0,0,0,0,12.1,12.1
95,G. Wistrom,SEA,DE,2,0,0,0,0,0,0,0,0,1,0,0,0,6.0,12.1
96,Omar Gaither,PHI,LB,2,0,0,0,0,0,0,0,0,0,0,0,0,6.0,12.0
97,R. Manning,CHI,CB,3,0,0,0,0,0,0,0,0,0,1,0,0,4.0,12.0
98,Patrick Crayton,DAL,WR,1,0,0,0,0,0,3,42,1,0,0,0,0,11.7,11.7
99,Alex Brown,CHI,DE,3,0,0,0,0,0,0,0,0,1,0,0,0,3.9,11.6
100,Tony Romo,DAL,QB,1,189,1,0,0,0,0,0,0,0,0,0,0,11.6,11.6
