params/max_grad_norm,params/seed,params/gamma,params/sde_sample_freq,params/clip_range_vf,params/clip_range,rollout/ep_len_mean,params/normalize_advantage,params/rollout_buffer_kwargs,params/use_sde,params/vf_coef,rollout/ep_rew_mean,params/target_kl,params/verbose,time/time_elapsed,params/_init_setup_model,params/n_steps,params/gae_lambda,params/device,time/iterations,params/rollout_buffer_class,params/policy_kwargs,params/policy,params/n_epochs,params/learning_rate,params/ent_coef,params/stats_window_size,time/total_timesteps,params/batch_size,time/fps,train/n_updates,train/clip_range,mean_reward,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/entropy_loss,train/loss,train/explained_variance,train/value_loss,eval/mean_ep_length,eval/mean_reward
,,,,,,15.0,,,,,0.58071679,,,2215,,,,,67,,,,,,,,34304,,15,799,0.2,0.036404457,-0.008055637590587139,0.019268127,9.915520000000001e-05,0.10323660714285714,-1.4660438469478063,0.0026915594935417175,0.1307666301727295,0.11201445758342743,,
,,,,,,15.0,,,,,0.60047367,,,2247,,,,,68,,,,,,,,34816,,15,806,0.2,,-0.012520241730201703,0.016134724,9.914240000000001e-05,0.1141826923076923,-1.460634314096891,-0.05964098870754242,-0.02500462532043457,0.034610884120831124,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,35000,,,810,0.2,,-0.005436320922204426,0.01598719,9.912960000000001e-05,0.11439732142857142,-1.4689208950315202,-0.016818929463624954,0.15713495016098022,0.0763855619089944,15.0,0.7747425127774477
,,,,,,15.05,,,,,0.66505029,,,2284,,,,,69,,,,,,,,35328,,15,,,0.042889677,,,,,,,,,,
,,,,,,15.05,,,,,0.6413080999999999,,,2316,,,,,70,,,,,,,,35840,,15,814,0.2,,-0.007421586396438735,0.018445194,9.91168e-05,0.07589285714285714,-1.4428856713431222,-0.035050440579652786,0.1529315710067749,0.031104509851762226,,
,,,,,,15.05,,,,,0.6578392699999998,,,2347,,,,,71,,,,,,,,36352,,15,818,0.2,0.043648727,-0.00698337158454316,0.015002614,9.9104e-05,0.08649553571428571,-1.4611468315124512,-0.014847896993160248,0.10371261835098267,0.08916763109820229,,
,,,,,,15.0,,,,,0.6506694200000002,,,2379,,,,,72,,,,,,,,36864,,15,825,0.2,,-0.010083706906208625,0.01642565,9.90912e-05,0.09795673076923077,-1.482802418562082,-0.03825615346431732,0.13675642013549805,0.05545414812289751,,
,,,,,,15.0,,,,,0.6658379099999999,,,2411,,,,,73,,,,,,,,37376,,15,840,0.2,0.04486403,-0.017421563683698574,0.008259935,9.90784e-05,0.090625,-1.4272061387697856,-0.06289716809988022,0.17560791969299316,0.02826636079698801,,
,,,,,,15.0,,,,,0.6512927399999999,,,2443,,,,,74,,,,,,,,37888,,15,850,0.2,,-0.019763866733563572,0.015989147,9.90656e-05,0.11986019736842106,-1.461458538707934,-0.06264428049325943,0.1189795732498169,0.051462575008994656,,
,,,,,,15.0,,,,,0.67113527,,,2475,,,,,75,,,,,,,,38400,,15,854,0.2,0.04237209,-0.006328587187454104,0.016305704,9.90528e-05,0.10595703125,-1.4316221177577972,-0.0120406374335289,0.10797840356826782,0.07635919516906142,,
,,,,,,15.0,,,,,0.68466906,,,2508,,,,,76,,,,,,,,38912,,15,868,0.2,,-0.031099627277365437,0.017016444,9.904e-05,0.16984953703703703,-1.4289562039905124,-0.09602836519479752,0.1747785210609436,0.006363274555446373,,
,,,,,,15.0,,,,,0.6780595700000001,,,2541,,,,,77,,,,,,,,39424,,15,874,0.2,0.04520439,-0.01560090621933341,0.013260769,9.90272e-05,0.12890625,-1.3774430851141612,-0.050579287111759186,0.27151864767074585,0.027202969106535118,,
,,,,,,15.0,,,,,0.6249275699999999,,,2574,,,,,78,,,,,,,,39936,,15,877,0.2,,-0.010634673526510596,0.015032662,9.90144e-05,0.095703125,-1.4085623621940613,-0.007999803870916367,0.0838882327079773,0.10592411955197652,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,40000,,,881,0.2,,-0.0072958304663188756,0.016113093,9.90016e-05,0.1171875,-1.40804985165596,-0.005483552813529968,0.07281118631362915,0.1053312961012125,15.0,0.780006330087781
,,,,,,15.05,,,,,0.61898633,,,2611,,,,,79,,,,,,,,40448,,15,,,0.042060934,,,,,,,,,,
,,,,,,15.05,,,,,0.65862128,,,2644,,,,,80,,,,,,,,40960,,15,896,0.2,,-0.0227227686981981,0.010295473,9.89888e-05,0.123046875,-1.407836099465688,-0.05739528685808182,0.13517433404922485,0.05216906952361266,,
,,,,,,15.05,,,,,0.67160159,,,2677,,,,,81,,,,,,,,41472,,15,900,0.2,0.04450835,-0.008930241456255317,0.014841782,9.8976e-05,0.06982421875,-1.4034607708454132,-0.0288054458796978,0.07714956998825073,0.055514357052743435,,
,,,,,,15.0,,,,,0.67949788,,,2709,,,,,82,,,,,,,,41984,,15,904,0.2,,-0.005452640554202455,0.017853742,9.896320000000001e-05,0.08258928571428571,-1.4291424580982752,-0.02632048726081848,0.20393168926239014,0.05181667261890003,,
,,,,,,15.0,,,,,0.7035622100000001,,,2741,,,,,83,,,,,,,,42496,,15,908,0.2,0.045913678,-0.005803773046604225,0.016932812,9.895040000000001e-05,0.09821428571428571,-1.3923574345452445,-0.040597833693027496,0.23404669761657715,0.027702375714268004,,
,,,,,,15.0,,,,,0.6631930000000001,,,2774,,,,,84,,,,,,,,43008,,15,923,0.2,0.042808056,-0.029398358426988125,0.01002872,9.893759999999999e-05,0.12161458333333333,-1.3794225454330444,-0.09632375836372375,0.6228637993335724,0.0028281540997947257,,
,,,,,,15.0,,,,,0.6541596599999999,,,2806,,,,,85,,,,,,,,43520,,15,937,0.2,,-0.0309982266543167,0.013287678,9.89248e-05,0.15597098214285715,-1.3790345191955566,-0.036990463733673096,0.11589556932449341,0.1159452564482178,,
