params/max_grad_norm,params/seed,params/gamma,params/sde_sample_freq,params/clip_range_vf,params/clip_range,rollout/ep_len_mean,params/normalize_advantage,params/rollout_buffer_kwargs,params/use_sde,params/vf_coef,rollout/ep_rew_mean,params/target_kl,params/verbose,time/time_elapsed,params/_init_setup_model,params/n_steps,params/gae_lambda,params/device,time/iterations,params/rollout_buffer_class,params/policy_kwargs,params/policy,params/n_epochs,params/learning_rate,params/ent_coef,params/stats_window_size,time/total_timesteps,params/batch_size,time/fps,train/n_updates,train/clip_range,mean_reward,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/entropy_loss,train/loss,train/explained_variance,train/value_loss,eval/mean_ep_length,eval/mean_reward
0.7,42,0.99,-1,,0.2,15.0,True,,False,0.5,-0.4420615882352941,0.01,1,33,True,512,0.95,"auto",1,,{'net_arch': [{'pi': [256, 256, 128], 'vf': [256, 256, 128]}]},"MlpPolicy",15,<function learning_rate_schedule.<locals>.<lambda> at 0x351965430>,0.03,100,512,256,15,,,,,,,,,,,,,
,,,,,,15.0,,,,,-0.37433867647058827,,,65,,,,,2,,,,,,,,1024,,15,15,0.2,-0.025183655,-0.007913158973678946,0.0072131306,9.99872e-05,0.007682291666666666,-1.7894827326138814,-0.020652882754802704,-1.2196404933929443,0.21400086457530657,,
,,,,,,15.0,,,,,-0.38909525,,,98,,,,,3,,,,,,,,1536,,15,30,0.2,,-0.00960204725464185,0.011177639,9.997440000000002e-05,0.033463541666666666,-1.76986829439799,0.0012970119714736938,0.12313199043273926,0.18599901099999747,,
,,,,,,15.0,,,,,-0.20303186999999998,,,133,,,,,4,,,,,,,,2048,,15,45,0.2,-0.013587999,-0.012631174960794548,0.0140508525,9.99616e-05,0.03463541666666667,-1.7392728805541993,-0.012805677950382233,0.153350830078125,0.1691740463177363,,
,,,,,,15.0,,,,,-0.10061898,,,166,,,,,5,,,,,,,,2560,,15,60,0.2,,-0.008592314366251231,0.007188923,9.99488e-05,0.056901041666666666,-1.7039849956830342,0.03956855088472366,-0.07844185829162598,0.2402478630344073,,
,,,,,,15.0,,,,,-0.15001372999999998,,,198,,,,,6,,,,,,,,3072,,15,75,0.2,-0.012495212,-0.0064414317098756635,0.006116711,9.993600000000001e-05,0.0,-1.698946479956309,0.026329264044761658,0.06280797719955444,0.2032488743464152,,
,,,,,,15.0,,,,,-0.31161002,,,231,,,,,7,,,,,,,,3584,,15,90,0.2,,-0.003518278043096264,0.006044246,9.992320000000001e-05,0.0,-1.6983471552530924,-0.01603175699710846,0.08189910650253296,0.15135814820726712,,
,,,,,,15.0,,,,,-0.47778045999999996,,,264,,,,,8,,,,,,,,4096,,15,105,0.2,-0.03035817,-0.007059760748719176,0.007406329,9.991040000000001e-05,0.025911458333333335,-1.700741203625997,-0.010187458246946335,-0.05328714847564697,0.13201291263103485,,
,,,,,,15.0,,,,,-0.39854991999999995,,,297,,,,,9,,,,,,,,4608,,15,120,0.2,,-0.009655714803375303,0.012428092,9.989760000000001e-05,0.055989583333333336,-1.6694108486175536,-0.022386066615581512,-0.1821150779724121,0.11924482310811678,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,,,130,0.2,,-0.008973439899273216,0.015320563,9.988480000000001e-05,0.0484375,-1.7170679330825807,0.02094583958387375,-0.02951502799987793,0.19985084161162375,15.0,-0.8743824891746044
,,,,,,15.05,,,,,-0.33238407999999997,,,334,,,,,10,,,,,,,,5120,,15,,,-0.017450096,,,,,,,,,,
,,,,,,15.05,,,,,-0.19502956999999999,,,366,,,,,11,,,,,,,,5632,,15,145,0.2,,-0.00978450548524658,0.008246966,9.987200000000001e-05,0.08893229166666666,-1.760908297697703,0.011496536433696747,0.008455097675323486,0.18322316706180572,,
,,,,,,15.05,,,,,-0.19612949999999998,,,399,,,,,12,,,,,,,,6144,,15,160,0.2,-0.011763197,-0.008703566901385785,0.0040552304,9.985920000000001e-05,0.03359375,-1.76584259668986,0.028302110731601715,-0.25471746921539307,0.24080699185530344,,
,,,,,,15.0,,,,,-0.18732849000000001,,,431,,,,,13,,,,,,,,6656,,15,175,0.2,,-0.008502002541596691,0.0035188925,9.984640000000001e-05,0.005989583333333334,-1.757212515672048,0.002098195254802704,-0.0018144845962524414,0.18997975786526997,,
,,,,,,15.0,,,,,-0.28899813,,,466,,,,,14,,,,,,,,7168,,15,190,0.2,-0.020837944,-0.017838130130742987,0.0097599365,9.98336e-05,0.065625,-1.736602012316386,-0.016119420528411865,-0.20542120933532715,0.20649650146563847,,
,,,,,,15.0,,,,,-0.25913906,,,498,,,,,15,,,,,,,,7680,,15,205,0.2,,-0.015006593273331722,0.008290298,9.98208e-05,0.05065104166666667,-1.7408686677614849,-0.011740155518054962,0.041683733463287354,0.1635440319776535,,
,,,,,,15.0,,,,,-0.21336235999999997,,,532,,,,,16,,,,,,,,8192,,15,220,0.2,-0.011543268,-0.008007816403793793,0.0044787275,9.9808e-05,0.009765625,-1.711720915635427,0.03508683294057846,-0.05713534355163574,0.21673866709073383,,
,,,,,,15.0,,,,,-0.1418817,,,564,,,,,17,,,,,,,,8704,,15,235,0.2,,-0.01793999147290985,0.008633211,9.97952e-05,0.088671875,-1.6879533370335897,0.012612789869308472,0.032104432582855225,0.2043351819117864,,
,,,,,,15.0,,,,,-0.14181701000000002,,,596,,,,,18,,,,,,,,9216,,15,250,0.2,-0.0049827625,-0.013077730095634859,0.0053543635,9.97824e-05,0.06171875,-1.719927712281545,0.022880688309669495,-0.012595772743225098,0.2108689030011495,,
,,,,,,15.0,,,,,-0.17319491000000004,,,629,,,,,19,,,,,,,,9728,,15,265,0.2,,-0.01280833367879192,0.006258637,9.97696e-05,0.035807291666666664,-1.7207217415173848,0.004008457064628601,-0.17625045776367188,0.21286888172229132,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,,280,0.2,,-0.014218149706721306,0.0060069384,9.97568e-05,0.023177083333333334,-1.70521031220754,-0.0038567185401916504,0.10149896144866943,0.18354409784078599,15.0,-0.7575556084513664
,,,,,,15.05,,,,,-0.21551922999999998,,,666,,,,,20,,,,,,,,10240,,15,,,-0.016170876,,,,,,,,,,
,,,,,,15.05,,,,,-0.16492965999999998,,,699,,,,,21,,,,,,,,10752,,15,284,0.2,,-0.007738978776615113,0.012557885,9.9744e-05,0.06640625,-1.6887854039669037,0.08633013069629669,-0.2144085168838501,0.26471736654639244,,
,,,,,,15.05,,,,,-0.15003437000000003,,,731,,,,,22,,,,,,,,11264,,15,290,0.2,-0.011666231,-0.006431452760642225,0.020677533,9.97312e-05,0.06427556818181818,-1.6852657794952393,0.04414264112710953,-0.1178731918334961,0.25458244437521155,,
,,,,,,15.0,,,,,-0.18017656,,,763,,,,,23,,,,,,,,11776,,15,305,0.2,,-0.014403592888265848,0.005161746,9.97184e-05,0.07096354166666667,-1.7132766723632813,0.005203597247600555,0.08048063516616821,0.20185123433669408,,
,,,,,,15.0,,,,,-0.12664570999999997,,,797,,,,,24,,,,,,,,12288,,15,320,0.2,-0.008655658,-0.02134827934205532,0.008659702,9.97056e-05,0.06901041666666667,-1.672749133904775,0.003759622573852539,0.008137822151184082,0.20773520519336064,,
,,,,,,15.0,,,,,-0.10913411,,,829,,,,,25,,,,,,,,12800,,15,335,0.2,,-0.021759441681206228,0.008888706,9.96928e-05,0.06458333333333334,-1.6678013602892559,0.0011776089668273926,0.045270442962646484,0.20966525226831437,,
,,,,,,15.0,,,,,0.001545679999999997,,,862,,,,,26,,,,,,,,13312,,15,350,0.2,-0.007427068,-0.026352120858306686,0.011392927,9.968000000000001e-05,0.10768229166666667,-1.6543532093365987,-0.021653003990650177,0.1355476975440979,0.17883417109648386,,
,,,,,,15.0,,,,,-0.016478570000000005,,,894,,,,,27,,,,,,,,13824,,15,365,0.2,,-0.022247536511470874,0.011958323,9.966720000000001e-05,0.053515625,-1.6458221515019735,-0.019700080156326294,-0.3036383390426636,0.21258029490709304,,
,,,,,,15.0,,,,,-0.031087820000000006,,,927,,,,,28,,,,,,,,14336,,15,380,0.2,0.0034619954,-0.022375490547468267,0.008839893,9.96544e-05,0.071875,-1.5931175033251443,-0.004057213664054871,0.08375245332717896,0.2038652961452802,,
,,,,,,15.0,,,,,-0.11209799000000001,,,959,,,,,29,,,,,,,,14848,,15,395,0.2,,-0.024289249489083887,0.011121679,9.96416e-05,0.082421875,-1.6140746792157492,-0.007857821881771088,-0.01858079433441162,0.22179774194955826,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,,,410,0.2,,-0.02739169169217348,0.011775118,9.96288e-05,0.122265625,-1.6173769195874532,-0.011159330606460571,0.08492821455001831,0.2073108012477557,15.0,-0.7142950136214494
,,,,,,15.05,,,,,-0.06194886,,,997,,,,,30,,,,,,,,15360,,15,,,-0.0069946838,,,,,,,,,,
,,,,,,15.05,,,,,0.04376535999999999,,,1030,,,,,31,,,,,,,,15872,,15,425,0.2,,-0.020229331000397602,0.009176586,9.9616e-05,0.044921875,-1.5742185711860657,0.012264035642147064,-0.10547018051147461,0.22836530456940332,,
,,,,,,15.05,,,,,0.11915819000000001,,,1062,,,,,32,,,,,,,,16384,,15,440,0.2,0.009123178,-0.02046242351643741,0.010862536,9.96032e-05,0.109375,-1.5603026827176412,-0.005181893706321716,0.04143041372299194,0.20427589764197668,,
,,,,,,15.0,,,,,0.14476458,,,1095,,,,,33,,,,,,,,16896,,15,444,0.2,,-0.006464335235900113,0.01709674,9.959040000000001e-05,0.08872767857142858,-1.6232444899422782,0.05492671579122543,0.039493680000305176,0.24571987986564636,,
,,,,,,15.0,,,,,0.06764252999999999,,,1127,,,,,34,,,,,,,,17408,,15,459,0.2,0.006096204,-0.02570199022690455,0.009884814,9.957760000000001e-05,0.10338541666666666,-1.6199768424034118,-0.012654304504394531,-0.013736724853515625,0.2005651116371155,,
,,,,,,15.0,,,,,0.00892964000000001,,,1160,,,,,35,,,,,,,,17920,,15,474,0.2,,-0.024559757811948656,0.008837051,9.95648e-05,0.12005208333333334,-1.6050186117490133,-0.012357167899608612,0.08883476257324219,0.2085590605934461,,
,,,,,,15.0,,,,,0.047777659999999986,,,1193,,,,,36,,,,,,,,18432,,15,489,0.2,-0.0013744504,-0.026401230118547878,0.010833815,9.955200000000001e-05,0.10390625,-1.56028946240743,-0.015608340501785278,-0.058843135833740234,0.21087152610222498,,
,,,,,,15.0,,,,,0.13729021000000002,,,1227,,,,,37,,,,,,,,18944,,15,504,0.2,,-0.0234976294140021,0.0101084495,9.953920000000001e-05,0.08489583333333334,-1.5807958801587423,-0.004468195140361786,-0.013445734977722168,0.2047505368789037,,
,,,,,,15.0,,,,,0.17587759000000003,,,1260,,,,,38,,,,,,,,19456,,15,519,0.2,0.0155512635,-0.023481312037135164,0.011049032,9.952640000000001e-05,0.10377604166666667,-1.5696791410446167,-0.014499448239803314,0.04122656583786011,0.1820788065592448,,
,,,,,,15.0,,,,,0.22433154000000002,,,1293,,,,,39,,,,,,,,19968,,15,534,0.2,,-0.02102924425465365,0.008403286,9.951360000000001e-05,0.06393229166666667,-1.5205450693766276,0.01688455045223236,0.0014875531196594238,0.23133210291465123,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20000,,,549,0.2,,-0.02698110168178876,0.010197401,9.950080000000001e-05,0.0796875,-1.5096306403477986,-0.01796656847000122,0.05227804183959961,0.17837415933609008,15.0,0.6998221348971129
,,,,,,15.05,,,,,0.18436954999999997,,,1330,,,,,40,,,,,,,,20480,,15,,,0.0117145395,,,,,,,,,,
,,,,,,15.05,,,,,0.2303167,,,1362,,,,,41,,,,,,,,20992,,15,564,0.2,,-0.03359114803994696,0.012054358,9.948800000000001e-05,0.121484375,-1.5276149749755858,-0.05172645300626755,0.27583032846450806,0.15251886397600173,,
,,,,,,15.05,,,,,0.22677187,,,1395,,,,,42,,,,,,,,21504,,15,579,0.2,0.014347742,-0.030269197871287665,0.0125061115,9.94752e-05,0.12265625,-1.497517458597819,-0.013499259948730469,-0.21127033233642578,0.20842555562655132,,
,,,,,,15.0,,,,,0.19276872,,,1427,,,,,43,,,,,,,,22016,,15,594,0.2,0.014374691,-0.03216154320786397,0.009342246,9.94624e-05,0.09388020833333334,-1.5012998421986898,-0.031346701085567474,0.17251116037368774,0.17031942556301752,,
,,,,,,15.0,,,,,0.25281311,,,1460,,,,,44,,,,,,,,22528,,15,609,0.2,,-0.02705044373869896,0.010234099,9.94496e-05,0.098046875,-1.4628232399622598,-0.020061694085597992,-0.016657233238220215,0.20175463159879048,,
,,,,,,15.0,,,,,0.35170534,,,1492,,,,,45,,,,,,,,23040,,15,624,0.2,0.03031036,-0.02295918477078279,0.009937927,9.94368e-05,0.11223958333333334,-1.4845596114794413,-0.026985347270965576,0.13582515716552734,0.14998050009210903,,
,,,,,,15.0,,,,,0.41057123000000006,,,1525,,,,,46,,,,,,,,23552,,15,639,0.2,,-0.028137121877322594,0.01106146,9.9424e-05,0.13919270833333333,-1.4881568392117819,-0.05574877932667732,0.041384875774383545,0.09315280293424924,,
,,,,,,15.0,,,,,0.42839119000000003,,,1557,,,,,47,,,,,,,,24064,,15,643,0.2,0.023307167,-0.007149356417357922,0.01656188,9.94112e-05,0.10205078125,-1.4899647384881973,0.02112158015370369,0.22085785865783691,0.16016455739736557,,
,,,,,,15.0,,,,,0.47180089000000003,,,1590,,,,,48,,,,,,,,24576,,15,651,0.2,,-0.013563027760634819,0.016059346,9.93984e-05,0.0796875,-1.5058649857838948,0.007463306188583374,-0.16955244541168213,0.16575046281019848,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,25000,,,656,0.2,,-0.011548535153269767,0.016487407,9.93856e-05,0.0875,-1.489337980747223,-0.04212095960974693,0.22937488555908203,0.0546794842928648,15.0,0.7418493829667568
,,,,,,15.05,,,,,0.48785691999999997,,,1627,,,,,49,,,,,,,,25088,,15,,,0.034606896,,,,,,,,,,
,,,,,,15.05,,,,,0.4279902599999999,,,1660,,,,,50,,,,,,,,25600,,15,660,0.2,,-0.009462674148380756,0.016332641,9.93728e-05,0.10498046875,-1.51757450401783,0.01970088481903076,0.10459482669830322,0.16726930253207684,,
,,,,,,15.05,,,,,0.3739633400000001,,,1692,,,,,51,,,,,,,,26112,,15,675,0.2,0.024790466,-0.029684027501692373,0.012659276,9.936e-05,0.13815104166666667,-1.5183123429616292,-0.015012718737125397,0.06743234395980835,0.1699110249678294,,
,,,,,,15.0,,,,,0.49046338,,,1724,,,,,52,,,,,,,,26624,,15,690,0.2,,-0.02314553875476122,0.0077788243,9.934720000000001e-05,0.08541666666666667,-1.5045754869778951,-0.024642616510391235,0.018090248107910156,0.13389166047175724,,
,,,,,,15.0,,,,,0.46364712,,,1757,,,,,53,,,,,,,,27136,,15,695,0.2,0.031021154,-0.01302871232231458,0.017893754,9.93344e-05,0.07508680555555555,-1.5174749692281086,-0.034783169627189636,-0.11942589282989502,0.08751471589008968,,
,,,,,,15.0,,,,,0.47804621000000014,,,1789,,,,,54,,,,,,,,27648,,15,710,0.2,,-0.026081339394052824,0.008289333,9.93216e-05,0.10859375,-1.4961134433746337,-0.023049496114253998,-0.0076247453689575195,0.17524269521236419,,
,,,,,,15.0,,,,,0.42089092,,,1821,,,,,55,,,,,,,,28160,,15,725,0.2,0.03376596,-0.0279598672563831,0.012922423,9.930880000000001e-05,0.089453125,-1.4960796038309734,-0.041725777089595795,-0.025429248809814453,0.113309629013141,,
,,,,,,15.0,,,,,0.43749459,,,1854,,,,,56,,,,,,,,28672,,15,730,0.2,,-0.012114511290565132,0.01345355,9.9296e-05,0.06484375,-1.5136971116065978,0.019050654023885727,-0.02735614776611328,0.1761597916483879,,
,,,,,,15.0,,,,,0.46683097999999995,,,1886,,,,,57,,,,,,,,29184,,15,745,0.2,0.028087795,-0.028715884902824958,0.010206595,9.92832e-05,0.107421875,-1.4789435068766277,-0.03451062738895416,0.06200230121612549,0.14550514047344526,,
,,,,,,15.0,,,,,0.53646868,,,1918,,,,,58,,,,,,,,29696,,15,750,0.2,,-0.008263872284442187,0.015166013,9.92704e-05,0.07421875,-1.5061817169189453,-0.013851314783096313,-0.05672180652618408,0.0907166726887226,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,30000,,,754,0.2,,-0.009666486585047096,0.013472674,9.92576e-05,0.0703125,-1.4890641868114471,-0.023851649835705757,0.016261637210845947,0.08140763500705361,15.0,0.7626991249620915
,,,,,,15.05,,,,,0.5759602,,,1955,,,,,59,,,,,,,,30208,,15,,,0.039504103,,,,,,,,,,
,,,,,,15.05,,,,,0.59575844,,,1988,,,,,60,,,,,,,,30720,,15,757,0.2,,-0.006493394107868274,0.013187977,9.92448e-05,0.07877604166666667,-1.4611090620358784,-0.008652452379465103,0.09059733152389526,0.100615161160628,,
,,,,,,15.05,,,,,0.60425352,,,2020,,,,,61,,,,,,,,31232,,15,762,0.2,0.04133376,-0.005466516967862845,0.014148084,9.9232e-05,0.091015625,-1.470622432231903,-0.028381558135151863,0.11852270364761353,0.05534160137176514,,
,,,,,,15.0,,,,,0.5951972,,,2053,,,,,62,,,,,,,,31744,,15,767,0.2,,-0.011011220794171096,0.017275678,9.921920000000001e-05,0.0875,-1.4746968626976014,-0.023053660988807678,0.19415420293807983,0.07446374371647835,,
,,,,,,15.0,,,,,0.5712045599999999,,,2085,,,,,63,,,,,,,,32256,,15,771,0.2,0.036904488,-0.005195502723966326,0.015350086,9.920640000000001e-05,0.09375,-1.4607176099504744,0.010022226721048355,0.12221020460128784,0.12061618162052971,,
,,,,,,15.0,,,,,0.51701146,,,2118,,,,,64,,,,,,,,32768,,15,776,0.2,,-0.008802650962024927,0.015358796,9.919360000000001e-05,0.116796875,-1.436992335319519,-0.016312524676322937,0.06762707233428955,0.10265433937311172,,
,,,,,,15.0,,,,,0.50746772,,,2151,,,,,65,,,,,,,,33280,,15,780,0.2,0.03421313,-0.010480088472831994,0.014770116,9.918080000000001e-05,0.0859375,-1.4623044580221176,0.026260748505592346,0.06500071287155151,0.17719713225960732,,
,,,,,,15.0,,,,,0.5033566199999999,,,2183,,,,,66,,,,,,,,33792,,15,795,0.2,,-0.031544683827087285,0.011914481,9.916800000000001e-05,0.137890625,-1.4775218804677328,-0.04932929947972298,0.015477657318115234,0.11537807062268257,,
