gp,rec_tgt,rec_rcpt,rec_yd,rec_yd_per_game,rec_yd_per_rcpt,rec_td,fumbles_lost,fpts,fp_per_game,pos,source,source_url,fpts_halfppr_adjust,player,team
17,57,37,388,22.8,10.5,3,0,66.5,2.8,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Hayden Hurst,LAC
17,46,34,370,21.8,10.9,3,0,64.0,2.8,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Tucker Kraft,GB
17,38,26,225,13.2,8.7,5,0,58.0,2.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Tommy Tremble,CAR
17,28,16,206,12.1,12.9,5,0,51.0,2.5,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Mo Alie-Cox,IND
17,46,38,386,22.7,10.2,2,0,61.0,2.5,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Durham Smythe,MIA
17,45,28,360,21.2,12.9,2,0,55.0,2.4,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Kylen Granson,IND
17,43,31,373,21.9,12.0,2,0,56.5,2.4,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Elijah Higgins,ARI
17,58,39,371,21.8,9.5,2,1,58.5,2.3,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Theo Johnson,NYG
17,57,38,354,20.8,9.3,2,1,56.0,2.2,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Ja'Tavion Sanders,CAR
17,47,30,271,15.9,9.0,3,0,51.0,2.1,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Zach Ertz,WAS
17,32,22,260,15.3,11.8,3,1,45.0,2.0,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Logan Thomas,SF
17,31,26,251,14.8,9.7,3,0,47.0,2.0,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Brock Wright,DET
17,38,25,233,13.7,9.3,3,0,45.5,1.9,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Adam Trautman,DEN
17,40,28,297,17.5,10.6,2,0,47.0,1.9,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Noah Gray,C
17,35,27,259,15.2,9.6,2,0,43.5,1.8,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Johnny Mundt,MIN
17,36,27,256,15.1,9.5,2,1,41.5,1.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Josh Oliver,MIN
17,34,30,315,18.5,10.5,1,0,43.0,1.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Daniel Bellinger,NYG
17,26,16,250,14.7,15.6,2,0,36.0,1.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Jelani Woods,IND
17,22,16,179,10.5,11.2,2,0,30.0,1.3,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Colby Parkinson,LAR
17,16,11,179,10.5,16.3,2,0,27.5,1.3,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Teagan Quitoriano,HOU
17,7,6,49,2.9,8.2,3,0,22.0,1.1,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Jimmy Graham,NO
17,35,24,204,12.0,8.5,1,0,31.0,1.1,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Connor Heyward,PIT
17,34,21,210,12.4,10.0,1,0,29.5,1.1,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Ian Thomas,CAR
17,15,11,119,7.0,10.8,2,0,22.5,1.0,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Quintin Morris,BUF
17,11,11,93,5.5,8.5,2,0,21.5,0.9,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Ben Sims,GB
17,12,9,102,6.0,11.3,2,0,20.5,0.9,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,MyCole Pruitt,PIT
17,13,12,101,5.9,8.4,2,0,22.0,0.9,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Brenton Strange,JAC
17,10,7,74,4.4,10.6,2,0,18.5,0.9,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,C.J. Uzomah,PHI
17,24,17,157,9.2,9.2,1,0,21.5,0.8,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Austin Hooper,NE
17,15,11,159,9.4,14.5,1,0,18.5,0.8,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Brycen Hopkins,LAR
17,31,16,166,9.8,10.4,1,0,21.0,0.8,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Stephen Sullivan,CAR
17,20,10,161,9.5,16.1,1,0,18.0,0.8,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Andrew Ogletree,IND
17,21,12,158,9.3,13.2,1,0,19.0,0.8,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Stone Smartt,LAC
17,19,16,158,9.3,9.9,1,0,21.0,0.8,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Will Dissly,LAC
17,24,16,145,8.5,9.1,1,0,20.0,0.7,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,John Bates,WAS
17,17,12,136,8.0,11.3,1,0,18.0,0.7,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Payne Durham,TB
