gp,rec_tgt,rec_rcpt,rec_yd,rec_yd_per_game,rec_yd_per_rcpt,rec_td,fumbles_lost,fpts,fp_per_game,pos,source,source_url,fpts_halfppr_adjust,player,team
17,46,34,372,21.9,10.9,3,0,64.0,2.8,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Tucker Kraft,GB
17,38,25,223,13.1,8.9,5,0,57.5,2.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Tommy Tremble,CAR
13,58,39,391,30.1,10.0,2,0,63.5,3.4,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Tyler Higbee,LAR
17,28,16,205,12.1,12.8,5,0,51.0,2.5,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Mo Alie-Cox,IND
17,46,37,385,22.6,10.4,2,0,60.5,2.5,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Durham Smythe,MIA
17,45,28,359,21.1,12.8,2,0,55.0,2.4,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Kylen Granson,IND
17,43,31,373,21.9,12.0,2,0,56.5,2.4,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Elijah Higgins,ARI
17,58,39,370,21.8,9.5,2,1,58.5,2.3,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Theo Johnson,NYG
17,56,38,351,20.6,9.2,2,1,56.0,2.2,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Ja'Tavion Sanders,CAR
17,31,27,251,14.8,9.3,3,0,47.5,2.0,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Brock Wright,DET
17,40,28,294,17.3,10.5,2,0,47.0,1.9,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Noah Gray,C
17,39,25,236,13.9,9.4,3,0,45.5,1.9,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Adam Trautman,DEN
17,37,27,258,15.2,9.6,2,1,41.5,1.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Josh Oliver,MIN
17,34,29,314,18.5,10.8,1,0,42.5,1.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Daniel Bellinger,NYG
17,40,29,264,15.5,9.1,1,0,38.5,1.4,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Austin Hooper,NE
17,25,18,201,11.8,11.2,2,0,33.0,1.4,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Colby Parkinson,LAR
17,34,21,209,12.3,10.0,1,0,29.5,1.1,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Ian Thomas,CAR
17,35,24,203,11.9,8.5,1,0,30.0,1.1,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Connor Heyward,PIT
17,16,11,123,7.2,11.2,2,0,22.5,1.0,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Quintin Morris,BUF
17,13,12,101,5.9,8.4,2,0,22.0,0.9,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Brenton Strange,JAC
17,11,11,93,5.5,8.5,2,0,21.5,0.9,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Ben Sims,GB
17,12,9,101,5.9,11.2,2,0,20.5,0.9,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,MyCole Pruitt,PIT
17,19,15,157,9.2,10.5,1,0,20.5,0.8,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Will Dissly,LAC
17,20,10,160,9.4,16.0,1,0,18.0,0.8,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Andrew Ogletree,IND
17,22,17,158,9.3,9.3,1,0,21.5,0.8,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Johnny Mundt,MIN
17,21,11,157,9.2,14.3,1,0,18.5,0.8,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Stone Smartt,LAC
17,17,12,136,8.0,11.3,1,0,18.0,0.7,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Payne Durham,TB
17,24,16,145,8.5,9.1,1,0,20.0,0.7,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,John Bates,WAS
17,14,11,152,8.9,13.8,1,0,17.5,0.7,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Pharaoh Brown,SEA
17,14,12,129,7.6,10.8,1,0,17.0,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Luke Farrell,JAC
17,12,8,127,7.5,15.9,1,0,15.0,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Ross Dwelley,ATL
17,16,12,122,7.2,10.2,1,0,17.0,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Erick All,CIN
17,15,11,120,7.1,10.9,1,0,16.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Foster Moreau,NO
17,16,12,124,7.3,10.3,1,0,17.0,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,James Mitchell,DET
17,16,12,122,7.2,10.2,1,0,17.0,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Tanner McLachlan,CIN
17,16,13,128,7.5,9.9,1,0,17.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Jared Wiley,C
17,14,11,120,7.1,10.9,1,0,16.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Cade Stover,HOU
17,14,11,115,6.8,10.5,1,0,15.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Davis Allen,LAR
17,15,10,118,6.9,11.8,1,0,15.0,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Cole Turner,WAS
17,14,11,113,6.6,10.3,1,0,15.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Devin Culp,TB
17,13,10,116,6.8,11.6,1,0,15.0,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Will Mallory,IND
17,14,11,117,6.9,10.6,1,0,15.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Grant Calcaterra,PHI
17,15,11,112,6.6,10.2,1,0,15.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Dallin Holker,NO
17,15,11,102,6.0,9.3,1,0,15.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Tip Reiman,ARI
17,15,12,100,5.9,8.3,1,0,16.0,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Drew Sample,CIN
17,20,12,118,6.9,9.8,1,0,16.0,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Peyton Hendershot,DAL
17,13,9,103,6.1,11.4,1,0,14.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Nick Vannett,N
17,13,10,99,5.8,9.9,1,0,15.0,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Eric Saubert,SF
17,17,9,91,5.4,10.1,1,0,14.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Hunter Long,LAR
17,15,11,102,6.0,9.3,1,0,15.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Travis Vokolek,ARI
17,12,9,104,6.1,11.6,1,0,14.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Lucas Krull,DEN
17,11,9,91,5.4,10.1,1,0,14.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Josh Whyle,N
17,15,11,112,6.6,10.2,1,0,15.5,0.6,TE,CBS,https://www.cbssports.com/fantasy/football/stats/TE/2024/restofseason/projections/nonppr/,True,Jeremy Ruckert,NYJ
