gp,rec_tgt,rec_rcpt,rec_yd,rec_yd_per_game,rec_yd_per_rcpt,rec_td,rush_att,rush_yd,rush_yd_per_rsh,rush_td,fumbles_lost,fpts,fp_per_game,pos,source,source_url,fpts_halfppr_adjust,player,team
17,73,48,703,41.4,14.7,5,0,0,0.0,0,0,117.0,5.5,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Michael Wilson,ARI
17,70,37,560,32.9,15.1,8,0,0,0.0,0,1,111.5,5.5,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,DJ Chark,LAC
17,62,40,656,38.6,16.4,6,1,3,3.0,0,0,112.0,5.4,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,A.T. Perry,NO
17,74,41,665,39.1,16.2,6,1,0,0.0,0,1,112.5,5.4,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Gabe Davis,JAC
17,72,44,692,40.7,15.7,5,0,0,0.0,0,0,113.0,5.4,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Darius Slayton,NYG
17,93,68,696,40.9,10.2,5,1,5,5.0,0,0,125.0,5.4,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Adam Thielen,CAR
17,92,71,672,39.5,9.5,4,8,78,9.8,1,0,126.5,5.4,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Wan'Dale Robinson,NYG
17,79,54,579,34.1,10.7,5,16,82,5.1,1,0,116.0,5.2,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Curtis Samuel,BUF
17,106,67,808,47.5,12.1,3,9,44,4.9,0,2,120.5,5.1,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Demario Douglas,NE
17,78,48,733,43.1,15.3,4,2,11,5.5,0,2,110.0,5.1,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Adonai Mitchell,IND
17,57,38,578,34.0,15.2,6,1,1,1.0,0,1,103.0,4.9,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Dontayvion Wicks,GB
17,91,56,730,42.9,13.0,4,2,10,5.0,0,2,112.0,4.9,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Troy Franklin,DEN
17,86,60,708,41.6,11.8,3,0,0,0.0,0,0,111.0,4.8,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Josh Downs,IND
17,82,46,675,39.7,14.7,4,0,2,0.0,0,1,103.0,4.7,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Odell Beckham Jr.,MIA
17,68,43,578,34.0,13.4,5,1,20,20.0,0,1,100.5,4.6,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Demarcus Robinson,LAR
17,80,47,629,37.0,13.4,4,1,14,14.0,0,0,102.5,4.6,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Rashod Bateman,BAL
17,76,47,656,38.6,14.0,4,2,7,3.5,0,1,101.5,4.6,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Jermaine Burton,CIN
17,65,40,575,33.8,14.4,5,0,0,0.0,0,1,97.0,4.5,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Josh Reynolds,DEN
17,83,47,602,35.4,12.8,4,3,8,2.7,0,0,99.5,4.5,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Quentin Johnston,LAC
17,77,47,641,37.7,13.6,3,2,11,5.5,0,1,94.5,4.2,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Roman Wilson,PIT
17,72,40,599,35.2,15.0,3,2,8,4.0,0,0,90.0,4.1,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Darnell Mooney,ATL
17,74,46,634,37.3,13.8,3,2,10,5.0,0,2,92.0,4.1,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Xavier Legette,CAR
17,96,56,520,30.6,9.3,4,1,5,5.0,0,0,96.0,4.0,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Zay Jones,ARI
17,91,53,600,35.3,11.3,3,8,18,2.3,0,2,93.5,3.9,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Elijah Moore,CLE
17,43,26,374,22.0,14.4,6,0,0,0.0,0,0,79.0,3.9,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Brandon Johnson,DEN
17,40,26,292,17.2,11.2,6,13,126,9.7,1,1,79.0,3.9,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,KaVontae Turpin,DAL
17,62,43,457,26.9,10.6,3,25,136,5.4,1,0,87.5,3.9,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Rondale Moore,ATL
17,57,34,438,25.8,12.9,5,1,3,3.0,0,0,82.0,3.8,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Cedrick Wilson Jr.,NO
17,70,45,488,28.7,10.8,4,3,20,6.7,0,0,86.5,3.8,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Greg Dortch,ARI
17,79,43,483,28.4,11.2,3,2,11,5.5,0,0,78.5,3.4,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Robert Woods,HOU
17,48,36,488,28.7,13.6,3,0,2,0.0,0,0,75.0,3.4,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Trenton Irwin,CIN
17,58,29,488,28.7,16.8,3,0,0,0.0,0,0,71.5,3.4,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Alec Pierce,IND
17,67,36,470,27.6,13.1,3,0,0,0.0,0,0,74.0,3.3,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Marquez Callaway,PIT
17,70,43,529,31.1,12.3,2,2,9,4.5,0,1,77.5,3.3,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Ja'Lynn Polk,NE
17,56,32,519,30.5,16.2,2,0,0,0.0,0,0,72.0,3.3,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Jalin Hyatt,NYG
17,62,43,514,30.2,12.0,2,2,11,5.5,0,0,77.5,3.3,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Tyler Boyd,N
17,50,31,495,29.1,16.0,3,2,12,6.0,0,2,70.5,3.2,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Ricky Pearsall,SF
17,92,47,505,29.7,10.7,2,0,0,0.0,0,0,76.5,3.1,WR,CBS,https://www.cbssports.com/fantasy/football/stats/WR/2024/restofseason/projections/nonppr/,True,Jonathan Mingo,CAR
