rollout/ep_rew_mean,params/policy_kwargs,params/max_grad_norm,params/gae_lambda,params/rollout_buffer_kwargs,params/_init_setup_model,mean_reward,params/policy,params/ent_coef,time/fps,params/batch_size,params/gamma,time/iterations,params/device,params/learning_rate,params/n_steps,params/vf_coef,params/normalize_advantage,params/verbose,params/clip_range_vf,params/rollout_buffer_class,time/time_elapsed,params/use_sde,params/clip_range,params/sde_sample_freq,time/total_timesteps,rollout/ep_len_mean,params/n_epochs,params/seed,params/stats_window_size,train/clip_fraction,train/learning_rate,train/n_updates,train/explained_variance,train/loss,train/clip_range,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,eval/mean_ep_length,eval/mean_reward
-2.14155522,{'net_arch': [{'pi': [256, 256, 128], 'vf': [256, 256, 128]}]},0.7,0.95,,True,-0.4749153,"MlpPolicy",0.03,15,750,0.99,1,"auto",<function learning_rate_schedule.<locals>.<lambda> at 0x354fe6430>,750,0.5,True,1,,,49,False,0.2,-1,750,15.0,30,42,100,,,,,,,,,,,,
-1.95900484,,,,,,-2.192057,,,15,,,2,,,,,,,,,99,,,,1500,15.0,,,,0.008888889042039713,9.998125e-05,30,-1.2114782333374023,0.12176977097988129,0.2,-1.7877070824305217,-0.008164769195030412,0.994725055495898,0.013437292,,
-1.6695615799999999,,,,,,-1.7764546,,,15,,,3,,,,,,,,,149,,,,2250,15.0,,,,0.12431111086625606,9.99625e-05,60,-0.05368208885192871,0.13247741758823395,0.2,-1.758297582467397,-0.01537978312178101,0.5364914119243622,0.011358136,,
-1.39759604,,,,,,-1.5109608,,,15,,,4,,,,,,,,,197,,,,3000,15.0,,,,0.1621333320935567,9.994375e-05,90,0.20747160911560059,0.06382188946008682,0.2,-1.7222052971522013,-0.01704880179548507,0.321477002898852,0.011228303,,
-1.18879383,,,,,,-1.2442312,,,15,,,5,,,,,,,,,245,,,,3750,15.0,,,,0.0798666663467884,9.9925e-05,120,0.025696516036987305,0.14035961031913757,0.2,-1.6793412168820698,-0.010600576771774388,0.47684133648872373,0.012297926,,
-1.0529633900000002,,,,,,-1.1538545,,,15,,,6,,,,,,,,,294,,,,4500,15.0,,,,0.11235555556292336,9.990625e-05,150,0.07439476251602173,0.018387943506240845,0.2,-1.6271199425061544,-0.012756597831656431,0.21650933374961218,0.012111661,,
,,,,,,-0.9520723,,,,,,,,,,,,,,,,,,,5000,,,,,0.04351111088568966,9.988750000000001e-05,180,-0.04041647911071777,0.11331507563591003,0.2,-1.6001619736353556,-0.007708976938160939,0.3952611933151881,0.00684954,15.0,-1.0
-0.96993408,,,,,,,,,15,,,7,,,,,,,,,347,,,,5250,15.05,,,,,,,,,,,,,,,
-1.05499515,,,,,,-0.95900565,,,15,,,8,,,,,,,,,395,,,,6000,15.05,,,,0.11973333309094111,9.986875000000001e-05,210,-0.07361078262329102,0.0701313316822052,0.2,-1.6043905059496562,-0.013654715229162128,0.33524569869041443,0.01608027,,
-1.11381658,,,,,,-1.1517606,,,15,,,9,,,,,,,,,445,,,,6750,15.0,,,,0.0671555555347974,9.985000000000001e-05,240,-0.28204917907714844,0.04322431981563568,0.2,-1.6320235172907511,-0.011182774860366607,0.3010200927654902,0.011201044,,
-1.04295374,,,,,,-1.1158725,,,15,,,10,,,,,,,,,494,,,,7500,15.0,,,,0.055200000091766316,9.983125e-05,270,-0.09629595279693604,0.04853097349405289,0.2,-1.5906054854393006,-0.008892209444169167,0.24595944136381148,0.0082005225,,
-1.00487069,,,,,,-0.97006935,,,15,,,11,,,,,,,,,544,,,,8250,15.0,,,,0.09271111072351536,9.98125e-05,300,0.010488510131835938,0.06759361177682877,0.2,-1.5770821531613668,-0.010081175517195111,0.28224003116289775,0.009193362,,
-1.00555294,,,,,,-0.999672,,,15,,,12,,,,,,,,,595,,,,9000,15.0,,,,0.028488888459590574,9.979375e-05,330,-0.09696650505065918,0.0646064504981041,0.2,-1.583314029375712,-0.005832156527416199,0.27225252240896225,0.006372774,,
-0.9598452700000002,,,,,,-1.0423704,,,15,,,13,,,,,,,,,645,,,,9750,15.0,,,,0.05973333284879724,9.9775e-05,360,0.10719537734985352,0.016681432723999023,0.2,-1.5801844914754233,-0.01040588664069461,0.18140762547651926,0.0087183155,,
,,,,,,-0.8663464,,,,,,,,,,,,,,,,,,,10000,,,,,0.0651555557269603,9.975625e-05,390,-0.01556396484375,0.04339788109064102,0.2,-1.555299949645996,-0.012096211173222394,0.2414865627884865,0.006601186,15.0,-1.0
-0.9289719399999999,,,,,,,,,15,,,14,,,,,,,,,698,,,,10500,15.05,,,,,,,,,,,,,,,
-1.004025,,,,,,-0.9915974,,,15,,,15,,,,,,,,,747,,,,11250,15.05,,,,0.09413333370660742,9.97375e-05,420,-0.14189040660858154,-0.006397351622581482,0.2,-1.532261558373769,-0.013471794733306789,0.14617400467395783,0.011070328,,
-1.03518666,,,,,,-1.0274262,,,15,,,16,,,,,,,,,796,,,,12000,15.0,,,,0.04413333316333592,9.971875000000001e-05,450,-0.10755681991577148,-0.02376631274819374,0.2,-1.525677486260732,-0.012024888840511746,0.1024503213663896,0.0062185503,,
-1.0011559399999999,,,,,,-1.0112202,,,15,,,17,,,,,,,,,846,,,,12750,15.0,,,,0.07431111193727702,9.970000000000001e-05,480,0.032977402210235596,0.017955593764781952,0.2,-1.5090189178784688,-0.013681830035056918,0.1895499497652054,0.012203345,,
-0.96375191,,,,,,-0.93854874,,,15,,,18,,,,,,,,,896,,,,13500,15.0,,,,0.016933333703006308,9.968125e-05,510,-0.025760173797607422,0.017992481589317322,0.2,-1.5216048200925192,-0.007078094695876482,0.16933493167161942,0.0055048065,,
-0.92281171,,,,,,-1.0206819,,,15,,,19,,,,,,,,,946,,,,14250,15.0,,,,0.044577777734957635,9.96625e-05,540,0.09924787282943726,0.06549530476331711,0.2,-1.5387004335721335,-0.010691743520157063,0.28361544211705525,0.010072259,,
,,,,,,-0.8974844,,,,,,,,,,,,,,,,,,,15000,,,,,0.08960000042182704,9.964374999999999e-05,570,-0.04373741149902344,0.03212998807430267,0.2,-1.5401666283607482,-0.014236915403620036,0.2288880318403244,0.012826546,15.0,-1.0
-0.9639693,,,,,,,,,14,,,20,,,,,,,,,1001,,,,15000,15.0,,,,,,,,,,,,,,,
-0.98022634,,,,,,-1.0304543,,,14,,,21,,,,,,,,,1051,,,,15750,15.05,,,,0.08462222255766391,9.962500000000001e-05,600,-0.0948784351348877,0.01685803383588791,0.2,-1.5302240371704101,-0.015731227237736376,0.2050743599732717,0.012888404,,
-0.9890964800000001,,,,,,-0.9099984,,,14,,,22,,,,,,,,,1100,,,,16500,15.05,,,,0.09231111174449325,9.960625e-05,630,-0.08202648162841797,0.050538644194602966,0.2,-1.5495445370674132,-0.014866682875135706,0.2624904597798983,0.007841342,,
-1.05189509,,,,,,-1.0681945,,,14,,,23,,,,,,,,,1150,,,,17250,15.0,,,,0.08742222316407909,9.95875e-05,660,-0.07535243034362793,-0.03792814910411835,0.2,-1.5396059592564901,-0.013430465968724133,0.07525022998452187,0.01213175,,
-0.9355287899999999,,,,,,-1.0355957,,,14,,,24,,,,,,,,,1201,,,,18000,15.0,,,,0.056933333887718617,9.956875e-05,690,0.002366185188293457,-0.024538788944482803,0.2,-1.5213608622550965,-0.012486724561013074,0.09500975633660952,0.008444939,,
-0.94042663,,,,,,-0.8035332,,,14,,,25,,,,,,,,,1250,,,,18750,15.0,,,,0.057777777640149,9.955000000000001e-05,720,-0.04166007041931152,0.055523768067359924,0.2,-1.5078421831130981,-0.016297828304088567,0.27680067121982577,0.010962321,,
-1.08405266,,,,,,-1.0973201,,,15,,,26,,,,,,,,,1297,,,,19500,15.0,,,,0.11840000068768859,9.953125000000001e-05,750,-0.10076677799224854,-0.02155575528740883,0.2,-1.5327535152435303,-0.017030077117011426,0.11712942073742548,0.018920334,,
,,,,,,-1.0719905,,,,,,,,,,,,,,,,,,,20000,,,,,0.059600000727611284,9.95125e-05,780,0.004688680171966553,0.09572865068912506,0.2,-1.5463903665542602,-0.014308124634326033,0.34708408315976463,0.009601554,15.0,-1.0
-1.12487223,,,,,,,,,15,,,27,,,,,,,,,1349,,,,20250,15.05,,,,,,,,,,,,,,,
-1.09042428,,,,,,-1.177754,,,15,,,28,,,,,,,,,1397,,,,21000,15.05,,,,0.13542222225417694,9.949375e-05,810,0.06445270776748657,-0.009180650115013123,0.2,-1.5050603747367859,-0.01783073726528221,0.14245548943678538,0.010047933,,
-1.0039651600000001,,,,,,-1.013818,,,15,,,29,,,,,,,,,1444,,,,21750,15.0,,,,0.11102222291131815,9.9475e-05,840,-0.09133672714233398,-0.024372123181819916,0.2,-1.507570759455363,-0.016054291001117476,0.11349529748161634,0.014177762,,
