time/time_elapsed,params/n_epochs,params/normalize_advantage,params/use_sde,time/total_timesteps,rollout/ep_rew_mean,params/gamma,params/ent_coef,params/stats_window_size,time/iterations,params/n_steps,params/clip_range_vf,params/policy_kwargs,params/_init_setup_model,params/rollout_buffer_kwargs,params/batch_size,params/clip_range,params/verbose,params/max_grad_norm,params/target_kl,time/fps,params/gae_lambda,params/learning_rate,params/rollout_buffer_class,params/sde_sample_freq,params/vf_coef,params/policy,params/device,rollout/ep_len_mean,params/seed,train/entropy_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/value_loss,mean_reward,eval/mean_ep_length,eval/mean_reward
52,,,,720,-0.5199339166666667,,,,24,,,,,,,,,,,13,,,,,,,,15.0,,-1.7683421969413757,0.00016800166,0.0001,0.0,-0.00018132168581352914,-0.007119329646229744,230,0.25252753496170044,0.2,0.10343362279236316,,,
54,,,,750,-0.5007235600000001,,,,25,,,,,,,,,,,13,,,,,,,,15.0,,-1.7663588047027587,0.0009329776,0.0001,0.0,-0.008680555303581094,-0.04416920989751816,240,0.1675180196762085,0.2,0.037819720432162286,,,
56,,,,780,-0.481985076923077,,,,26,,,,,,,,,,,13,,,,,,,,15.0,,-1.761508822441101,0.0011951387,0.0001,0.0,-0.004199241796353448,0.12439383566379547,250,-0.3403223752975464,0.2,0.46136034429073336,,,
59,,,,810,-0.49321544444444454,,,,27,,,,,,,,,,,13,,,,,,,,15.0,,-1.7599788308143616,0.0002778252,0.0001,0.0,-0.0028498872348183824,0.058384548872709274,260,0.05888336896896362,0.2,0.2478002279996872,,,
61,,,,840,-0.45061212500000003,,,,28,,,,,,,,,,,13,,,,,,,,15.0,,-1.755867564678192,0.00031191905,0.0001,0.0,-0.003410625806621681,-0.005292050540447235,270,0.26510196924209595,0.2,0.20296258106827736,,,
63,,,,870,-0.43616072413793106,,,,29,,,,,,,,,,,13,,,,,,,,15.0,,-1.7534337162971496,0.00021518668,0.0001,0.0,-0.0021348975358705504,0.19106949865818024,280,-7.2010297775268555,0.2,0.5899306148290634,,,
65,,,,900,-0.39834353333333333,,,,30,,,,,,,,,,,13,,,,,,,,15.0,,-1.7522253513336181,0.00022680164,0.0001,0.0,-0.0037509910590838302,0.05064919963479042,290,-0.12443232536315918,0.2,0.2375618740916252,,,
67,,,,930,-0.38732011290322577,,,,31,,,,,,,,,,,13,,,,,,,,15.0,,-1.750787043571472,0.0013110478,0.0001,0.0,-0.008978805574976434,-0.04624571651220322,300,-18.510839462280273,0.2,0.06641908772289754,,,
69,,,,960,-0.396944859375,,,,32,,,,,,,,,,,13,,,,,,,,15.0,,-1.7506726503372192,0.0008499046,0.0001,0.0,-0.00020207862961489907,0.08056725561618805,310,-0.0021266937255859375,0.2,0.3131699860095978,,,
71,,,,990,-0.40659084848484855,,,,33,,,,,,,,,,,13,,,,,,,,15.0,,-1.7522376298904419,0.00031226277,0.0001,0.0,-0.003078551481399927,-0.031122107058763504,320,0.6183987557888031,0.2,0.2082535458728671,,,
73,,,,1020,-0.41494970588235297,,,,34,,,,,,,,,,,13,,,,,,,,15.0,,-1.7584563732147216,0.0020378293,0.0001,0.0,-0.013567677464646622,-0.03548850864171982,330,-1.0996761322021484,0.2,0.052272890135645865,-0.02652112,,
76,,,,1050,-0.42490752857142855,,,,35,,,,,,,,,,,13,,,,,,,,15.0,,-1.7573471307754516,0.00036905805,0.0001,0.0,-0.001673192728631001,-0.04029356688261032,340,0.014300942420959473,0.2,0.013730947766453028,,,
78,,,,1080,-0.4329422638888889,,,,36,,,,,,,,,,,13,,,,,,,,15.0,,-1.7486736536026002,0.0042542913,0.0001,0.0,-0.01655147515237303,-0.06462796777486801,350,-0.40342485904693604,0.2,0.03669225387275219,,,
80,,,,1110,-0.43956670270270265,,,,37,,,,,,,,,,,13,,,,,,,,15.0,,-1.7321014165878297,0.0032740673,0.0001,0.0,-0.010799073139981718,-0.0515981949865818,360,-0.5287182331085205,0.2,0.021707960031926633,,,
82,,,,1140,-0.42964649999999993,,,,38,,,,,,,,,,,13,,,,,,,,15.0,,-1.7193036437034608,0.0010077377,0.0001,0.0,-0.002697805146259835,-0.036989495158195496,370,-1.1975970268249512,0.2,0.029922418855130674,,,
84,,,,1170,-0.4372059487179487,,,,39,,,,,,,,,,,13,,,,,,,,15.0,,-1.7238935351371765,0.0014413814,0.0001,0.0,-0.005345920802792392,0.046130020171403885,380,0.18446111679077148,0.2,0.28341124802827833,,,
86,,,,1200,-0.4444335875,,,,40,,,,,,,,,,,13,,,,,,,,15.0,,-1.7299998998641968,0.00070082746,0.0001,0.0,-0.0020234779429543436,-0.012521650642156601,390,0.07302457094192505,0.2,0.08767456188797951,,,
88,,,,1230,-0.4352879512195122,,,,41,,,,,,,,,,,13,,,,,,,,15.0,,-1.7247936367988586,0.00036367375,0.0001,0.0,-0.0015042946780159383,-0.03195631504058838,400,-0.20967936515808105,0.2,0.058685580361634494,,,
90,,,,1260,-0.44198767857142857,,,,42,,,,,,,,,,,13,,,,,,,,15.0,,-1.7223424911499023,0.00039123892,0.0001,0.0,-0.0036946980100278637,0.09919941425323486,410,0.13085412979125977,0.2,0.3796137660741806,,,
92,,,,1290,-0.4311392790697674,,,,43,,,,,,,,,,,13,,,,,,,,15.0,,-1.7182843565940857,0.0017971576,0.0001,0.0,-0.013730190161926049,-0.05667644366621971,420,-0.7154003381729126,0.2,0.02915146481245756,,,
94,,,,1320,-0.4387808863636364,,,,44,,,,,,,,,,,13,,,,,,,,15.0,,-1.7110653400421143,0.001115791,0.0001,0.0,-0.0038740344101100277,0.04807524383068085,430,0.28548663854599,0.2,0.2547676399350166,,,
