player,gp,xp_made,fg_0_19_made,fg_20_29_made,fg_30_39_made,fg_40_49_made,fg_50_made,fpts,pos,source,source_url,fpts_halfppr_adjust
Cam Little K - JAX,16,40,-,6,9,6,3,118.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Jake Bates K - DET,15,43,-,5,7,7,3,115.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Eddy Pineiro K - CAR Q View News,17,34,-,6,8,6,4,114.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Ramiz Ahmed K,8,17,-,3,4,4,1,55.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Brett Maher K,5,12,-,2,3,2,1,38.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Tanner Brown K,4,11,-,2,2,2,1,34.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Greg Joseph K - GB View News,4,10,-,2,2,2,1,33.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Joey Slye K - NE View News,4,10,-,2,2,2,1,33.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Brandon McManus K,4,9,-,1,2,2,1,29.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Riley Patterson K,3,7,-,1,2,1,1,24.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
John Parker Romo K,3,7,-,1,2,1,1,24.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Mike Badgley K - DET IR,-,-,-,-,-,-,-,0.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Alex Hale K - GB,-,-,-,-,-,-,-,0.0,K,NFL,https://fantasy.nfl.com/research/projections?position=7&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
