player,gp,pass_yd,pass_td,pass_int,rush_yd,rush_td,rec_rcpt,rec_yd,rec_td,fumbles_lost,fpts,pos,source,source_url,fpts_halfppr_adjust
Colby Parkinson TE - LAR,16,-,-,-,-,-,31,333,3,-,97.8,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Dawson Knox TE - BUF,16,-,-,-,-,-,29,317,3,-,93.2,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Gerald Everett TE - CHI,16,-,-,-,-,-,29,299,2,-,85.4,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Hayden Hurst TE - LAC,16,-,-,-,-,-,28,288,2,-,82.8,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Michael Mayer TE - LV,16,-,-,-,-,-,27,287,2,-,81.2,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Jelani Woods TE - IND,16,-,-,-,-,-,26,292,2,-,80.2,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Greg Dulcich TE - DEN,16,-,-,-,-,-,26,273,2,-,78.3,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Daniel Bellinger TE - NYG,16,-,-,-,-,-,26,263,2,-,77.3,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Zach Ertz TE - WAS,12,-,-,-,-,-,26,250,2,-,76.0,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Mike Gesicki TE - CIN,16,-,-,-,-,-,24,259,2,-,73.9,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Noah Gray TE - KC,16,-,-,-,-,-,24,256,2,-,73.6,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Tanner Hudson TE - CIN,16,-,-,-,-,-,24,245,2,-,72.5,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Jaheim Bell TE - NE,16,-,-,-,-,-,23,253,2,-,71.8,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Cade Stover TE - HOU,16,-,-,-,-,-,23,245,2,-,71.0,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
Tyler Higbee TE - LAR PUP,12,-,-,-,-,-,23,241,2,-,70.6,TE,NFL,https://fantasy.nfl.com/research/projections?position=4&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,True
