player,gp,pass_yd,pass_td,pass_int,rush_yd,rush_td,rec_rcpt,rec_yd,rec_td,fumbles_lost,fpts,pos,source,source_url,fpts_halfppr_adjust
Russell Wilson QB - PIT Q,15,3219,20,11,333,2,-,-,-,3,226.06,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Derek Carr QB - NO,16,3650,22,11,68,1,-,-,-,3,218.8,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Daniel Jones QB - NYG,14,2923,16,9,414,3,-,-,-,3,216.32,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Bryce Young QB - CAR,16,3461,19,14,227,2,-,-,-,3,215.14,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Bo Nix QB - DEN View News,13,2704,16,10,320,3,-,-,-,3,196.16,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Gardner Minshew QB - LV,10,2192,12,8,122,2,-,-,-,-,143.88,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Taysom Hill QB - NO,16,70,-,-,298,3,20,205,1,-,97.1,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Aidan O'Connell QB - LV,7,1523,8,6,28,-,-,-,-,3,77.72,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Justin Fields QB - PIT,4,784,4,3,192,1,-,-,-,1,64.56,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Jarrett Stidham QB - DEN,4,784,4,3,34,1,-,-,-,-,50.76,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Sam Darnold QB - MIN,3,653,4,2,41,1,-,-,-,-,48.22,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Sam Howell QB - SEA,2,461,3,2,41,1,-,-,-,1,34.54,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Michael Penix Jr. QB - ATL,2,409,3,2,38,1,-,-,-,1,32.16,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Jake Browning QB - CIN,2,433,3,2,34,-,-,-,-,-,28.72,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Jacoby Brissett QB - NE,2,444,3,2,18,-,-,-,-,1,25.56,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
Drew Lock QB - NYG,2,428,3,2,21,-,-,-,-,1,25.22,QB,NFL,https://fantasy.nfl.com/research/projections?position=1&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False
