team,gp,def_sack,def_int,def_fum_rec,def_sfty,def_td,def_pts_allowed,fpts,pos,source,source_url,fpts_halfppr_adjust,player
Houston Texans DEF,17,42,13,10,1,2,362,117.0,DEF,NFL,https://fantasy.nfl.com/research/projections?position=8&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False,Houston Texans DEF
Detroit Lions DEF,17,42,14,9,1,2,384,116.0,DEF,NFL,https://fantasy.nfl.com/research/projections?position=8&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False,Detroit Lions DEF
New Orleans Saints DEF,17,41,13,9,1,2,368,114.0,DEF,NFL,https://fantasy.nfl.com/research/projections?position=8&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False,New Orleans Saints DEF
Minnesota Vikings DEF,17,43,12,9,1,2,373,114.0,DEF,NFL,https://fantasy.nfl.com/research/projections?position=8&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False,Minnesota Vikings DEF
Tampa Bay Buccaneers DEF,17,40,13,9,1,2,372,113.0,DEF,NFL,https://fantasy.nfl.com/research/projections?position=8&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False,Tampa Bay Buccaneers DEF
Green Bay Packers DEF,17,41,13,9,1,2,387,113.0,DEF,NFL,https://fantasy.nfl.com/research/projections?position=8&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False,Green Bay Packers DEF
Cincinnati Bengals DEF,17,40,13,9,1,2,386,112.0,DEF,NFL,https://fantasy.nfl.com/research/projections?position=8&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False,Cincinnati Bengals DEF
New York Giants DEF,17,41,12,9,1,2,388,111.0,DEF,NFL,https://fantasy.nfl.com/research/projections?position=8&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False,New York Giants DEF
Los Angeles Rams DEF,17,41,12,9,1,2,392,111.0,DEF,NFL,https://fantasy.nfl.com/research/projections?position=8&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False,Los Angeles Rams DEF
Carolina Panthers DEF,17,39,12,9,1,2,377,110.0,DEF,NFL,https://fantasy.nfl.com/research/projections?position=8&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False,Carolina Panthers DEF
Denver Broncos DEF,17,38,12,9,1,2,381,108.0,DEF,NFL,https://fantasy.nfl.com/research/projections?position=8&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False,Denver Broncos DEF
Seattle Seahawks DEF,17,43,13,9,1,2,396,107.0,DEF,NFL,https://fantasy.nfl.com/research/projections?position=8&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False,Seattle Seahawks DEF
Las Vegas Raiders DEF,17,42,13,9,1,2,411,105.0,DEF,NFL,https://fantasy.nfl.com/research/projections?position=8&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False,Las Vegas Raiders DEF
Atlanta Falcons DEF,17,40,13,9,1,2,391,104.0,DEF,NFL,https://fantasy.nfl.com/research/projections?position=8&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False,Atlanta Falcons DEF
Jacksonville Jaguars DEF,17,41,12,9,1,2,385,103.0,DEF,NFL,https://fantasy.nfl.com/research/projections?position=8&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False,Jacksonville Jaguars DEF
Los Angeles Chargers DEF,17,39,12,9,1,2,393,100.0,DEF,NFL,https://fantasy.nfl.com/research/projections?position=8&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False,Los Angeles Chargers DEF
Indianapolis Colts DEF,17,39,12,9,1,2,401,100.0,DEF,NFL,https://fantasy.nfl.com/research/projections?position=8&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False,Indianapolis Colts DEF
Tennessee Titans DEF,17,38,12,9,1,2,398,100.0,DEF,NFL,https://fantasy.nfl.com/research/projections?position=8&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False,Tennessee Titans DEF
New England Patriots DEF,17,39,13,9,1,2,422,97.0,DEF,NFL,https://fantasy.nfl.com/research/projections?position=8&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False,New England Patriots DEF
Washington Commanders DEF,17,39,12,9,1,2,421,95.0,DEF,NFL,https://fantasy.nfl.com/research/projections?position=8&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False,Washington Commanders DEF
Arizona Cardinals DEF,17,36,12,9,1,2,402,92.0,DEF,NFL,https://fantasy.nfl.com/research/projections?position=8&count=42&sort=projectedPts&statCategory=projectedStats&statSeason=2024&statType=seasonProjectedStats,False,Arizona Cardinals DEF
