params/learning_starts,params/stats_window_size,params/gamma,params/target_update_interval,params/exploration_initial_eps,time/episodes,time/time_elapsed,rollout/ep_len_mean,params/verbose,time/fps,params/exploration_final_eps,params/gradient_steps,params/batch_size,params/train_freq,rollout/ep_rew_mean,time/total_timesteps,params/policy,params/buffer_size,params/tau,params/policy_kwargs,params/exploration_fraction,params/learning_rate,rollout/exploration_rate,params/max_grad_norm,train/loss,train/learning_rate,mean_reward,train/n_updates,eval/mean_reward,eval/mean_ep_length
,,,,,208,217,15.0,,14,,,,,-0.4676909000000001,3120,,,,,,,0.9407199999999998,,0.0027109081856906414,0.0003,,529,,
,,,,,212,221,15.0,,14,,,,,-0.46664438000000014,3180,,,,,,,0.9395799999999997,,0.013614489696919918,0.0003,,544,,
,,,,,216,225,15.0,,14,,,,,-0.4398324599999999,3240,,,,,,,0.9384399999999996,,0.003472852986305952,0.0003,,559,,
,,,,,220,229,15.0,,14,,,,,-0.43981232,3300,,,,,,,0.9372999999999996,,0.009458336047828197,0.0003,,574,,
,,,,,224,233,15.0,,14,,,,,-0.42788024,3360,,,,,,,0.9361600000000005,,0.014910492114722729,0.0003,,589,,
,,,,,228,237,15.0,,14,,,,,-0.4134977000000001,3420,,,,,,,0.9350200000000004,,0.008710826747119427,0.0003,,604,,
,,,,,232,241,15.0,,14,,,,,-0.39760511,3480,,,,,,,0.9338800000000003,,0.011202042922377586,0.0003,,619,,
,,,,,236,245,15.0,,14,,,,,-0.36944580000000005,3540,,,,,,,0.9327400000000002,,0.004984730388969183,0.0003,,634,,
,,,,,240,250,15.0,,14,,,,,-0.39694982,3600,,,,,,,0.9316000000000002,,0.009039734490215778,0.0003,,649,,
,,,,,244,254,15.0,,14,,,,,-0.41172769000000004,3660,,,,,,,0.9304600000000001,,0.009455566294491291,0.0003,,664,,
,,,,,248,258,15.0,,14,,,,,-0.39838358,3720,,,,,,,0.92932,,0.003732177894562483,0.0003,,679,,
,,,,,252,262,15.0,,14,,,,,-0.38441981,3780,,,,,,,0.9281799999999999,,0.01015700027346611,0.0003,,694,,
,,,,,256,266,15.0,,14,,,,,-0.36906851,3840,,,,,,,0.9270399999999999,,0.0018694442696869373,0.0003,,709,,
