player,team,pos,rec_tgt,rec_rcpt,rec_yd,rec_td,rush_yd,rush_td,fumbles_lost,fpts,source,source_url
Chris Godwin,TBB,WR,151.4,97.2,1119.0,2.7,30.0,0.8,1.0,184.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Diontae Johnson,CAR,WR,124.4,80.6,1016.0,7.2,2.0,0.0,0.9,184.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Jakobi Meyers,LVR,WR,121.1,73.7,866.0,7.2,33.0,2.2,0.3,183.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Keon Coleman,BUF,WR,102.6,66.5,1022.0,7.5,10.0,0.0,0.7,181.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Christian Kirk,JAC,WR,127.1,77.1,1072.0,6.3,7.0,0.0,1.4,181.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Chris Olave,NOS,WR,128.9,80.3,1070.0,5.3,0.0,0.0,0.6,178.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Terry McLaurin,WAS,WR,134.1,79.5,1082.0,4.3,10.0,0.0,0.0,174.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
DeAndre Hopkins,TEN,WR,145.5,78.5,1000.0,5.9,7.0,0.0,0.4,174.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Calvin Ridley,TEN,WR,140.0,68.3,989.0,4.8,19.0,0.0,0.0,166.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Jayden Reed,GBP,WR,97.3,63.6,768.0,6.2,74.0,1.9,0.0,165.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Jameson Williams,DET,WR,97.2,56.3,850.0,4.7,49.0,2.5,0.3,161.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Adam Thielen,CAR,WR,140.8,97.0,928.0,2.8,5.0,0.0,0.0,160.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Marquise Brown,KCC,WR,116.7,69.3,855.0,6.4,-0.1,0.0,0.8,157.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Josh Palmer,LAC,WR,116.4,73.1,969.0,2.9,12.0,0.0,0.7,152.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Brandin Cooks,DAL,WR,93.1,57.1,661.0,8.5,30.0,0.0,0.0,150.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Courtland Sutton,DEN,WR,103.6,59.8,800.0,7.2,0.0,0.0,1.6,150.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Tank Dell,HOU,WR,108.4,58.1,755.0,6.3,62.0,0.0,0.0,148.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Romeo Doubs,GBP,WR,100.5,61.1,722.0,7.2,0.0,0.0,0.0,146.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Rashee Rice,KCC,WR,102.2,77.4,800.0,4.3,10.0,0.0,0.8,143.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Odell Beckham,MIA,WR,98.8,59.3,829.0,5.3,5.0,0.0,1.3,142.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Jaxon Smith-Njigba,SEA,WR,107.7,65.7,733.0,5.0,0.0,0.0,0.0,136.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Drake London,ATL,WR,115.8,67.9,865.0,2.3,0.0,0.0,1.4,132.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Tyler Lockett,SEA,WR,117.7,68.6,763.0,3.2,0.0,0.0,0.0,132.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Rashid Shaheed,NOS,WR,91.2,58.7,734.0,4.1,29.0,0.0,0.0,130.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Demario Douglas,NEP,WR,115.9,69.8,822.0,1.5,43.0,0.0,0.4,130.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Quentin Johnston,LAC,WR,86.8,61.2,750.0,3.9,6.0,0.0,0.5,128.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Brian Thomas Jr.,JAC,WR,114.2,67.5,797.0,2.2,11.0,0.0,0.8,126.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Khalil Shakir,BUF,WR,57.2,44.5,680.0,5.0,9.0,0.0,0.0,122.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Wan'Dale Robinson,NYG,WR,91.8,67.6,654.0,0.9,64.0,0.8,0.1,115.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Marvin Mims,DEN,WR,74.5,49.0,729.0,2.5,21.0,0.0,0.0,114.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Jahan Dotson,WAS,WR,87.1,49.4,591.0,4.3,13.0,0.0,0.0,110.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Josh Downs,IND,WR,102.3,66.0,700.0,1.1,2.0,0.0,0.0,110.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Michael Wilson,ARI,WR,80.3,48.0,594.0,2.6,72.0,0.3,0.0,109.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Jerry Jeudy,CLE,WR,102.0,56.2,700.0,1.8,4.0,0.0,0.8,107.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Demarcus Robinson,LAR,WR,79.8,42.5,501.0,4.9,26.0,0.0,1.2,104.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Xavier Worthy,KCC,WR,77.7,48.0,606.0,2.8,15.0,0.0,0.0,103.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Dontayvion Wicks,GBP,WR,67.6,41.2,612.0,3.8,1.0,0.0,0.8,103.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Curtis Samuel,BUF,WR,79.9,50.4,543.0,2.8,28.0,0.7,0.3,102.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Darius Slayton,NYG,WR,75.6,45.0,587.0,3.3,0.0,0.0,0.0,100.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Treylon Burks,TEN,WR,117.3,51.2,615.0,0.0,82.0,0.0,0.0,95.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Gabriel Davis,JAC,WR,76.2,38.5,530.0,3.9,2.0,0.0,1.0,95.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Kendrick Bourne,NEP,WR,70.5,45.4,522.0,3.1,18.0,0.0,1.0,93.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
A.T. Perry,NOS,WR,57.4,32.4,473.0,4.6,15.0,0.0,0.0,92.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
Roman Wilson,PIT,WR,95.3,51.2,599.0,0.5,25.0,0.0,0.0,91.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
