player,team,pos,pass_att,pass_cmp,pass_yd,pass_td,pass_int,pass_sacked,rush_att,rush_yd,rush_td,fumbles_lost,fpts,source,source_url
Justin Herbert,LAC,QB,629.4,418.8,4178.0,20.7,8.6,43.4,76.0,325.0,2.1,3.8,322.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Geno Smith,SEA,QB,539.7,358.4,3987.0,25.9,9.8,38.7,49.1,260.0,0.9,3.4,320.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Deshaun Watson,CLE,QB,586.2,346.1,3878.0,23.9,16.8,49.7,81.8,392.0,2.3,3.9,317.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Caleb Williams,CHI,QB,432.4,266.8,2945.0,16.1,11.1,49.2,151.1,894.0,5.9,4.1,317.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Daniel Jones,NYG,QB,526.9,347.2,3556.0,15.3,10.3,72.3,128.1,698.0,3.6,2.8,315.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Baker Mayfield,TBB,QB,557.0,360.6,3928.0,27.2,10.4,39.6,54.5,122.0,1.0,3.1,309.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Matthew Stafford,LAR,QB,559.7,357.5,4116.0,25.1,11.7,40.0,33.3,85.0,1.0,2.0,306.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Jayden Daniels,WAS,QB,576.8,367.7,3848.0,20.1,17.9,54.2,52.7,248.0,5.3,3.8,305.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Bo Nix,DEN,QB,489.1,313.1,3438.0,20.4,10.2,56.0,83.5,299.0,3.4,3.6,289.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Kirk Cousins,ATL,QB,494.0,313.9,3634.0,21.8,15.2,28.4,50.6,203.0,3.1,4.1,287.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Derek Carr,NOS,QB,507.6,342.6,3733.0,26.6,11.0,29.8,31.9,47.0,0.0,1.7,286.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Russell Wilson,PIT,QB,452.0,301.3,3179.0,20.9,9.1,43.8,77.7,231.0,3.5,4.5,273.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Will Levis,TEN,QB,519.2,314.1,3655.0,13.1,10.7,63.6,55.9,202.0,2.5,6.4,250.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Gardner Minshew,LVR,QB,488.6,304.2,3338.0,17.9,11.1,37.3,38.6,106.0,1.1,2.0,244.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
J.J. McCarthy,MIN,QB,407.3,271.9,3001.0,18.9,13.3,31.0,36.1,136.0,1.9,3.5,232.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Bryce Young,CAR,QB,518.3,307.9,3004.0,11.2,9.6,60.8,41.5,248.0,0.4,6.1,201.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Jacoby Brissett,NEP,QB,386.9,247.1,2499.0,14.9,11.6,32.7,37.9,142.0,1.0,1.4,191.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Justin Fields,PIT,QB,87.6,54.4,2600.0,2.6,1.1,6.1,28.0,131.0,0.9,0.4,157.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Sam Darnold,MIN,QB,53.7,32.0,2555.0,0.5,1.8,6.2,10.2,16.0,0.3,1.9,127.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Drake Maye,NEP,QB,98.1,57.7,1900.0,0.0,6.4,6.0,5.7,34.0,0.0,0.0,92.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Joe Flacco,IND,QB,153.7,97.2,1200.0,8.7,5.5,6.3,12.6,11.0,0.0,1.5,88.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Sam Howell,SEA,QB,157.7,94.7,987.0,4.4,5.6,15.5,12.5,75.0,1.7,0.5,78.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Jake Browning,CIN,QB,109.6,73.9,800.0,5.8,2.4,11.9,17.1,103.0,1.1,0.0,78.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Aidan O'Connell,LVR,QB,156.7,102.5,1064.0,6.9,5.0,8.2,9.9,0.0,0.3,0.5,76.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Drew Lock,NYG,QB,87.6,48.1,888.0,0.8,0.6,7.3,16.5,85.0,0.0,0.0,55.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Mitchell Trubisky,BUF,QB,115.5,74.7,807.0,4.9,7.9,6.4,25.0,23.0,0.7,1.7,54.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Easton Stick,LAC,QB,152.7,87.8,1030.0,0.1,0.0,13.6,14.0,75.0,0.5,4.5,53.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Davis Mills,HOU,QB,114.2,64.6,652.0,3.6,2.6,7.0,11.6,41.0,0.6,0.7,53.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Mac Jones,JAC,QB,120.5,81.3,736.0,4.0,3.7,9.3,14.8,30.0,0.0,0.4,51.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Tyrod Taylor,NYJ,QB,112.2,62.8,591.0,2.1,2.4,16.9,25.1,150.0,0.0,3.0,46.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Michael Penix Jr.,ATL,QB,64.2,43.3,788.0,0.0,3.0,11.9,15.5,93.0,0.4,2.4,43.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Desmond Ridder,ARI,QB,69.8,44.1,500.0,2.1,2.7,5.3,12.7,39.0,1.5,1.3,41.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Kenny Pickett,PHI,QB,110.4,64.4,633.0,1.0,2.0,8.6,15.9,21.0,0.3,0.0,37.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Tyson Bagent,CHI,QB,75.0,50.6,422.0,1.4,3.0,3.6,8.7,43.0,2.1,2.1,36.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Zach Wilson,DEN,QB,101.5,57.5,586.0,1.0,1.5,16.7,11.7,70.0,0.0,2.7,33.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Andy Dalton,CAR,QB,58.2,39.3,468.0,2.4,1.1,6.8,8.7,10.0,0.0,0.0,33.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Joshua Dobbs,SFO,QB,67.3,41.2,374.0,2.4,3.1,8.2,18.1,47.0,0.6,0.9,32.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Taylor Heinicke,ATL,QB,49.5,29.6,360.0,1.7,0.7,2.1,4.6,28.0,0.1,0.2,27.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Nick Mullens,MIN,QB,34.3,23.1,308.0,1.7,2.2,2.4,5.4,10.0,0.0,0.0,21.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Jarrett Stidham,DEN,QB,13.9,8.3,356.0,0.4,0.1,0.7,5.9,13.0,0.0,0.1,20.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Josh Johnson,BAL,QB,16.8,11.2,106.0,3.6,0.0,1.2,10.7,5.0,0.0,0.0,20.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Jake Haener,NOS,QB,49.8,30.2,331.0,0.0,0.1,3.7,11.4,-3.6,0.0,0.0,16.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Jimmy Garoppolo,LAR,QB,33.9,21.4,229.0,1.2,2.6,6.7,5.1,7.0,0.0,0.0,14.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Cooper Rush,DAL,QB,54.7,36.9,295.0,0.0,1.1,3.6,17.9,-10.2,0.0,0.0,12.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Malik Willis,TEN,QB,18.0,11.5,104.0,0.0,0.9,3.5,6.8,39.0,0.5,0.4,10.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Mike White,MIA,QB,21.9,14.5,179.0,1.6,2.6,0.9,18.2,-14.8,0.1,1.5,8.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Sam Ehlinger,IND,QB,14.3,9.3,70.0,0.9,0.3,1.0,1.8,11.0,0.0,0.0,8.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Bailey Zappe,NEP,QB,27.1,15.4,137.0,0.3,1.1,3.5,2.0,8.0,0.0,0.1,7.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Stetson Bennett,LAR,QB,31.9,16.5,127.0,0.0,0.0,3.5,4.3,4.0,0.0,0.0,6.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
C.J. Beathard,JAC,QB,13.5,9.1,73.0,0.4,0.4,1.1,3.3,2.0,0.0,0.0,5.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Jameis Winston,CLE,QB,18.9,9.6,87.0,0.2,0.3,3.6,2.8,3.0,0.0,0.8,3.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Sean Clifford,GBP,QB,8.0,5.4,72.0,0.0,0.0,0.0,9.2,-5.2,0.0,0.0,3.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Marcus Mariota,WAS,QB,36.1,10.7,99.0,0.2,3.2,1.7,0.9,5.0,0.0,0.0,2.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
John Wolford,TBB,QB,6.1,3.2,40.0,0.0,0.5,1.0,1.2,7.0,0.0,0.0,2.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Dorian Thompson-Robinson,CLE,QB,13.6,7.4,48.0,0.0,1.2,2.1,2.1,7.0,0.0,0.0,1.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Tommy DeVito,NYG,QB,3.9,2.6,19.0,0.0,0.1,0.9,0.4,2.0,0.0,0.0,1.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Jeff Driskel,WAS,QB,2.1,1.4,10.0,0.1,0.1,0.3,1.5,5.0,0.0,0.0,1.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Mason Rudolph,TEN,QB,20.7,9.2,73.0,0.0,0.2,2.3,1.9,11.0,0.0,1.9,0.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Clayton Tune,ARI,QB,0.6,0.3,2.0,0.0,0.1,0.2,1.3,1.0,0.1,0.0,0.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Tyler Huntley,CLE,QB,0.8,0.5,4.0,0.1,0.0,0.1,0.3,1.0,0.0,0.0,0.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Brett Rypien,CHI,QB,2.0,1.0,10.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Case Keenum,HOU,QB,6.4,4.1,23.0,0.0,0.8,1.3,0.0,0.0,0.0,0.0,0.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Brandon Allen,SFO,QB,0.5,0.3,4.0,0.0,0.0,0.2,0.5,-0.2,0.0,0.0,0.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Anthony Brown,LVR,QB,0.1,0.1,0.0,0.0,0.0,0.0,0.1,-0.1,0.0,0.0,0.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Nate Sudfeld,DET,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,0.0,0.0,0.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Kyle Trask,TBB,QB,4.4,0.4,2.0,0.1,0.0,0.0,3.7,-3.7,0.0,0.0,0.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Kyle Allen,PIT,QB,0.1,0.0,0.0,0.0,0.0,0.0,3.1,-3.1,0.0,0.0,-0.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Carson Wentz,KCC,QB,1.9,0.0,0.0,0.0,0.0,0.0,8.0,-8.0,0.0,0.0,-0.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Hendon Hooker,DET,QB,0.0,0.0,0.0,0.0,0.0,1.1,12.1,-11.2,0.0,0.0,-1.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
