player,team,pos,pass_att,pass_cmp,pass_yd,pass_td,pass_int,pass_sacked,rush_att,rush_yd,rush_td,fumbles_lost,fpts,source,source_url
Josh Allen,BUF,QB,526.4,336.4,3874.0,25.9,17.2,28.2,128.0,644.0,13.0,4.1,419.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Jalen Hurts,PHI,QB,488.4,319.0,3579.0,22.9,12.9,37.8,168.3,722.0,13.9,4.8,403.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Patrick Mahomes,KCC,QB,601.8,406.2,4288.0,28.0,11.8,29.1,84.9,438.0,1.4,2.1,363.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Dak Prescott,DAL,QB,532.2,359.2,4012.0,33.3,14.8,37.4,56.5,236.0,1.2,2.4,347.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Joe Burrow,CIN,QB,565.9,382.0,4066.0,29.6,13.8,44.4,66.4,235.0,3.0,2.0,347.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Jordan Love,GBP,QB,539.0,353.8,3948.0,30.9,7.5,26.1,42.3,171.0,3.3,3.6,346.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Kyler Murray,ARI,QB,583.0,382.8,3700.0,20.3,11.3,40.6,103.6,599.0,5.3,3.9,343.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Anthony Richardson,IND,QB,561.6,353.3,3701.0,17.2,10.8,43.2,72.8,437.0,10.0,4.8,342.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
C.J. Stroud,HOU,QB,567.2,359.2,4332.0,24.5,8.8,39.8,52.3,216.0,3.2,4.0,340.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Trevor Lawrence,JAC,QB,590.2,387.3,4139.0,21.9,12.7,32.2,69.9,360.0,4.9,6.6,337.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Tua Tagovailoa,MIA,QB,562.7,378.7,4613.0,28.5,13.7,32.2,36.9,104.0,0.0,3.9,333.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Lamar Jackson,BAL,QB,447.6,282.0,3352.0,19.7,8.5,45.8,152.2,865.0,3.0,6.3,332.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Brock Purdy,SFO,QB,457.1,308.6,4043.0,27.9,10.6,30.0,48.2,171.0,2.1,1.8,329.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Jared Goff,DET,QB,586.8,390.2,4411.0,27.2,8.4,25.9,27.8,35.0,0.9,2.6,327.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
Aaron Rodgers,NYJ,QB,497.0,330.0,3807.0,32.0,14.0,48.0,41.7,167.0,1.0,4.8,324.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=1&scoring=18
