sleeper_id,fpts
5844,168.27790743000003
10859,170.88945569000003
5022,170.7
5001,124.84999999999998
4217,166.358
10236,141.07385191999995
8130,151.75
11604,162.69999999999996
7553,137.26692927
4066,132.45000000000002
6826,110.48632354
8110,131.54841622
5012,240.8
4033,145.31
1466,194.34449039
5844,130.703
10859,179.968017672
5022,122.36009121200001
5001,139.68025033
4217,154.39999999999998
10236,153.568588584
8130,217.533490615
11604,130.35
7553,142.64522006
4066,151.58085582999996
6826,131.5
8110,201.62421847
5012,173.4
4033,132.401568768
1466,197.015
5844,130.67790743
10859,196.05972382000002
5022,136.76852628400002
5001,121.49276140600001
4217,149.307285236
10236,167.293588584
8130,151.42031500999997
11604,120.0
7553,222.46035218800003
4066,139.513084108
6826,125.97232354
8110,145.0
5012,255.67113428000002
4033,200.77499999999998
1466,242.1326474
5844,139.184167486
10859,191.52472382000002
5022,165.603208065
5001,126.34828312999998
4217,229.08137345
10236,157.933588584
8130,253.72000000000003
11604,111.22620941500003
7553,181.50619526
4066,208.27100000000002
6826,178.241332746
8110,144.101568668
5012,172.805
4033,153.076006174
1466,224.14909410400003
5844,172.87790743
10859,208.238017672
5022,136.605
5001,190.85000000000002
4217,215.702
10236,178.19000000000003
8130,237.46916276000002
11604,128.94863443
7553,161.088577082
4066,152.734172544
6826,138.74691812
8110,136.422
5012,179.82500000000002
4033,187.27499999999998
1466,197.39891546799998
5844,129.48090743000003
10859,179.73518072999997
5022,133.413526284
5001,123.921
4217,162.19681214000002
10236,247.598088175
8130,220.74
11604,118.10000000000002
7553,137.26692927
4066,155.73444028999995
6826,125.304332746
8110,135.3
5012,162.519
4033,147.381037301
1466,214.37400000000002
5844,172.87790743
10859,155.61018073
5022,142.00820806500002
5001,104.26964468999998
4217,160.84999999999997
10236,217.5
8130,196.355271468
11604,105.57000000000002
7553,161.20619526000002
4066,142.30085583
6826,163.80729895000002
8110,201.67421846999997
5012,201.15946438
4033,198.856599895
1466,188.76449039
5844,133.403
10859,265.57927496
5022,124.38009121200002
5001,180.79828313000002
4217,154.08137345
10236,138.22499999999997
8130,173.86
11604,113.58557498499998
7553,170.75677234199998
4066,156.243172544
6826,128.6614242248
8110,140.43200000000002
5012,218.82000000000002
4033,152.596568768
1466,177.884439
5844,153.042
10859,227.67927496
5022,192.79699828000003
5001,122.09064469
4217,203.25
10236,154.82499999999996
8130,158.30699999999996
11604,128.66099999999997
7553,156.61635218800004
4066,194.58999999999997
6826,165.10044881480002
8110,145.20641498999998
5012,209.332771708
4033,150.77156876799998
1466,242.04500000000002
5844,102.59699999999998
10859,247.22472382
5022,133.96500000000003
5001,150.89636156
4217,162.95199999999997
10236,196.425
8130,152.96031500999996
11604,101.41100000000003
7553,146.1
4066,192.40085583
6826,116.179332746
8110,143.45
5012,166.84046438000001
4033,188.0
1466,184.02159601
5844,208.0
10859,203.10500000000002
5022,125.166734349
5001,158.42136156
4217,153.51000000000002
10236,146.6
8130,218.86
11604,122.0
7553,144.593797142
4066,150.78444029000005
6826,127.443332746
8110,139.96
5012,166.40000000000003
4033,142.595
1466,188.67684299
5844,139.762074916
10859,192.75972382
5022,129.168526284
5001,152.29025033
4217,156.58937345
10236,224.7
8130,150.13616276
11604,108.080152624
7553,191.36454744800002
4066,146.34
6826,159.8
8110,183.882
5012,206.2
4033,180.48797387500002
1466,196.730217972
5844,104.881167486
10859,174.87927496
5022,143.565
5001,158.10000000000002
4217,149.79999999999998
10236,197.8
8130,205.413490615
11604,184.22963443000003
7553,134.6
4066,148.164172544
6826,125.36633274600001
8110,144.101568668
5012,199.5
4033,154.721568768
1466,199.36599999999999
5844,136.58416748599998
10859,186.847292632
5022,137.05500000000004
5001,127.07136155999999
4217,146.537099646
10236,142.46885192000002
8130,226.65
11604,150.09999999999997
7553,144.90692926999998
4066,156.12461544400003
6826,124.17232354000001
8110,138.14999999999998
5012,230.36613428
4033,147.31316866299997
1466,264.604966858
5844,132.19999999999996
10859,169.7
5022,125.163732629
5001,187.025
4217,195.302
10236,163.365
8130,149.50642371799995
11604,104.31899999999999
7553,148.16619526
4066,151.12429611999997
6826,114.1267925288
8110,153.38799999999998
5012,241.24046438000002
4033,201.7
1466,211.226740424
5844,148.384167486
10859,228.07927496
5022,125.67361749599999
5001,122.09064469
4217,148.84659782
10236,170.70000000000002
8130,143.6
11604,141.18107295
7553,213.903352188
4066,224.654615444
6826,138.04112527479998
8110,133.75841499
5012,206.092307328
4033,136.595
1466,217.74099999999999
5844,133.203
10859,191.26500000000001
5022,137.35
5001,111.72499999999998
4217,159.29137345
10236,199.398088175
8130,159.163490615
11604,127.84007294999999
7553,191.10619526
4066,158.20899999999997
6826,176.9747925288
8110,146.076568668
5012,165.98788966600003
4033,185.04637398
1466,205.8276474
5844,159.857883126
10859,194.32499999999996
5022,173.5
5001,147.09864469000001
4217,225.4
10236,264.58500000000004
8130,184.55999999999997
11604,123.3
7553,155.66619526
4066,156.49099999999999
6826,118.388
8110,145.59999999999997
5012,232.132771708
4033,132.565
1466,209.101758458
5844,117.31480398
10859,179.7
5022,163.14999999999998
