pass_yd,pass_td,pass_int,rush_yd,rec_rcpt,rec_yd,reg_tds,fpts,player,source,source_url
,,,,92,950,10,201.0,Sam LaPorta,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,90,940,9,193.0,Dalton Kincaid,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,88,920,9,190.0,Travis Kelce,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,68,1020,7,178.0,George Kittle,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,72,840,8,168.0,Mark Andrews,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,95,980,5,175.5,Trey McBride,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,69,740,7,150.5,Jake Ferguson,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,68,850,5,149.0,Dallas Goedert,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,70,770,6,148.0,Brock Bowers,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,68,820,5,146.0,Kyle Pitts,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,95,830,4,154.5,Evan Engram,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,72,770,5,143.0,David Njoku,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,71,690,6,140.5,Cole Kmet,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,68,710,5,135.0,Pat Freiermuth,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,72,700,5,136.0,T.J. Hockenson,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,59,630,6,128.5,Juwan Johnson,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,430.0,22,190,6,66.0,Taysom Hill,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,58,620,6,127.0,Dalton Schultz,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,65,670,5,129.5,Tyler Conklin,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,63,650,4,120.5,Chig Okonkwo,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,55,540,4,115.5,Cade Otton,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,33,380,5,99.5,Isaiah Likely,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,45,480,5,100.5,Donald Parham,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,47,460,5,99.5,Hunter Henry,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,42,410,3,95.0,Luke Musgrave,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,34,360,3,91.0,Noah Gray,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,51,550,3,98.5,Darren Waller,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,40,450,3,93.0,Jonnu Smith,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,35,390,3,89.5,Tucker Kraft,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,50,450,3,88.0,Gerald Everett,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,42,440,3,83.0,Tyler Higbee,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,40,420,3,80.0,Noah Fant,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,35,380,2,77.5,Kylen Granson,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,45,420,3,82.5,Logan Thomas,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,38,310,3,78.0,Zach Ertz,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,31,250,3,68.5,Dawson Knox,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,35,350,3,70.5,Hayden Hurst,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,35,310,3,66.5,Tanner Hudson,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,20,160,2,53.0,Harrison Bryant,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,33,340,1,56.5,Durham Smythe,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,24,260,2,50.0,Michael Mayer,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,14,120,1,45.0,Darnell Washington,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,25,230,2,47.5,Mike Gesicki,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,24,200,2,44.0,Greg Dulcich,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
