pass_yd,pass_td,pass_int,rush_yd,rec_rcpt,rec_yd,reg_tds,fpts,player,source,source_url
,,,,56,730,6,147.0,Jahan Dotson,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,65,890,5,151.5,Jerry Jeudy,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,82,1000,3,159.0,Chris Godwin,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,62,820,6,149.0,Courtland Sutton,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,68,870,5,151.0,Tyler Lockett,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,53,720,5,143.5,Xavier Worthy,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,57,810,6,145.5,Dontayvion Wicks,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,56,770,5,145.0,Keon Coleman,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,48,770,5,141.0,Jameson Williams,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,58,710,7,142.0,Brandin Cooks,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,70,880,4,147.0,Darnell Mooney,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,52,810,5,137.0,Tim Patrick,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,75,800,5,147.5,Tyler Boyd,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,52,730,6,135.0,Demarcus Robinson,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,52,680,4,133.0,Ja'Lynn Polk,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,45,710,4,127.5,Marvin Mims,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,78,790,4,142.0,Adam Thielen,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,70,730,5,138.0,Curtis Samuel,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,57,720,5,130.5,Michael Wilson,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,48,630,4,126.0,Malachi Corley,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,49,630,4,126.5,Roman Wilson,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,70,780,4,137.0,Demario Douglas,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,45,620,4,123.5,Xavier Legette,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,48,620,4,125.0,Adonai Mitchell,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,55,630,3,123.5,Ricky Pearsall,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,65,700,4,126.5,Elijah Moore,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,40,630,5,113.0,Allen Lazard,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,47,740,3,115.5,Darius Slayton,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,37,530,3,109.5,Troy Franklin,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,40,650,4,109.0,D.J. Chark,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,72,700,3,124.0,Wan'Dale Robinson,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,30,510,2,103.0,Devontez Walker,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,33,500,3,104.5,Javon Baker,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,54,580,3,113.0,Greg Dortch,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,46,660,3,107.0,Kendrick Bourne,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,52,610,3,105.0,K.J. Osborn,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,44,490,5,101.0,Michael Thomas,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,48,530,3,95.0,Quentin Johnston,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,48,490,3,91.0,Zay Jones,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,57,550,2,95.5,Jonathan Mingo,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,36,540,2,84.0,Jalin Hyatt,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,35,430,3,78.5,Treylon Burks,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
,,,,43,480,2,81.5,Rashod Bateman,WalterFootball,http://walterfootball.com/fantasy2024rankingsexcel.xlsx
