player,pos,fpts,rec_rcpt,rec_yd,rec_td,rec_tgt,rush_att,rush_yd,rush_td,fpts_halfppr_adjust,pass_att,pass_cmp,pass_yd,pass_td,pass_int,source,source_url
CeeDee Lamb,WR,260.260273835,112.8357971,1406.505081,8.547127193,159.8677256,12.58814173,85.78688709,0.784269059,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Tyreek Hill,WR,245.29529563300002,106.2924909,1437.76817,7.540951506,156.2675702,4.09887593,24.77730959,0.262268833,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Ja'Marr Chase,WR,239.164431145,105.5718232,1342.504245,8.416246164,152.090995,3.625956905,18.13516131,0.154910553,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Amon-Ra St. Brown,WR,229.687717047,109.5695923,1264.567667,7.424800255,152.6575979,4.49612955,29.34478567,0.260946536,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Justin Jefferson,WR,231.51695050800004,106.0505825,1355.783828,7.046874856,163.9746299,1.920722763,10.36426916,0.104623201,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
A.J. Brown,WR,224.30632294900002,92.72791767,1305.935312,8.05161348,143.6849488,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Garrett Wilson,WR,211.00956106,80.13052157,1137.806559,9.086460111,136.2914257,4.392808976,23.63367877,0.197047205,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Puka Nacua,WR,213.70285863099997,88.4762963,1237.255984,5.895651483,135.5392682,12.42311462,77.32594253,0.645479065,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Chris Olave,WR,204.182478083,86.32339763,1259.605715,5.961972947,138.5683408,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Davante Adams,WR,197.25135353799996,92.63664478,1204.923036,5.181194928,148.5559775,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Mike Evans,WR,196.765422,76.85605054,1137.234752,7.460087434,129.5725745,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Deebo Samuel Sr.,WR,189.17937438799999,62.1702795,922.2834019,5.589272088,94.09658218,28.85626378,164.4485595,2.793224422,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
DK Metcalf,WR,192.147648139,70.27345061,1081.740614,8.189132793,118.4130279,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Brandon Aiyuk,WR,184.253921912,75.07746578,1066.25985,6.805332024,113.4055369,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Nico Collins,WR,188.95508376100003,77.48375313,1057.289821,7.494228439,117.9595212,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Marvin Harrison Jr.,WR,187.163592461,82.56792071,1120.070123,5.628344712,129.1055998,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Drake London,WR,185.541067386,83.80431504,1033.025566,6.857246932,128.3453637,,,,True,,,,,,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
