player,pos,fpts,rec_rcpt,rec_yd,rec_td,rec_tgt,rush_att,rush_yd,rush_td,fpts_halfppr_adjust,source,source_url
Ty Johnson,RB,52.416171977,15.08377329,143.8441457,0.487289552,22.21863633,45.33095059,193.938381,1.394058043,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Audric Estime,RB,51.568555457,12.47337292,89.49498159,0.420787781,16.75813736,61.05882719,255.1192697,1.447556056,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Chase Edmonds,RB,50.966698787000006,13.54627447,93.35482066,0.531127898,17.57979372,57.55711115,253.2518058,1.090972577,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Eric Gray,RB,50.164183921,13.30998895,89.21093442,0.46133686,17.2868839,53.25683478,225.7742693,1.594205339,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Ameer Abdullah,RB,44.611474842999996,21.70029915,159.3721566,0.691351162,28.3157069,23.87224356,102.5262818,0.603511731,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Isaiah Davis,RB,50.9571410945,8.872617709,62.97219444,0.384302284,11.26842094,65.44319185,275.6963955,1.778865337,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Michael Carter,RB,46.113040727000005,16.27345255,106.7293697,0.419627109,21.94231746,43.63642468,188.3877561,1.01682584,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Nyheim Hines,RB,44.578162508,18.14466078,131.4302926,0.744330225,23.11623808,23.91691824,102.263143,0.795485566,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Trey Sermon,RB,46.07440426500001,10.03540792,68.23268361,0.244849104,13.4225909,56.55373644,243.0634817,1.45644651,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
D'Ernest Johnson,RB,43.724156337,8.83818534,62.35649535,0.226654254,11.37028425,54.55620642,241.8768011,1.291115546,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Deuce Vaughn,RB,38.088225407,14.27872067,101.0133131,0.582953208,18.27667105,29.14490981,123.9811242,0.85837163,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Evan Hull,RB,39.670717485000004,8.085849036,56.47863641,0.292335229,10.61148775,46.88682492,200.0292346,1.418745368,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Trayveon Williams,RB,37.164001379,9.203912448,59.38925931,0.263065573,11.7418562,38.26924066,167.0873402,1.267204271,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Chris Rodriguez Jr.,RB,34.424899890999995,12.11518094,85.56713031,0.410519594,15.85301172,26.79441316,116.081912,0.752934616,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Kimani Vidal,RB,33.300096017499996,8.017757813,55.28687457,0.310215497,10.22273084,42.63199259,176.0894688,0.760155464,True,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
