player,pos,fpts,fg_1_39_made,fg_1_39_att,fg_40_49_made,fg_40_49_att,fg_50_made,fg_50_att,xp_made,xp_att,source,source_url
Tyler Bass,K,129.436188053,15.52545811,16.81339541,6.948839031,9.138421877,4.252924792,6.569257007,39.593686,43.30026945,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Daniel Carlson,K,128.595026938,16.58658245,16.98692468,7.510208043,9.232738562,4.64880973,6.637057614,29.6615194,30.66004565,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Joshua Karty,K,132.556645834,15.90294396,16.82851213,7.152671011,9.146638121,4.398784279,6.575163347,39.33912286,42.02897742,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Anders Carlson,K,129.362969533,15.65838383,16.8343735,7.019228329,9.149823895,4.302598727,6.577453476,38.37935108,41.66489721,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Will Reichard,K,125.45253126700001,16.01492936,16.94701519,7.203038709,9.211046942,4.42975965,6.62146435,31.57858887,33.73780862,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Cam Little,K,127.28188868699999,15.97630196,16.90613964,7.185665253,9.188830247,4.419075238,6.605493629,33.63436667,35.93415242,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Blake Grupe,K,125.41763448200001,15.90507214,16.92722226,7.145082611,9.200289083,4.388971134,6.613730942,32.47934835,34.90095039,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Graham Gano,K,122.111915871,16.15079402,17.0113939,7.27118036,9.246038077,4.475901664,6.64661812,27.2014781,28.92511455,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Wil Lutz,K,120.66074839199999,15.79305325,16.9820647,7.079339367,9.230097061,4.339289525,6.635158741,28.90342191,31.38318696,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Chad Ryland,K,114.94747225799999,15.39995062,17.0032315,6.863804858,9.241601648,4.183415595,6.643428942,26.81641401,29.90542677,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
Cade York,K,121.60934939900001,15.92142924,16.98298247,7.149033018,9.23059589,4.389349067,6.63551733,28.69146864,30.90111062,ESPN,https://lm-api-reads.fantasy.espn.com/apis/v3/games/ffl/seasons/2024/segments/0/leaguedefaults/1?scoringPeriodId=0&view=kona_player_info
