name,pos,fpts,rec_rcpt,rec_yd,rec_td,rec_tgt,rush_att,rush_yd,rush_td,pass_att,pass_cmp,pass_yd,pass_td,pass_int
Josh Whyle,TE,23.214870821,12.13255781,124.0049501,0.80317833,17.86007214,,,,,,,,
Brenton Strange,TE,22.929253915,11.77500889,118.1177451,0.878151927,17.2267531,,,,,,,,
Luke Farrell,TE,22.513100556,12.27443554,117.0898048,0.787222883,17.2267531,,,,,,,,
Pharaoh Brown,TE,21.753855623,12.29457451,123.7172718,0.563595338,16.83320854,,,,,,,,
Stone Smartt,TE,21.859794011,10.94377325,113.1439621,0.85402433,16.2610329,,,,,,,,
Drew Ogletree,TE,20.396498817999998,10.05895898,107.3010037,0.774935655,15.92068498,,,,,,,,
Payne Durham,TE,19.415706557,9.978103926,101.0293933,0.730031148,14.48922468,,,,,,,,
AJ Barner,TE,18.7082601565,9.824805101,97.83801376,0.677153816,13.87113016,,,,,,,,
Peyton Hendershot,TE,17.192550118,8.264061294,84.66038765,0.770539842,12.18800788,,,,,,,,
Ross Dwelley,TE,16.52370235,8.256207702,84.01644213,0.671530018,11.23826066,,,,,,,,
Erick All Jr.,TE,16.2469945215,8.564287183,83.64104854,0.608196256,12.09022829,,,,,,,,
Irv Smith Jr.,TE,16.4865532185,8.023062883,72.12149217,0.890807674,11.49054945,,,,,,,,
Mo Alie-Cox,TE,15.3125187595,6.841381831,81.30796108,0.63045866,10.61378998,,,,,,,,
Ko Kieft,TE,14.997181292,7.445651008,75.87354584,0.62033922,11.39511455,,,,,,,,
Lucas Krull,TE,14.389924328,7.335619488,77.64625372,0.499033345,11.38377771,,,,,,,,
C.J. Uzomah,TE,14.076533721999999,7.691989422,69.22632805,0.551634275,10.25887806,,,,,,,,
Giovanni Ricci,TE,13.992316174500003,7.245968143,71.84851131,0.536112498,10.31483331,,,,,,,,
Ian Thomas,TE,13.888351556,7.307314624,77.84029418,0.416586119,11.01058232,,,,,,,,
Tip Reiman,TE,13.6649409025,7.609816605,74.63137466,0.402722805,10.80477579,,,,,,,,
Hunter Long,TE,10.196094142,5.299166642,54.82170337,0.348889274,7.641600151,,,,,,,,
Logan Thomas,TE,10.1103725455,5.033076465,49.24104713,0.454007659,7.398067826,,,,,,,,
Jared Wiley,TE,8.105332283000001,3.925503736,39.39609539,0.371344871,5.565647933,,,,,,,,
Charlie Woerner,TE,7.703324886,3.915059978,38.14725145,0.324527001,5.44924172,,,,,,,,
Donald Parham Jr.,TE,7.8722846555,3.538448603,35.74939896,0.420171959,5.11323586,,,,,,,,
Jody Fortson Jr.,TE,7.6692902755,3.747091073,37.18093787,0.348013555,5.406372593,,,,,,,,
Cade Stover,TE,7.577378374,3.81899137,38.16919927,0.311571386,5.535798246,,,,,,,,
Tommy Hudson,TE,7.5668396275,3.779687405,38.82128239,0.30201008,5.395076748,,,,,,,,
Kenny Yeboah,TE,7.535825521000001,3.690083228,37.26298923,0.329692582,5.279222453,,,,,,,,
Robert Tonyan,TE,7.258559823,4.225296126,38.10394074,0.224864741,5.594058754,,,,,,,,
Quintin Morris,TE,7.417484548,3.649650308,36.18502574,0.330769009,5.320377653,,,,,,,,
James Mitchell,TE,7.294657308000001,3.760910804,36.35161818,0.298362959,5.288296594,,,,,,,,
Josiah Deguara,TE,7.0579439025,4.028570113,36.73866222,0.231932883,5.506033839,,,,,,,,
Nick Vannett,TE,6.9611882895,3.843815573,37.99640871,0.211084397,5.713355014,,,,,,,,
Harrison Bryant,TE,6.973283824000001,3.72626644,34.75461956,0.277542498,5.335459935,,,,,,,,
MyCole Pruitt,TE,7.0809383105000006,3.446475593,32.13019568,0.358639873,4.776586978,,,,,,,,
John Bates,TE,6.836775073500001,3.780025627,36.3942891,0.225373009,5.613519217,,,,,,,,
Cameron Latu,TE,6.847813488,3.348498058,35.04425845,0.281071616,4.827610991,,,,,,,,
Marcedes Lewis,TE,6.7269558085,3.545854295,35.44591243,0.240821378,5.266709068,,,,,,,,
Blake Whiteheart,TE,6.6147634680000005,3.686865462,36.06481371,0.195661693,5.234547709,,,,,,,,
Grant Calcaterra,TE,6.714485937000001,3.462255258,33.82283598,0.268751237,4.97228853,,,,,,,,
Nate Adkins,TE,6.502968983500001,3.587973057,35.57366873,0.195819259,5.356494605,,,,,,,,
Davis Allen,TE,6.482529496500001,3.484934993,34.70336408,0.21505667,4.847577829,,,,,,,,
Charlie Kolar,TE,6.5688276355,3.260005829,32.18230365,0.287992195,4.740969077,,,,,,,,
Mitchell Wilcox,TE,6.1216164955000005,3.626820991,33.09289286,0.170923838,5.251124146,,,,,,,,
Will Mallory,TE,5.9981611825000005,3.443104747,34.29238079,0.144885386,4.991046734,,,,,,,,
Lawrence Cager,TE,3.7553153708,1.92796441,18.96741866,0.150264986,2.881086759,,,,,,,,
Devin Culp,TE,3.6650473875,1.894372883,19.00830828,0.137984148,2.767001474,,,,,,,,
Ben Sims,TE,3.585577835,1.816244104,17.66073567,0.153227494,2.607055995,,,,,,,,
Brady Russell,TE,3.5497952671000004,1.874299407,18.53060803,0.128214336,2.648991133,,,,,,,,
Chris Manhertz,TE,3.4599973993,1.964190085,18.38646408,0.108578562,2.881086759,,,,,,,,
Tyler Davis,TE,3.5394818874000005,1.797376462,17.85768495,0.14394438,2.607055995,,,,,,,,
Cole Turner,TE,3.3704576923,1.800032785,17.47251747,0.122124693,2.642468603,,,,,,,,
Eric Saubert,TE,0.0,,,,,,,,,,,,
Eric Tomlinson,TE,0.0,,,,,,,,,,,,
Zach Gentry,TE,0.0,,,,,,,,,,,,
Tommy Sweeney,TE,0.0,,,,,,,,,,,,
Jordan Matthews,TE,0.0,,,,,,,,,,,,
N'Keal Harry,TE,0.0,,,,,,,,,,,,
Tyree Jackson,TE,0.0,,,,,,,,,,,,
Jesper Horsted,TE,0.0,,,,,,,,,,,,
Stephen Carlson,TE,0.0,,,,,,,,,,,,
Dalton Keene,TE,0.0,,,,,,,,,,,,
Albert Okwuegbunam Jr.,TE,0.0,,,,,,,,,,,,
Sean McKeon,TE,0.0,,,,,,,,,,,,
Tre' McKitty,TE,0.0,,,,,,,,,,,,
Zach Davidson,TE,0.0,,,,,,,,,,,,
Sammis Reyes,TE,0.0,,,,,,,,,,,,
Miller Forristall,TE,0.0,,,,,,,,,,,,
Parker Hesse,TE,0.0,,,,,,,,,,,,
David Wells,TE,0.0,,,,,,,,,,,,
Jack Stoll,TE,0.0,,,,,,,,,,,,
Shane Zylstra,TE,0.0,,,,,,,,,,,,
Tyler Mabry,TE,0.0,,,,,,,,,,,,
Teagan Quitoriano,TE,0.0,,,,,,,,,,,,
John FitzPatrick,TE,0.0,,,,,,,,,,,,
Nick Muse,TE,0.0,,,,,,,,,,,,
