params/learning_rate,params/n_epochs,params/device,params/_init_setup_model,params/target_kl,params/normalize_advantage,rollout/ep_len_mean,time/fps,params/clip_range,params/policy_kwargs,params/n_steps,params/rollout_buffer_kwargs,params/seed,time/iterations,rollout/ep_rew_mean,params/policy,params/stats_window_size,time/time_elapsed,params/clip_range_vf,time/total_timesteps,params/gae_lambda,params/verbose,params/gamma,params/rollout_buffer_class,params/use_sde,params/batch_size,params/vf_coef,params/max_grad_norm,params/ent_coef,params/sde_sample_freq,train/explained_variance,train/policy_gradient_loss,train/loss,train/value_loss,train/clip_range,train/clip_fraction,train/learning_rate,train/n_updates,train/approx_kl,train/entropy_loss
5e-05,10,"auto",True,0.005,True,15.0,12,0.2,{'net_arch': [{'pi': [128, 128], 'vf': [128, 128]}]},15,,42,1,0.67117,"MlpPolicy",100,1,,15,0.95,1,0.99,,False,180,0.5,0.5,0.02,-1,,,,,,,,,,
,,,,,,15.0,13,,,,,,2,0.696682,,,2,,30,,,,,,,,,,,-6.483442306518555,-0.007905111579845681,-0.0314091220498085,0.0814188152551651,0.2,0.0,5e-05,10,0.0003759265,-1.7916230082511901
,,,,,,15.0,13,,,,,,3,0.21403633333333336,,,3,,45,,,,,,,,,,,-0.5871429443359375,-0.0101024857706701,-0.05029664561152458,0.02190697742626071,0.2,0.0,5e-05,20,0.00032628377,-1.7909137964248658
,,,,,,15.0,13,,,,,,4,-0.016976499999999978,,,4,,60,,,,,,,,,,,0.703421950340271,-0.0034150227853871227,0.1528640240430832,0.673150235414505,0.2,0.0,5e-05,30,0.000113920374,-1.7898422956466675
,,,,,,15.0,13,,,,,,5,-0.16610439999999999,,,5,,75,,,,,,,,,,,0.8143963813781738,-0.002090885369787543,-0.01620994322001934,0.2231319572776556,0.2,0.0,5e-05,40,7.4092546e-05,-1.7891630172729491
,,,,,,15.0,13,,,,,,6,-0.26493949999999994,,,6,,90,,,,,,,,,,,-1.23453688621521,-0.006823247570234159,-0.023090945556759834,0.09564617611467838,0.2,0.0,5e-05,50,0.00031423967,-1.788225531578064
,,,,,,15.0,14,,,,,,7,-0.3280775714285714,,,7,,105,,,,,,,,,,,-1.3076422214508057,-0.008355472071561999,-0.04249023273587227,0.02644341569393873,0.2,0.0,5e-05,60,0.00042600234,-1.7878910779953003
,,,,,,15.0,14,,,,,,8,-0.38303075,,,8,,120,,,,,,,,,,,-6.2349853515625,0.0013838410158257374,-0.025231994688510895,0.04384681340306997,0.2,0.0,5e-05,70,5.429586e-05,-1.7870155692100524
,,,,,,15.0,14,,,,,,9,-0.42166211111111107,,,9,,135,,,,,,,,,,,-0.4722294807434082,-0.0020211850821215014,-0.02937576174736023,0.034072748757898806,0.2,0.0,5e-05,80,5.836487e-05,-1.7871219277381898
,,,,,,15.0,14,,,,,,10,-0.4519209999999999,,,10,,150,,,,,,,,,,,-0.5185946226119995,-0.002540594836561283,-0.03656020760536194,0.017637550458312036,0.2,0.0,5e-05,90,7.3885916e-05,-1.7870833992958068
,,,,,,15.0,14,,,,,,11,-0.47108909090909085,,,11,,165,,,,,,,,,,,-2.506359815597534,-0.0032624217047123594,-0.030564352869987488,0.04107429087162018,0.2,0.0,5e-05,100,8.577506e-05,-1.7871963500976562
,,,,,,15.0,13,,,,,,12,-0.49106508333333326,,,12,,180,,,,,,,,,,,0.22724252939224243,-0.002765345648901185,-0.0366179533302784,0.014292329177260399,0.2,0.0,5e-05,110,0.00020254056,-1.7859464168548584
,,,,,,15.0,13,,,,,,13,-0.5071659230769231,,,13,,195,,,,,,,,,,,-0.14615893363952637,-0.0016586061274090013,-0.03477957844734192,0.02559629725292325,0.2,0.0,5e-05,120,0.00011762381,-1.785771095752716
