player,team,pos,source,source_url,rec,rec_yds,rec_td,rush_att,rush_yds,rush_td,fpts
Tucker Kraft,GB,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,26,291,2,0,0,0,54.099999999999994
Noah Gray,KC,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,29,307,1,0,0,0,51.2
Hayden Hurst,LAC,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,26,254,2,0,0,0,50.4
Durham Smythe,MIA,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,28,269,1,0,0,0,46.9
Donald Parham,LAC,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,21,241,2,0,0,0,46.6
Elijah Higgins,ARI,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,21,241,2,0,0,0,46.6
Foster Moreau,NO,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,24,269,1,0,0,0,44.9
Theo Johnson,NYG,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,21,229,2,0,0,0,45.4
Jelani Woods,IND,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,22,268,1,0,0,0,43.8
Adam Trautman,DEN,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,21,216,2,0,0,0,44.1
Josh Whyle,TEN,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,21,214,2,0,0,0,43.9
Logan Thomas,SF,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,25,233,1,0,0,0,41.8
Gerald Everett,CHI,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,21,206,2,0,0,0,43.1
Irv Smith Jr.,KC,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,22,196,2,0,0,0,42.6
Josh Oliver,MIN,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,21,199,2,0,0,0,42.4
Will Mallory,IND,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,21,241,1,0,0,0,40.6
Charlie Woerner,ATL,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,21,228,1,0,0,0,39.3
Connor Heyward,PIT,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,21,191,1,1,5,0,35.6
Brock Wright,DET,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,17,168,2,0,0,0,37.3
John Bates,WAS,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,20,190,1,0,0,0,35.0
Brevin Jordan,HOU,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,19,196,1,0,0,0,35.1
Tanner Hudson,CIN,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,19,193,1,0,0,0,34.8
Cole Turner,WAS,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,18,198,1,0,0,0,34.8
Jordan Akins,CLE,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,19,181,1,0,0,0,33.6
Jeremy Ruckert,NYJ,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,19,180,1,0,0,0,33.5
Harrison Bryant,LV,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,19,169,1,0,0,0,32.4
Drew Sample,CIN,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,20,156,1,0,0,0,31.6
Erick All,CIN,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,16,184,1,0,0,0,32.4
Cade Stover,HOU,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,16,176,1,0,0,0,31.6
Mo Alie-Cox,IND,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,19,239,3,0,0,0,51.4
Robert Tonyan,MIN,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,16,168,1,0,0,0,30.799999999999997
Stone Smartt,LAC,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,15,173,1,0,0,0,30.799999999999997
Darnell Washington,PIT,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,16,152,1,0,0,0,29.200000000000003
Johnny Mundt,MIN,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,16,152,1,0,0,0,29.200000000000003
Pharaoh Brown,SEA,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,15,161,1,0,0,0,29.6
Davis Allen,LAR,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,15,148,1,0,0,0,28.299999999999997
C.J. Uzomah,PHI,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,15,146,1,0,0,0,28.1
Teagan Quitoriano,HOU,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,11,167,1,0,0,0,28.200000000000003
Luke Schoonmaker,DAL,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,14,115,1,0,0,0,24.5
Brycen Hopkins,LAR,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,10,152,1,0,0,0,26.2
Jared Wiley,KC,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,13,119,1,0,0,0,24.4
Mitchell Wilcox,NE,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,14,102,1,0,0,0,23.2
Ian Thomas,CAR,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,15,147,0,0,0,0,22.2
Lucas Krull,DEN,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,11,127,1,0,0,0,24.2
James Mitchell,DET,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,11,119,1,0,0,0,23.4
MyCole Pruitt,PIT,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,11,116,1,0,0,0,23.1
Ko Kieft,TB,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,11,113,1,0,0,0,22.8
Shane Zylstra,DET,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,11,105,1,0,0,0,22.0
Tip Reiman,ARI,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,11,103,1,0,0,0,21.8
Josiah Deguara,JAX,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,14,130,0,0,0,0,20.0
Albert Okwuegbunam,PHI,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,10,102,1,0,0,0,21.2
Charlie Kolar,BAL,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,9,112,1,0,0,0,21.7
Brenton Strange,JAX,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,11,83,1,0,0,0,19.8
Geoff Swaim,ARI,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,13,101,0,0,0,0,16.6
Luke Farrell,JAX,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,11,114,0,0,0,0,16.9
Stephen Sullivan,CAR,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,10,118,0,0,0,0,16.8
Devin Culp,TB,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,7,79,1,0,0,0,17.4
Peyton Hendershot,DAL,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,10,94,0,0,0,0,14.399999999999999
Grant Calcaterra,PHI,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,9,98,0,0,0,0,14.3
Anthony Firkser,DET,TE,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=3,9,94,0,0,0,0,13.899999999999999
