params/gamma,params/gae_lambda,time/fps,params/normalize_advantage,time/total_timesteps,params/use_sde,params/rollout_buffer_class,params/verbose,params/stats_window_size,params/n_epochs,params/target_kl,params/learning_rate,time/time_elapsed,params/max_grad_norm,params/sde_sample_freq,time/iterations,params/ent_coef,params/policy,params/device,rollout/ep_len_mean,params/policy_kwargs,params/_init_setup_model,params/seed,params/n_steps,params/vf_coef,rollout/ep_rew_mean,params/clip_range_vf,params/clip_range,params/batch_size,params/rollout_buffer_kwargs,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/loss,train/learning_rate,train/policy_gradient_loss,train/value_loss,mean_reward
0.99,0.95,13,True,15,False,,1,100,10,0.01,0.0001,1,0.5,-1,1,0.02,"MlpPolicy","auto",15.0,{'net_arch': [{'pi': [128, 128], 'vf': [128, 128]}]},True,42,15,0.5,0.67117,,0.2,30,,,,,,,,,,,,
,,13,,30,,,,,,,,2,,,2,,,,15.0,,,,,,-0.013863499999999973,,,,,-6.483442306518555,10,-1.791286337375641,0.2,0.0015291651,0.0,-0.05784492939710617,0.0001,-0.015894167033645344,0.05836873631924391,
,,13,,45,,,,,,,,3,,,3,,,,15.0,,,,,,-0.25966066666666665,,,,,0.7169475853443146,20,-1.7888842701911927,0.2,0.0007232467,0.0,0.15412092208862305,0.0001,-0.010996285358754677,0.9268072873353959,
,,13,,60,,,,,,,,4,,,4,,,,15.0,,,,,,-0.37224925,,,,,0.3163856863975525,30,-1.7862131476402283,0.2,0.0005893707,0.0,-0.02426019310951233,0.0001,-0.008858721993553332,0.2568034164607525,
,,13,,75,,,,,,,,5,,,5,,,,15.0,,,,,,-0.4501742,,,,,-0.7951853275299072,40,-1.7824668049812318,0.2,0.00184956,0.0,-0.05321060121059418,0.0001,-0.016779325522172074,0.04086022712290287,
,,13,,90,,,,,,,,6,,,6,,,,15.0,,,,,,-0.26328250000000003,,,,,-5.783227443695068,50,-1.7729624390602112,0.2,0.0021914125,0.0,-0.05428677797317505,0.0001,-0.013780436301992082,0.05277879722416401,
,,13,,105,,,,,,,,7,,,7,,,,15.0,,,,,,-0.3250632857142857,,,,,-0.08299446105957031,60,-1.7638118147850037,0.2,0.000931867,0.0,0.06823353469371796,0.0001,-0.007833401941849161,0.5556919798254967,
,,13,,120,,,,,,,,8,,,8,,,,15.0,,,,,,-0.37715350000000003,,,,,-2.027970552444458,70,-1.7565266609191894,0.2,0.00026700099,0.0,0.1069534420967102,0.0001,-0.0032421143677009213,0.3852161347866058,
,,13,,135,,,,,,,,9,,,9,,,,15.0,,,,,,-0.41466722222222224,,,,,-0.9007028341293335,80,-1.755575966835022,0.2,0.00041501125,0.0,-0.03839977830648422,0.0001,-0.004830777415578779,0.08152243699878454,
,,13,,150,,,,,,,,10,,,10,,,,15.0,,,,,,-0.4451059,,,,,-0.8769413232803345,90,-1.7600133776664735,0.2,0.0011704803,0.0,-0.0527852401137352,0.0001,-0.01121701372088868,0.024947221949696542,
