def_sack,def_int,def_fum,def_td,def_sfty,fpts,source,source_url,def_tkl,def_fum_rec,def_fum_forced,def_pts_allowed,def_pts_allowed_per_game,pass_yd_allowed,rush_yd_allowed,total_yd_allowed,total_yd_allowed_per_game,fp_per_game,gp,fpts_halfppr_adjust,pts_allow,yds_allow,fpts_ci,rank_pos,def_yd_allowed,src_player_name,sleeper_id,full_name,team,position
42.2,10.8,14.9,1.8,0.8,174.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,Denver Broncos,DEN,Denver Broncos,DEN,DEF
45.9,9.8,13.4,0.0,1.0,173.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,Tampa Bay Buccaneers,TB,Tampa Bay Buccaneers,TB,DEF
34.6,17.0,10.9,4.5,0.0,172.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,New York Giants,NYG,New York Giants,NYG,DEF
39.9,11.5,8.0,4.1,0.8,170.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,Las Vegas Raiders,LV,Las Vegas Raiders,LV,DEF
41.0,19.4,4.7,0.0,1.3,169.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,Detroit Lions,DET,Detroit Lions,DET,DEF
46.6,5.2,13.1,1.4,0.0,169.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,Green Bay Packers,GB,Green Bay Packers,GB,DEF
46.2,7.4,8.0,1.6,0.0,168.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,Tennessee Titans,TEN,Tennessee Titans,TEN,DEF
41.6,11.2,10.8,0.7,0.0,166.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,Minnesota Vikings,MIN,Minnesota Vikings,MIN,DEF
41.3,6.4,8.7,1.4,1.2,160.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,Atlanta Falcons,ATL,Atlanta Falcons,ATL,DEF
41.4,10.3,6.3,0.0,3.0,157.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,Los Angeles Rams,LAR,Los Angeles Rams,LAR,DEF
25.6,8.4,2.8,2.6,0.0,155.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,Carolina Panthers,CAR,Carolina Panthers,CAR,DEF
28.1,11.1,2.1,0.0,0.0,140.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,Arizona Cardinals,ARI,Arizona Cardinals,ARI,DEF
34.7,7.5,8.3,0.0,0.0,134.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=6&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,Washington Commanders,WAS,Washington Commanders,WAS,DEF
54.7,15.0,,3.6,0.0,238.3,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/,676.0,15.0,20.0,336.0,19.8,0.0,1810.0,4707.0,276.9,14.0,,,,,,,,Baltimore,BAL,Baltimore Ravens,BAL,DEF
52.3,14.0,,3.4,0.0,234.7,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/,640.0,16.0,22.0,355.0,20.9,0.0,1930.0,4960.0,291.8,13.8,,,,,,,,Buffalo,BUF,Buffalo Bills,BUF,DEF
55.9,12.0,,2.8,0.0,224.7,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/,668.0,13.0,18.0,341.0,20.1,0.0,1888.0,4539.0,267.0,13.2,,,,,,,,Kansas City,KC,Kansas City Chiefs,KC,DEF
59.4,14.0,,3.1,0.0,204.0,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/,668.0,15.0,20.0,389.0,22.9,0.0,1749.0,5047.0,296.9,12.0,,,,,,,,Dallas,DAL,Dallas Cowboys,DAL,DEF
56.3,12.0,,2.9,0.0,195.7,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/,685.0,15.0,20.0,407.0,23.9,0.0,1594.0,5042.0,296.6,11.5,,,,,,,,Miami,MIA,Miami Dolphins,MIA,DEF
53.1,15.0,,2.9,0.0,190.5,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/,631.0,11.0,16.0,388.0,22.8,0.0,1700.0,4741.0,278.9,11.2,,,,,,,,Cleveland,CLE,Cleveland Browns,CLE,DEF
51.0,13.0,,2.9,0.0,190.4,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/,680.0,14.0,19.0,399.0,23.5,0.0,1774.0,5026.0,295.6,11.2,,,,,,,,Philadelphia,PHI,Philadelphia Eagles,PHI,DEF
50.2,10.0,,2.7,0.0,184.4,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/,708.0,15.0,21.0,341.0,20.1,0.0,1669.0,5188.0,305.2,10.8,,,,,,,,Tampa Bay,TB,Tampa Bay Buccaneers,TB,DEF
57.4,11.0,,2.6,0.0,183.0,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/,654.0,10.0,14.0,414.0,24.4,0.0,1605.0,4741.0,278.9,10.8,,,,,,,,Atlanta,ATL,Atlanta Falcons,ATL,DEF
42.1,15.0,,3.0,0.0,182.1,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/,688.0,12.0,16.0,342.0,20.1,0.0,1764.0,5113.0,300.8,10.7,,,,,,,,San Francisco,SF,San Francisco 49ers,SF,DEF
36.0,17.0,,2.9,0.0,173.4,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/,675.0,9.0,13.0,381.0,22.4,0.0,1626.0,5033.0,296.1,10.2,,,,,,,,Chicago,CHI,Chicago Bears,CHI,DEF
64.8,12.0,,3.3,0.0,168.6,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/,698.0,13.0,18.0,390.0,22.9,0.0,1705.0,5241.0,308.3,9.9,,,,,,,,Houston,HOU,Houston Texans,HOU,DEF
34.5,12.0,,2.6,0.0,166.1,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/,691.0,12.0,16.0,424.0,24.9,0.0,1450.0,4965.0,292.1,9.8,,,,,,,,New England,NE,New England Patriots,NE,DEF
65.8,12.0,,2.7,0.0,166.0,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/,685.0,13.0,17.0,456.0,26.8,0.0,1801.0,5270.0,310.0,9.8,,,,,,,,Indianapolis,IND,Indianapolis Colts,IND,DEF
52.8,15.0,,3.3,0.0,162.6,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/,692.0,13.0,19.0,391.0,23.0,0.0,2004.0,5694.0,334.9,9.6,,,,,,,,Cincinnati,CIN,Cincinnati Bengals,CIN,DEF
39.9,12.0,,2.3,0.0,161.7,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/,697.0,8.0,11.0,458.0,26.9,0.0,1746.0,4959.0,291.7,9.5,,,,,,,,Carolina,CAR,Carolina Panthers,CAR,DEF
53.8,14.0,,2.8,0.0,158.6,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/,685.0,13.0,18.0,372.0,21.9,0.0,1867.0,5494.0,323.2,9.3,,,,,,,,Pittsburgh,PIT,Pittsburgh Steelers,PIT,DEF
52.7,11.0,,3.2,0.0,157.9,CBS,https://www.cbssports.com/fantasy/football/stats/DST/2024/restofseason/projections/nonppr/,679.0,15.0,21.0,393.0,23.1,0.0,1790.0,5362.0,315.4,9.3,,,,,,,,L.A. Chargers,LAC,Los Angeles Chargers,LAC,DEF
