rush_att,rush_yd,rush_td,rec_tgt,rec_rcpt,rec_yd,rec_td,fumbles_lost,fpts,source,source_url,gp,rush_yd_per_rsh,rec_yd_per_game,rec_yd_per_rcpt,fp_per_game,fpts_halfppr_adjust,pass_yd,pass_td,pass_int,rec_yds,fpts_ci,rank_overall,rank_pos,src_player_name,sleeper_id,full_name,team,position
304.9,1200.0,4.8,62.1,45.9,344.0,0.0,1.0,204.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Josh Jacobs,5850,Josh Jacobs,GB,RB
275.4,1052.0,7.6,57.6,41.3,275.0,0.9,0.9,204.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Devin Singletary,6130,Devin Singletary,NYG,RB
212.5,880.0,5.5,90.5,69.1,409.0,1.4,1.4,201.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Rhamondre Stevenson,7611,Rhamondre Stevenson,NE,RB
238.9,924.0,7.6,66.6,52.4,323.0,0.8,0.6,201.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Tony Pollard,5967,Tony Pollard,TEN,RB
288.5,1222.0,5.6,54.5,38.4,275.0,0.0,1.0,200.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Zamir White,8139,Zamir White,LV,RB
239.1,900.0,10.4,47.6,34.3,341.0,0.4,4.0,198.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Gus Edwards,5248,Gus Edwards,LAC,RB
242.1,1138.0,6.0,52.5,39.0,232.0,1.0,0.6,196.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,D'Andre Swift,6790,D'Andre Swift,CHI,RB
224.6,890.0,6.0,56.7,40.8,292.0,3.7,0.0,196.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Zack Moss,6845,Zack Moss,CIN,RB
261.0,965.0,4.6,68.9,55.0,292.0,2.3,1.1,193.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Javonte Williams,7588,Javonte Williams,DEN,RB
211.0,1006.0,1.7,53.1,42.9,398.0,3.9,2.1,191.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,James Cook,8138,James Cook,BUF,RB
225.9,932.0,4.4,43.0,35.7,303.0,3.4,1.7,184.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Brian Robinson,8154,Brian Robinson,WAS,RB
209.4,735.0,5.1,91.3,63.7,473.0,1.1,3.1,183.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Austin Ekeler,4663,Austin Ekeler,WAS,RB
212.0,1003.0,6.6,41.7,29.1,217.0,1.3,1.0,183.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Nick Chubb,4988,Nick Chubb,CLE,RB
231.9,1033.0,2.6,61.4,44.8,297.0,0.8,1.2,173.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Aaron Jones,4199,Aaron Jones,MIN,RB
132.7,580.0,2.1,95.9,73.0,552.0,1.8,0.0,173.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Tyjae Spears,9508,Tyjae Spears,TEN,RB
163.0,825.0,4.0,75.5,60.2,373.0,0.0,2.1,170.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Jaylen Warren,8228,Jaylen Warren,PIT,RB
186.2,675.0,6.1,55.1,37.4,240.0,2.6,0.5,163.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=2&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,Jerome Ford,8143,Jerome Ford,CLE,RB
