xp_made,xp_att,fg_made,fg_att,fg_1_19_made,fg_20_29_made,fg_30_39_made,fg_40_49_made,fg_50_made,fg_miss,fpts,source,source_url,gp,fg_longest,fg_1_19_att,fg_20_29_att,fg_30_39_att,fg_40_49_att,fg_50_att,fp_per_game,fpts_halfppr_adjust,fg_1_39_made,fg_1_39_att,fg_0_19_made,fpts_ci,rank_pos,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_plus,src_player_name,sleeper_id,full_name,team,position
30.8,31.7,30.7,35.0,0.0,8.7,7.7,7.1,7.1,4.3,110.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Chris Boswell,1945,Chris Boswell,PIT,K
33.2,33.2,28.1,31.1,0.0,7.0,11.0,3.0,7.2,2.9,108.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Chase McLaughlin,6650,Chase McLaughlin,TB,K
27.9,30.8,28.9,32.6,0.0,7.7,8.2,8.0,5.0,3.7,103.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Dustin Hopkins,1348,Dustin Hopkins,CLE,K
42.7,42.7,26.4,32.9,0.0,9.3,5.9,6.3,4.9,6.5,102.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Blake Grupe,11058,Blake Grupe,NO,K
32.9,33.4,27.7,33.1,0.0,6.1,10.3,8.7,2.6,5.4,99.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Cam Little,11786,Cam Little,JAX,K
29.5,32.8,25.1,27.0,0.0,8.1,7.5,5.3,4.3,1.9,99.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Nick Folk,650,Nick Folk,TEN,K
35.0,40.4,27.1,33.2,0.0,6.3,13.5,4.7,2.6,6.1,97.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Anders Carlson,11008,Anders Carlson,GB,K
24.5,25.9,29.8,36.0,0.0,5.3,9.6,6.7,8.3,6.2,95.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Matt Prater,17,Matt Prater,ARI,K
46.5,50.3,20.6,24.7,0.0,2.9,10.6,5.5,1.5,4.2,95.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Jake Bates,11539,Jake Bates,DET,K
21.9,25.0,28.1,32.3,0.0,5.5,9.3,9.3,4.0,4.2,93.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Eddy Pineiro,5189,Eddy Pineiro,CAR,K
33.8,36.8,25.6,31.5,0.6,5.6,12.2,4.0,3.2,5.9,93.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Greg Joseph,5272,Greg Joseph,GB,K
28.6,31.6,28.8,36.3,0.0,10.7,8.4,5.3,4.3,7.5,92.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Joshua Karty,11789,Joshua Karty,LAR,K
32.3,33.6,25.4,30.8,0.0,3.9,9.6,8.3,3.6,5.4,92.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Brandon McManus,1433,Brandon McManus,,K
44.9,49.1,17.3,19.1,0.0,2.4,10.0,3.8,1.1,1.8,91.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Riley Patterson,7922,Riley Patterson,WAS,K
36.5,39.7,22.8,29.1,0.6,6.3,8.2,4.1,3.5,6.3,86.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Will Reichard,11792,Will Reichard,MIN,K
29.2,31.1,23.6,29.3,0.0,3.7,8.7,6.5,4.6,5.7,82.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Graham Gano,503,Graham Gano,NYG,K
27.6,31.8,19.1,22.6,0.0,4.1,5.1,7.7,2.2,3.5,74.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Ramiz Ahmed,7105,Ramiz Ahmed,WAS,K
29.1,32.5,18.8,23.6,0.0,4.0,5.7,6.6,2.5,4.8,71.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Cade York,8258,Cade York,CLE,K
28.8,30.7,20.1,28.6,0.2,5.4,6.7,5.4,2.5,8.5,63.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Chad Ryland,10955,Chad Ryland,NE,K
30.4,33.1,17.1,24.0,0.0,2.5,5.7,6.1,2.9,6.9,61.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Joey Slye,6528,Joey Slye,NE,K
21.2,21.2,10.1,11.8,0.0,1.0,4.2,3.3,1.6,1.7,46.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Randy Bullock,1099,Randy Bullock,,K
0.5,0.5,2.0,2.0,0.0,0.0,0.5,1.5,0.0,0.0,6.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Matthew Wright,6268,Matthew Wright,PIT,K
0.6,0.6,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.0,1.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=,,,,,,,,,,,,,,,,,,,,Tanner Brown,11145,Tanner Brown,LAR,K
55,57.0,39.0,44.0,0.309,11.8,11.7,10.6,4.59,,172.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.31,11.9,11.8,12.1,4.59,10.1,False,,,,,,,,,,,Younghoe Koo,4666,Younghoe Koo,ATL,K
46,47.0,34.0,38.0,0.263,10.5,10.3,7.6,5.6,,148.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.263,10.6,11.7,8.4,5.6,8.7,False,,,,,,,,,,,Harrison Butker,4227,Harrison Butker,KC,K
42,43.0,35.0,42.0,0.279,7.8,12.1,10.3,4.6,,147.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.279,7.9,13.4,12.4,4.6,8.6,False,,,,,,,,,,,Jason Myers,2747,Jason Myers,SEA,K
50,51.0,32.0,36.0,0.251,9.0,8.9,10.4,3.17,,146.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.251,9.1,9.0,11.6,3.17,8.6,False,,,,,,,,,,,Justin Tucker,1264,Justin Tucker,BAL,K
43,46.0,34.0,38.0,0.264,8.0,12.5,7.6,5.6,,145.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.264,8.1,14.3,8.4,5.6,8.5,False,,,,,,,,,,,Brandon Aubrey,11533,Brandon Aubrey,DAL,K
52,53.0,31.0,34.0,0.253,8.8,8.6,7.7,5.4,,145.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.253,8.9,9.5,8.6,5.4,8.5,False,,,,,,,,,,,Jake Elliott,4195,Jake Elliott,PHI,K
43,44.0,34.0,39.0,0.258,10.3,10.6,7.4,5.5,,145.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.259,10.4,10.8,10.3,5.5,8.5,False,,,,,,,,,,,Ka'imi Fairbairn,3451,Ka'imi Fairbairn,HOU,K
49,49.0,31.0,37.0,0.24,9.6,7.8,8.0,5.1,,142.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.24,10.7,7.9,10.0,5.1,8.4,False,,,,,,,,,,,Blake Grupe,11058,Blake Grupe,NO,K
52,53.0,30.0,38.0,0.244,7.3,11.6,7.0,3.89,,142.0,CBS,https://www.cbssports.com/fantasy/football/stats/K/2024/restofseason/projections/nonppr/,17,—,0.244,8.1,12.7,10.5,3.89,8.4,False,,,,,,,,,,,Tyler Bass,7042,Tyler Bass,BUF,K
