player,team,pos,xp_made,xp_att,fg_made,fg_att,fg_1_19_made,fg_20_29_made,fg_30_39_made,fg_40_49_made,fg_50_made,fg_miss,fpts,source,source_url
Younghoe Koo,ATL,K,31.2,32.7,31.9,36.9,0.0,9.2,9.6,8.9,4.2,5.0,112.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=
Jason Sanders,MIA,K,49.2,50.6,26.1,31.4,0.0,5.5,8.7,7.8,4.0,5.3,111.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=
Wil Lutz,DEN,K,35.0,36.5,30.5,35.6,0.0,11.8,9.8,5.5,3.5,5.2,110.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=
Matt Gay,IND,K,33.4,34.2,33.7,41.8,0.0,8.6,10.5,7.2,7.3,8.1,110.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=
Chris Boswell,PIT,K,30.8,31.7,30.7,35.0,0.0,8.7,7.7,7.1,7.1,4.3,110.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=
Chase McLaughlin,TBB,K,33.2,33.2,28.1,31.1,0.0,7.0,11.0,3.0,7.2,2.9,108.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=
Dustin Hopkins,CLE,K,27.9,30.8,28.9,32.6,0.0,7.7,8.2,8.0,5.0,3.7,103.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=
Blake Grupe,NOS,K,42.7,42.7,26.4,32.9,0.0,9.3,5.9,6.3,4.9,6.5,102.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=
Cam Little,JAC,K,32.9,33.4,27.7,33.1,0.0,6.1,10.3,8.7,2.6,5.4,99.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=
Nick Folk,TEN,K,29.5,32.8,25.1,27.0,0.0,8.1,7.5,5.3,4.3,1.9,99.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=
Anders Carlson,FA,K,35.0,40.4,27.1,33.2,0.0,6.3,13.5,4.7,2.6,6.1,97.8,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=
Matt Prater,ARI,K,24.5,25.9,29.8,36.0,0.0,5.3,9.6,6.7,8.3,6.2,95.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=
Jake Bates,DET,K,46.5,50.3,20.6,24.7,0.0,2.9,10.6,5.5,1.5,4.2,95.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=
Eddy Pineiro,CAR,K,21.9,25.0,28.1,32.3,0.0,5.5,9.3,9.3,4.0,4.2,93.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=
Greg Joseph,GBP,K,33.8,36.8,25.6,31.5,0.6,5.6,12.2,4.0,3.2,5.9,93.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=
Joshua Karty,LAR,K,28.6,31.6,28.8,36.3,0.0,10.7,8.4,5.3,4.3,7.5,92.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=
Brandon McManus,FA,K,32.3,33.6,25.4,30.8,0.0,3.9,9.6,8.3,3.6,5.4,92.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=
Riley Patterson,FA,K,44.9,49.1,17.3,19.1,0.0,2.4,10.0,3.8,1.1,1.8,91.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=
Will Reichard,MIN,K,36.5,39.7,22.8,29.1,0.6,6.3,8.2,4.1,3.5,6.3,86.2,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=
Graham Gano,NYG,K,29.2,31.1,23.6,29.3,0.0,3.7,8.7,6.5,4.6,5.7,82.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=
Ramiz Ahmed,FA,K,27.6,31.8,19.1,22.6,0.0,4.1,5.1,7.7,2.2,3.5,74.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=
Cade York,WAS,K,29.1,32.5,18.8,23.6,0.0,4.0,5.7,6.6,2.5,4.8,71.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=
Chad Ryland,FA,K,28.8,30.7,20.1,28.6,0.2,5.4,6.7,5.4,2.5,8.5,63.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=
Joey Slye,NEP,K,30.4,33.1,17.1,24.0,0.0,2.5,5.7,6.1,2.9,6.9,61.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=
Randy Bullock,FA,K,21.2,21.2,10.1,11.8,0.0,1.0,4.2,3.3,1.6,1.7,46.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=
Matthew Wright,FA,K,0.5,0.5,2.0,2.0,0.0,0.0,0.5,1.5,0.0,0.0,6.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=
Tanner Brown,FA,K,0.6,0.6,0.3,0.3,0.0,0.0,0.0,0.0,0.3,0.0,1.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Segment=810&Position=7&scoring=18&League=-1&uid=4&uid2=&printable=
