Rank,Player ID,Player Name,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Kick Ret Yds,Fum Lost,Scoring Opps,Pts,pos,source,source_url
1,14832,"Lamb, CeeDee",DAL,WR,182.8,30.0,128.4,1652.0,11.5,3.5,3.6,1.6,1.0,0.9,0.9,15.1,11.1,1.1,0.4,97.0,1.5,0.0,1.6,27.0,315.2,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
2,12801,"Hill, Tyreek",MIA,WR,172.5,20.2,113.9,1642.0,9.8,3.2,0.0,1.0,0.8,1.5,3.3,15.1,11.1,1.1,0.4,19.0,0.5,0.0,0.7,22.1,283.4,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
3,14836,"Jefferson, Justin",MIN,WR,179.8,25.2,116.4,1699.0,7.5,2.1,1.3,2.1,1.2,0.0,0.8,15.3,10.6,1.1,0.4,5.0,0.5,0.0,0.6,26.4,276.6,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
4,15287,"St. Brown, Amon-Ra",DET,WR,174.7,27.6,120.4,1510.0,8.0,2.9,1.9,2.3,0.0,0.0,1.0,14.5,9.1,1.0,0.4,32.0,0.0,0.0,0.5,17.7,261.7,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
5,15281,"Chase, Ja'Marr",CIN,WR,163.3,23.4,104.9,1377.0,8.9,1.7,1.7,1.3,0.5,0.7,2.9,14.4,3.3,0.9,0.3,1.0,0.0,0.0,0.6,17.6,242.5,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
6,11675,"Adams, Davante",LVR,WR,179.4,26.2,100.5,1277.0,10.3,4.5,0.4,0.5,2.0,2.1,0.9,13.4,2.6,0.9,0.3,-0.4,0.0,0.0,0.0,19.9,240.0,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
7,16211,"Nacua, Puka",LAR,WR,163.3,19.5,98.4,1425.0,6.2,1.8,1.4,1.6,0.0,0.0,1.3,15.7,2.8,0.9,0.4,99.0,0.0,1.0,0.0,19.2,238.8,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
8,14104,"Brown, A.J.",PHI,WR,169.7,17.8,101.1,1443.0,8.3,1.9,1.7,2.0,0.7,1.0,1.0,15.4,2.9,1.0,0.4,0.0,0.0,0.0,3.0,18.4,238.5,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
9,12175,"Cooper, Amari",CLE,WR,149.7,18.0,80.5,1334.0,8.7,2.2,1.6,1.2,1.2,1.0,1.5,13.8,3.1,0.9,0.3,0.0,0.0,0.0,0.8,17.8,225.3,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
10,12186,"Diggs, Stefon",HOU,WR,145.5,13.9,98.1,1300.0,7.3,1.8,3.0,0.9,0.0,0.3,1.4,13.5,4.0,0.9,0.3,8.0,0.0,13.0,0.6,14.5,224.9,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
11,11671,"Evans, Mike",TBB,WR,151.1,18.8,81.1,1213.0,9.9,3.1,0.9,3.5,0.7,0.6,1.2,13.4,2.4,0.8,0.3,0.0,0.0,0.0,0.0,20.5,221.4,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
12,14136,"Samuel, Deebo",SFO,WR,125.3,19.4,76.9,1040.0,6.3,1.4,2.3,0.7,0.0,1.0,1.0,10.5,2.1,0.7,0.3,194.0,3.7,167.0,0.6,17.3,220.8,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
13,14102,"Metcalf, DK",SEA,WR,159.0,27.5,85.7,1274.0,8.0,3.9,2.0,0.2,0.9,0.0,1.0,14.6,2.5,0.8,0.3,0.0,0.0,0.0,0.5,15.4,217.6,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
14,15290,"Collins, Nico",HOU,WR,138.0,27.7,87.9,1255.0,7.4,3.9,2.5,0.0,0.0,0.0,1.1,15.1,2.5,0.8,0.3,11.0,0.0,0.0,0.0,17.3,216.7,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
15,13164,"Kupp, Cooper",LAR,WR,149.4,25.0,97.0,1133.0,8.1,3.7,2.1,0.0,0.0,0.0,2.3,13.3,2.3,0.8,0.3,34.0,0.2,4.0,0.0,19.7,216.7,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
16,16614,"Harrison Jr., Marvin",ARI,WR,155.2,10.3,102.2,1199.0,7.0,3.0,0.5,1.4,1.5,0.0,0.5,14.1,2.4,0.8,0.3,20.0,0.0,110.0,0.5,9.8,216.0,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
17,14840,"Aiyuk, Brandon",SFO,WR,123.3,13.4,78.3,1330.0,6.9,2.9,2.0,1.1,0.0,0.0,0.8,14.8,2.7,0.9,0.3,22.0,0.2,14.0,1.2,12.0,214.4,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
18,13635,"Moore, D.J.",CHI,WR,134.1,13.3,93.9,1266.0,6.0,2.1,0.2,1.3,2.2,0.0,0.2,13.6,3.5,0.8,0.3,23.0,1.1,0.0,2.2,13.4,213.9,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
19,15282,"Smith, DeVonta",PHI,WR,134.2,11.0,93.6,1233.0,7.2,2.0,1.5,0.7,2.1,0.5,0.5,13.7,2.5,0.8,0.3,0.0,0.0,0.0,1.3,11.3,211.1,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
20,15789,"Watson, Christian",GBP,WR,98.2,21.7,61.2,850.0,13.4,4.1,6.7,0.8,1.0,0.0,0.8,10.7,1.7,0.6,0.2,60.0,1.3,0.0,0.0,23.4,209.8,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
21,11222,"Allen, Keenan",CHI,WR,143.0,14.0,97.8,1187.0,6.3,2.6,1.2,0.9,1.5,0.0,0.0,11.5,5.7,0.8,0.3,12.0,0.6,0.0,0.7,15.3,208.6,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
22,15753,"Wilson, Garrett",NYJ,WR,224.1,25.0,116.3,1357.0,2.9,2.0,0.0,0.0,0.0,0.0,0.9,16.5,2.7,0.9,0.3,-3.3,0.0,0.0,1.6,13.9,207.5,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
23,15762,"Pickens, George",PIT,WR,100.3,6.7,60.6,1212.0,8.7,1.5,0.0,1.7,0.8,0.9,3.8,12.1,5.3,0.8,0.3,14.0,0.0,0.0,0.0,12.6,205.1,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
24,16190,"Flowers, Zay",BAL,WR,123.8,15.4,83.9,1106.0,6.8,1.9,0.7,1.2,1.5,0.2,1.3,13.7,2.2,0.7,0.3,51.0,0.6,0.0,1.6,14.2,201.5,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
25,15284,"Waddle, Jaylen",MIA,WR,123.3,8.4,78.2,1255.0,5.5,1.9,0.5,0.2,0.7,0.0,2.2,14.3,2.5,0.8,0.3,14.0,0.0,0.0,0.6,10.3,197.6,WR,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=4&scoring=18
