player,team,pos,rush_att,rush_yd,rush_td,rec_tgt,rec_rcpt,rec_yd,rec_td,fumbles_lost,fpts,source,source_url
Christian McCaffrey,SFO,RB,276.0,1395.0,12.9,93.3,74.4,643.0,6.3,2.0,352.3,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Kyren Williams,LAR,RB,259.5,1202.0,12.8,53.7,36.0,245.0,1.7,2.4,247.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Jonathan Taylor,IND,RB,318.4,1334.0,9.7,59.8,44.0,274.0,1.8,2.3,247.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Bijan Robinson,ATL,RB,245.0,1111.0,5.5,91.8,61.3,533.0,3.6,2.8,244.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Saquon Barkley,PHI,RB,310.5,1276.0,8.6,69.4,48.3,311.0,1.9,1.8,244.7,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Breece Hall,NYJ,RB,210.7,971.0,6.3,83.7,63.7,518.0,3.2,0.0,239.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Kenneth Walker III,SEA,RB,293.5,1255.0,10.2,47.9,35.2,284.0,0.7,0.0,237.1,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
De'Von Achane,MIA,RB,175.2,1050.0,9.7,70.1,49.3,346.0,2.6,1.1,236.0,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Travis Etienne,JAC,RB,248.6,1069.0,9.4,65.8,51.7,408.0,0.6,1.4,233.5,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Derrick Henry,BAL,RB,237.8,1102.0,12.0,46.5,31.7,266.0,0.7,0.3,228.4,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Jahmyr Gibbs,DET,RB,196.3,987.0,12.6,69.2,46.1,285.0,1.3,2.9,227.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Rachaad White,TBB,RB,256.4,949.0,4.0,80.5,71.3,541.0,3.8,2.8,225.9,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
Isiah Pacheco,KCC,RB,254.2,1111.0,8.3,53.8,48.6,329.0,1.5,2.5,222.6,FantasySharks,https://www.fantasysharks.com/apps/bert/forecasts/projections.php?csv=1&Sort=&Position=2&scoring=18
