player,team,pos,source,source_url,rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,fpts
Zay Flowers,BAL,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,91,1019,7,9,61,0,195.5
Calvin Ridley,TEN,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,81,1093,8,6,25,0,200.3
Christian Kirk,JAX,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,82,1090,7,2,13,0,193.3
Malik Nabers,NYG,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,79,1094,7,4,29,0,193.8
Jayden Reed,GB,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,74,925,8,10,91,1,192.6
Christian Watson,GB,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,70,1042,8,6,41,0,191.3
Jordan Addison,MIN,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,81,1013,7,2,10,0,184.8
Xavier Worthy,KC,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,69,1055,7,5,52,0,187.2
Marquise Brown,KC,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,81,963,7,2,16,0,180.4
Ladd McConkey,LAC,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,81,1012,6,3,16,0,179.3
Tank Dell,HOU,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,62,930,8,14,73,0,179.3
Curtis Samuel,BUF,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,76,794,6,17,97,1,169.1
Courtland Sutton,DEN,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,69,924,7,0,0,0,168.9
Jerry Jeudy,CLE,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,69,972,6,1,7,0,168.4
Jaxon Smith-Njigba,SEA,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,81,845,6,0,0,0,161.0
Rashee Rice,KC,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,72,864,7,2,12,0,165.6
Michael Wilson,ARI,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,66,988,6,0,0,0,167.8
Gabriel Davis,JAX,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,59,985,7,0,0,0,170.0
Keon Coleman,BUF,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,66,911,7,0,0,0,166.1
Jahan Dotson,WAS,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,72,893,6,1,5,0,161.8
Jameson Williams,DET,WR,FreeDraftGuide,https://www.freedraftguide.com/football/draft-guide-rankings-provider.php?POS=2,62,923,6,5,53,0,164.6
