rank,player,rec,rec_tgt,rec_yds,rec_yds_per_rec,rec_longest,rec_20_plus,rec_td,rush_att,rush_yds,rush_td,fumbles,g,fpts,fpts_per_game,rost,year,week,pos
1,Tony Gonzalez (FA),5,6,87,17.4,30,0,1,0,0,0,0,1,17.2,17.2,0.0%,2002,1,te
2,Randy McMichael (FA),4,5,73,18.3,24,0,1,0,0,0,0,1,15.3,15.3,0.0%,2002,1,te
3,Anthony Becht (FA),4,4,36,9.0,21,0,1,0,0,0,0,1,13.6,13.6,0.0%,2002,1,te
4,Wesley Walls (FA),2,2,38,19.0,20,0,1,0,0,0,0,1,10.8,10.8,0.0%,2002,1,te
5,Chad Lewis (FA),3,7,28,9.3,18,0,1,0,0,0,0,1,10.3,10.3,0.0%,2002,1,te
6,Itula Mili (FA),3,4,23,7.7,14,0,1,0,0,0,0,1,9.8,9.8,0.0%,2002,1,te
7,Pete Mitchell (FA),3,4,22,7.3,8,0,1,0,0,0,0,1,9.7,9.7,0.0%,2002,1,te
8,Boo Williams (FA),1,2,32,32.0,32,0,1,0,0,0,0,1,9.7,9.7,0.0%,2002,1,te
9,Alge Crumpler (FA),2,2,14,7.0,12,0,1,0,0,0,0,1,8.4,8.4,0.0%,2002,1,te
10,Billy Miller (FA),1,2,19,19.0,19,0,1,0,0,0,0,1,8.4,8.4,0.0%,2002,1,te
11,Mikhael Ricks (FA),3,5,68,22.7,49,0,0,0,0,0,0,1,8.3,8.3,0.0%,2002,1,te
12,Jimmy Kleinsasser (FA),5,6,58,11.6,20,0,0,0,0,0,0,1,8.3,8.3,0.0%,2002,1,te
13,Christian Fauria (FA),2,2,11,5.5,7,0,1,0,0,0,0,1,8.1,8.1,0.0%,2002,1,te
14,David Martin (FA),2,2,7,3.5,4,0,1,0,0,0,0,1,7.7,7.7,0.0%,2002,1,te
15,Cameron Cleeland (FA),6,6,40,6.7,10,0,0,0,0,0,0,1,7.0,7.0,0.0%,2002,1,te
16,Josh Norman (FA),1,1,1,1.0,1,0,1,0,0,0,0,1,6.6,6.6,0.0%,2002,1,te
17,Byron Chamberlain (FA),1,1,61,61.0,61,0,0,0,0,0,0,1,6.6,6.6,0.0%,2002,1,te
18,Ernie Conwell (FA),3,3,50,16.7,43,0,0,0,0,0,0,1,6.5,6.5,0.0%,2002,1,te
