rank,player,def_sacks,def_int,fr,def_fum_forced,def td,def_safety,def_special_teams_td,g,fpts,fpts_per_game,rost,year,week,pos
1,New England Patriots (NE),5,3,2,2,0,0,0,1,16.0,16.0,13.3%,2002,1,dst
2,Miami Dolphins (MIA),3,1,1,1,1,0,0,1,13.0,13.0,69.0%,2002,1,dst
3,New Orleans Saints (NO),3,1,0,1,1,0,0,1,13.0,13.0,63.8%,2002,1,dst
4,Houston Texans (HOU),3,1,1,0,0,1,0,1,13.0,13.0,29.9%,2002,1,dst
5,San Francisco 49ers (SF),3,3,0,0,0,0,0,1,13.0,13.0,98.1%,2002,1,dst
6,Los Angeles Chargers (LAC),4,1,0,0,0,0,0,1,13.0,13.0,16.5%,2002,1,dst
7,Tennessee Titans (TEN),6,2,1,1,0,0,0,1,12.0,12.0,3.5%,2002,1,dst
8,Indianapolis Colts (IND),1,1,1,1,1,0,0,1,11.0,11.0,24.5%,2002,1,dst
9,New York Jets (NYJ),4,2,1,1,0,0,2,1,10.0,10.0,82.9%,2002,1,dst
10,Philadelphia Eagles (PHI),1,1,3,2,0,0,0,1,9.0,9.0,50.8%,2002,1,dst
11,Dallas Cowboys (DAL),6,1,0,0,0,0,0,1,9.0,9.0,93.2%,2002,1,dst
12,Los Angeles Rams (LAR),4,2,0,0,0,0,0,1,8.0,8.0,21.1%,2002,1,dst
13,Denver Broncos (DEN),3,1,1,0,0,0,0,1,8.0,8.0,34.5%,2002,1,dst
14,Carolina Panthers (CAR),2,1,0,0,0,0,0,1,8.0,8.0,2.9%,2002,1,dst
15,Chicago Bears (CHI),1,2,1,2,0,0,0,1,7.0,7.0,31.1%,2002,1,dst
16,Jacksonville Jaguars (JAC),1,0,2,2,0,0,0,1,6.0,6.0,47.2%,2002,1,dst
17,Baltimore Ravens (BAL),2,0,0,0,0,0,0,1,6.0,6.0,87.5%,2002,1,dst
18,Green Bay Packers (GB),4,0,1,1,0,0,0,1,5.0,5.0,26.0%,2002,1,dst
19,Minnesota Vikings (MIN),1,1,1,0,0,0,0,1,5.0,5.0,11.6%,2002,1,dst
20,Seattle Seahawks (SEA),2,1,1,1,0,0,0,1,5.0,5.0,26.9%,2002,1,dst
21,Tampa Bay Buccaneers (TB),2,1,0,0,0,0,0,1,5.0,5.0,20.7%,2002,1,dst
22,New York Giants (NYG),0,1,0,0,0,0,0,1,4.0,4.0,3.1%,2002,1,dst
23,Las Vegas Raiders (LV),3,0,0,2,0,0,0,1,4.0,4.0,21.9%,2002,1,dst
24,Washington Commanders (WAS),1,1,0,0,0,0,0,1,3.0,3.0,8.1%,2002,1,dst
25,Pittsburgh Steelers (PIT),2,0,1,1,0,0,0,1,3.0,3.0,76.5%,2002,1,dst
26,Arizona Cardinals (ARI),1,1,0,0,0,0,0,1,2.0,2.0,0.8%,2002,1,dst
27,Buffalo Bills (BUF),3,0,1,1,0,0,0,1,1.0,1.0,62.6%,2002,1,dst
28,Atlanta Falcons (ATL),2,0,1,3,0,0,0,1,0.0,0.0,16.5%,2002,1,dst
29,Cincinnati Bengals (CIN),1,0,0,0,0,0,0,1,0.0,0.0,48.8%,2002,1,dst
30,Kansas City Chiefs (KC),1,0,1,1,0,0,0,1,-1.0,-1.0,77.0%,2002,1,dst
31,Cleveland Browns (CLE),0,1,0,0,0,0,0,1,-2.0,-2.0,94.3%,2002,1,dst
32,Detroit Lions (DET),0,0,0,1,0,0,0,1,-4.0,-4.0,43.8%,2002,1,dst
1,Los Angeles Chargers (LAC),9,2,1,2,1,0,0,1,28.0,28.0,16.5%,2002,2,dst
2,New England Patriots (NE),5,1,1,1,2,0,0,1,25.0,25.0,13.3%,2002,2,dst
3,Tampa Bay Buccaneers (TB),3,1,0,0,1,1,1,1,24.0,24.0,20.7%,2002,2,dst
4,Carolina Panthers (CAR),6,2,1,2,1,0,0,1,22.0,22.0,2.9%,2002,2,dst
5,New Orleans Saints (NO),1,1,3,2,1,0,0,1,16.0,16.0,63.8%,2002,2,dst
6,Cleveland Browns (CLE),5,3,0,2,0,0,0,1,15.0,15.0,94.3%,2002,2,dst
7,Dallas Cowboys (DAL),3,1,0,1,1,0,0,1,15.0,15.0,93.2%,2002,2,dst
8,New York Giants (NYG),1,2,2,1,1,0,0,1,15.0,15.0,3.1%,2002,2,dst
9,Chicago Bears (CHI),4,0,3,2,0,0,0,1,14.0,14.0,31.1%,2002,2,dst
10,Philadelphia Eagles (PHI),4,2,1,1,0,0,0,1,14.0,14.0,50.8%,2002,2,dst
11,Buffalo Bills (BUF),5,0,3,2,1,0,1,1,13.0,13.0,62.6%,2002,2,dst
12,Las Vegas Raiders (LV),0,1,4,2,0,0,1,1,11.0,11.0,21.9%,2002,2,dst
13,Miami Dolphins (MIA),0,3,0,0,0,0,0,1,10.0,10.0,69.0%,2002,2,dst
14,Pittsburgh Steelers (PIT),5,2,0,1,0,0,0,1,9.0,9.0,76.5%,2002,2,dst
15,Arizona Cardinals (ARI),1,0,1,1,0,0,1,1,7.0,7.0,0.8%,2002,2,dst
16,Denver Broncos (DEN),2,1,1,0,0,0,0,1,7.0,7.0,34.5%,2002,2,dst
17,Atlanta Falcons (ATL),1,1,1,2,0,0,0,1,6.0,6.0,16.5%,2002,2,dst
18,Jacksonville Jaguars (JAC),1,2,0,0,0,0,0,1,6.0,6.0,47.2%,2002,2,dst
19,San Francisco 49ers (SF),4,0,1,1,0,0,0,1,6.0,6.0,98.1%,2002,2,dst
20,Houston Texans (HOU),2,1,0,0,0,0,0,1,5.0,5.0,29.9%,2002,2,dst
21,Los Angeles Rams (LAR),2,1,0,0,0,0,0,1,5.0,5.0,21.1%,2002,2,dst
22,Green Bay Packers (GB),1,2,0,0,0,0,0,1,4.0,4.0,26.0%,2002,2,dst
23,Seattle Seahawks (SEA),2,1,0,1,0,0,0,1,4.0,4.0,26.9%,2002,2,dst
24,Indianapolis Colts (IND),1,1,0,1,0,0,0,1,3.0,3.0,24.5%,2002,2,dst
25,New York Jets (NYJ),0,1,1,1,0,0,0,1,3.0,3.0,82.9%,2002,2,dst
26,Kansas City Chiefs (KC),0,0,1,1,0,0,0,1,2.0,2.0,77.0%,2002,2,dst
27,Baltimore Ravens (BAL),1,0,0,1,0,0,0,1,2.0,2.0,87.5%,2002,2,dst
28,Tennessee Titans (TEN),1,0,0,0,0,0,0,1,2.0,2.0,3.5%,2002,2,dst
29,Cincinnati Bengals (CIN),1,0,0,0,0,0,0,1,2.0,2.0,48.8%,2002,2,dst
30,Detroit Lions (DET),0,0,0,0,0,0,0,1,1.0,1.0,43.8%,2002,2,dst
31,Minnesota Vikings (MIN),3,0,0,0,0,0,0,1,-1.0,-1.0,11.6%,2002,2,dst
32,Washington Commanders (WAS),2,0,0,0,0,0,1,1,-2.0,-2.0,8.1%,2002,2,dst
1,Tampa Bay Buccaneers (TB),5,4,0,3,1,0,0,1,20.0,20.0,20.7%,2002,3,dst
2,Los Angeles Chargers (LAC),3,2,1,1,1,1,0,1,19.0,19.0,16.5%,2002,3,dst
3,Miami Dolphins (MIA),3,3,1,1,0,0,0,1,18.0,18.0,69.0%,2002,3,dst
4,Green Bay Packers (GB),1,4,1,0,1,0,0,1,16.0,16.0,26.0%,2002,3,dst
5,Tennessee Titans (TEN),3,1,3,2,1,0,0,1,16.0,16.0,3.5%,2002,3,dst
6,Carolina Panthers (CAR),5,4,1,4,0,0,0,1,16.0,16.0,2.9%,2002,3,dst
7,Philadelphia Eagles (PHI),3,1,3,2,0,0,0,1,15.0,15.0,50.8%,2002,3,dst
8,Indianapolis Colts (IND),4,1,1,1,0,0,0,1,15.0,15.0,24.5%,2002,3,dst
9,Atlanta Falcons (ATL),2,2,0,1,0,0,0,1,13.0,13.0,16.5%,2002,3,dst
10,San Francisco 49ers (SF),3,1,2,2,0,0,0,1,13.0,13.0,98.1%,2002,3,dst
11,Denver Broncos (DEN),4,0,1,1,1,0,0,1,12.0,12.0,34.5%,2002,3,dst
12,New York Giants (NYG),2,1,0,0,0,0,0,1,11.0,11.0,3.1%,2002,3,dst
13,Houston Texans (HOU),3,0,2,2,0,0,0,1,7.0,7.0,29.9%,2002,3,dst
14,Seattle Seahawks (SEA),3,0,0,0,0,0,0,1,7.0,7.0,26.9%,2002,3,dst
15,Minnesota Vikings (MIN),3,2,0,0,0,0,0,1,7.0,7.0,11.6%,2002,3,dst
16,Detroit Lions (DET),1,1,2,2,0,0,1,1,6.0,6.0,43.8%,2002,3,dst
17,Chicago Bears (CHI),1,1,2,1,0,0,0,1,6.0,6.0,31.1%,2002,3,dst
18,New Orleans Saints (NO),1,1,1,0,0,0,0,1,5.0,5.0,63.8%,2002,3,dst
19,Arizona Cardinals (ARI),2,1,0,0,0,0,0,1,5.0,5.0,0.8%,2002,3,dst
20,Washington Commanders (WAS),2,1,0,0,0,0,0,1,5.0,5.0,8.1%,2002,3,dst
21,New England Patriots (NE),3,2,1,1,0,0,0,1,5.0,5.0,13.3%,2002,3,dst
22,Los Angeles Rams (LAR),1,0,1,3,0,0,0,1,4.0,4.0,21.1%,2002,3,dst
23,Buffalo Bills (BUF),4,0,0,0,0,0,0,1,4.0,4.0,62.6%,2002,3,dst
24,Dallas Cowboys (DAL),3,0,2,3,0,0,1,1,3.0,3.0,93.2%,2002,3,dst
25,Kansas City Chiefs (KC),4,1,0,0,0,0,0,1,2.0,2.0,77.0%,2002,3,dst
26,Cleveland Browns (CLE),1,0,0,0,0,0,1,1,1.0,1.0,94.3%,2002,3,dst
27,New York Jets (NYJ),1,0,0,1,0,0,0,1,0.0,0.0,82.9%,2002,3,dst
28,Cincinnati Bengals (CIN),1,0,0,0,0,0,0,1,0.0,0.0,48.8%,2002,3,dst
1,Tampa Bay Buccaneers (TB),3,1,1,1,1,0,0,1,20.0,20.0,20.7%,2002,4,dst
2,Seattle Seahawks (SEA),4,2,2,2,1,0,0,1,18.0,18.0,26.9%,2002,4,dst
3,Jacksonville Jaguars (JAC),2,2,2,3,0,0,0,1,17.0,17.0,47.2%,2002,4,dst
4,Arizona Cardinals (ARI),1,2,1,1,1,0,0,1,17.0,17.0,0.8%,2002,4,dst
5,Baltimore Ravens (BAL),3,3,0,0,0,0,0,1,16.0,16.0,87.5%,2002,4,dst
6,Las Vegas Raiders (LV),2,4,0,0,1,0,2,1,16.0,16.0,21.9%,2002,4,dst
7,Detroit Lions (DET),3,2,1,1,1,0,0,1,15.0,15.0,43.8%,2002,4,dst
8,Philadelphia Eagles (PHI),7,2,1,2,0,0,0,1,14.0,14.0,50.8%,2002,4,dst
9,Cincinnati Bengals (CIN),2,2,1,1,1,0,0,1,13.0,13.0,48.8%,2002,4,dst
10,Kansas City Chiefs (KC),2,4,1,1,0,0,0,1,11.0,11.0,77.0%,2002,4,dst
11,Pittsburgh Steelers (PIT),3,2,0,0,0,0,0,1,11.0,11.0,76.5%,2002,4,dst
12,Dallas Cowboys (DAL),1,2,1,1,0,0,0,1,11.0,11.0,93.2%,2002,4,dst
13,Green Bay Packers (GB),4,0,3,3,0,0,0,1,11.0,11.0,26.0%,2002,4,dst
14,Chicago Bears (CHI),2,0,1,2,1,0,0,1,10.0,10.0,31.1%,2002,4,dst
15,Los Angeles Rams (LAR),2,1,1,2,0,0,0,1,10.0,10.0,21.1%,2002,4,dst
16,Carolina Panthers (CAR),4,1,0,0,0,0,0,1,7.0,7.0,2.9%,2002,4,dst
17,Cleveland Browns (CLE),0,2,0,1,0,0,0,1,7.0,7.0,94.3%,2002,4,dst
18,Los Angeles Chargers (LAC),0,2,1,1,0,0,0,1,7.0,7.0,16.5%,2002,4,dst
19,Houston Texans (HOU),3,1,2,3,0,0,0,1,5.0,5.0,29.9%,2002,4,dst
20,New York Giants (NYG),1,0,1,0,0,0,0,1,4.0,4.0,3.1%,2002,4,dst
21,Denver Broncos (DEN),1,0,2,2,0,0,0,1,4.0,4.0,34.5%,2002,4,dst
22,New England Patriots (NE),0,0,1,1,0,0,0,1,3.0,3.0,13.3%,2002,4,dst
23,New Orleans Saints (NO),0,0,0,0,0,0,0,1,1.0,1.0,63.8%,2002,4,dst
24,New York Jets (NYJ),2,0,0,0,0,0,0,1,1.0,1.0,82.9%,2002,4,dst
25,Tennessee Titans (TEN),2,0,1,2,0,0,0,1,0.0,0.0,3.5%,2002,4,dst
26,Buffalo Bills (BUF),0,0,0,0,0,0,0,1,0.0,0.0,62.6%,2002,4,dst
27,Minnesota Vikings (MIN),0,0,1,1,0,0,0,1,-2.0,-2.0,11.6%,2002,4,dst
28,Miami Dolphins (MIA),0,0,0,0,0,0,0,1,-4.0,-4.0,69.0%,2002,4,dst
1,Tampa Bay Buccaneers (TB),4,4,0,0,1,0,0,1,25.0,25.0,20.7%,2002,5,dst
2,Denver Broncos (DEN),0,2,1,1,1,1,0,1,19.0,19.0,34.5%,2002,5,dst
3,Green Bay Packers (GB),3,3,1,1,1,0,0,1,17.0,17.0,26.0%,2002,5,dst
4,Las Vegas Raiders (LV),5,3,0,1,1,0,0,1,16.0,16.0,21.9%,2002,5,dst
5,San Francisco 49ers (SF),1,2,0,0,1,0,0,1,15.0,15.0,98.1%,2002,5,dst
6,Arizona Cardinals (ARI),2,2,2,2,0,0,0,1,14.0,14.0,0.8%,2002,5,dst
7,Miami Dolphins (MIA),3,2,1,1,0,0,0,1,13.0,13.0,69.0%,2002,5,dst
8,Washington Commanders (WAS),4,3,1,1,0,0,0,1,13.0,13.0,8.1%,2002,5,dst
9,Baltimore Ravens (BAL),2,4,1,2,0,0,0,1,12.0,12.0,87.5%,2002,5,dst
10,Indianapolis Colts (IND),1,3,1,1,0,0,0,1,9.0,9.0,24.5%,2002,5,dst
11,Atlanta Falcons (ATL),2,1,1,1,0,0,0,1,7.0,7.0,16.5%,2002,5,dst
12,New Orleans Saints (NO),4,1,1,1,0,0,0,1,7.0,7.0,63.8%,2002,5,dst
13,Los Angeles Chargers (LAC),2,1,0,0,0,0,0,1,6.0,6.0,16.5%,2002,5,dst
14,Dallas Cowboys (DAL),2,1,1,2,0,0,0,1,6.0,6.0,93.2%,2002,5,dst
15,Jacksonville Jaguars (JAC),5,0,0,0,0,0,1,1,5.0,5.0,47.2%,2002,5,dst
16,Kansas City Chiefs (KC),3,1,0,0,0,0,0,1,5.0,5.0,77.0%,2002,5,dst
17,Chicago Bears (CHI),3,0,1,0,0,0,0,1,5.0,5.0,31.1%,2002,5,dst
18,Carolina Panthers (CAR),1,1,0,1,0,0,0,1,4.0,4.0,2.9%,2002,5,dst
19,New York Giants (NYG),3,0,0,0,0,0,0,1,4.0,4.0,3.1%,2002,5,dst
20,New England Patriots (NE),1,0,1,1,0,0,0,1,4.0,4.0,13.3%,2002,5,dst
21,Cleveland Browns (CLE),0,0,1,1,0,0,0,1,2.0,2.0,94.3%,2002,5,dst
22,New York Jets (NYJ),1,1,0,0,0,0,0,1,2.0,2.0,82.9%,2002,5,dst
23,Pittsburgh Steelers (PIT),2,0,0,0,0,0,0,1,1.0,1.0,76.5%,2002,5,dst
24,Cincinnati Bengals (CIN),0,1,0,0,0,0,0,1,1.0,1.0,48.8%,2002,5,dst
25,Philadelphia Eagles (PHI),1,0,0,0,0,0,0,1,0.0,0.0,50.8%,2002,5,dst
26,Los Angeles Rams (LAR),1,0,0,0,0,0,0,1,0.0,0.0,21.1%,2002,5,dst
27,Tennessee Titans (TEN),1,0,0,1,0,0,0,1,0.0,0.0,3.5%,2002,5,dst
28,Buffalo Bills (BUF),1,0,0,0,0,0,0,1,-3.0,-3.0,62.6%,2002,5,dst
1,New Orleans Saints (NO),7,4,1,1,0,0,2,1,17.0,17.0,63.8%,2002,6,dst
2,Pittsburgh Steelers (PIT),5,3,1,1,0,0,1,1,17.0,17.0,76.5%,2002,6,dst
3,Miami Dolphins (MIA),3,2,1,1,1,0,0,1,15.0,15.0,69.0%,2002,6,dst
4,Los Angeles Rams (LAR),4,2,1,2,0,0,0,1,14.0,14.0,21.1%,2002,6,dst
5,Green Bay Packers (GB),2,3,1,0,0,0,0,1,14.0,14.0,26.0%,2002,6,dst
6,Carolina Panthers (CAR),6,1,1,1,0,0,0,1,11.0,11.0,2.9%,2002,6,dst
7,Tampa Bay Buccaneers (TB),2,1,0,0,0,0,0,1,11.0,11.0,20.7%,2002,6,dst
8,Atlanta Falcons (ATL),3,1,1,2,0,0,0,1,11.0,11.0,16.5%,2002,6,dst
9,Indianapolis Colts (IND),3,1,2,5,0,0,0,1,10.0,10.0,24.5%,2002,6,dst
10,Tennessee Titans (TEN),3,2,0,0,0,0,0,1,8.0,8.0,3.5%,2002,6,dst
11,Detroit Lions (DET),1,1,0,0,1,0,0,1,8.0,8.0,43.8%,2002,6,dst
12,Kansas City Chiefs (KC),1,2,3,2,0,0,0,1,8.0,8.0,77.0%,2002,6,dst
13,Baltimore Ravens (BAL),5,1,0,1,0,0,0,1,7.0,7.0,87.5%,2002,6,dst
14,Washington Commanders (WAS),2,1,0,1,1,0,0,1,6.0,6.0,8.1%,2002,6,dst
15,Denver Broncos (DEN),1,1,1,1,0,0,0,1,6.0,6.0,34.5%,2002,6,dst
16,Cincinnati Bengals (CIN),2,2,0,0,0,0,0,1,5.0,5.0,48.8%,2002,6,dst
17,Buffalo Bills (BUF),5,0,0,0,0,0,0,1,5.0,5.0,62.6%,2002,6,dst
18,San Francisco 49ers (SF),1,2,0,1,0,0,0,1,5.0,5.0,98.1%,2002,6,dst
19,Minnesota Vikings (MIN),1,1,0,0,0,0,0,1,4.0,4.0,11.6%,2002,6,dst
20,Dallas Cowboys (DAL),0,0,0,0,0,0,0,1,4.0,4.0,93.2%,2002,6,dst
21,Las Vegas Raiders (LV),3,0,1,0,0,0,0,1,4.0,4.0,21.9%,2002,6,dst
22,Houston Texans (HOU),3,0,1,3,0,0,0,1,4.0,4.0,29.9%,2002,6,dst
23,Cleveland Browns (CLE),0,1,0,0,0,0,0,1,4.0,4.0,94.3%,2002,6,dst
24,Los Angeles Chargers (LAC),1,2,0,0,0,0,0,1,4.0,4.0,16.5%,2002,6,dst
25,Jacksonville Jaguars (JAC),1,0,1,2,0,0,0,1,3.0,3.0,47.2%,2002,6,dst
26,New York Giants (NYG),2,0,0,2,0,0,0,1,3.0,3.0,3.1%,2002,6,dst
27,Seattle Seahawks (SEA),2,0,0,0,0,0,1,1,1.0,1.0,26.9%,2002,6,dst
28,New England Patriots (NE),1,0,0,0,0,0,0,1,0.0,0.0,13.3%,2002,6,dst
1,Buffalo Bills (BUF),1,4,2,1,1,0,0,1,23.0,23.0,62.6%,2002,7,dst
2,Green Bay Packers (GB),6,0,4,5,0,0,0,1,18.0,18.0,26.0%,2002,7,dst
3,Arizona Cardinals (ARI),2,4,0,0,0,0,0,1,17.0,17.0,0.8%,2002,7,dst
4,Philadelphia Eagles (PHI),6,1,1,3,0,0,0,1,17.0,17.0,50.8%,2002,7,dst
5,Atlanta Falcons (ATL),4,1,0,0,0,0,0,1,16.0,16.0,16.5%,2002,7,dst
6,Tampa Bay Buccaneers (TB),2,1,1,1,1,0,0,1,13.0,13.0,20.7%,2002,7,dst
7,Cleveland Browns (CLE),8,0,2,1,0,0,1,1,13.0,13.0,94.3%,2002,7,dst
8,Baltimore Ravens (BAL),2,3,0,1,0,0,0,1,12.0,12.0,87.5%,2002,7,dst
9,Pittsburgh Steelers (PIT),2,3,0,0,0,0,0,1,12.0,12.0,76.5%,2002,7,dst
10,New York Jets (NYJ),0,3,1,1,0,0,0,1,12.0,12.0,82.9%,2002,7,dst
11,Los Angeles Rams (LAR),3,2,1,2,0,0,0,1,10.0,10.0,21.1%,2002,7,dst
12,Detroit Lions (DET),3,1,2,3,0,0,0,1,10.0,10.0,43.8%,2002,7,dst
13,Jacksonville Jaguars (JAC),2,0,2,2,0,0,0,1,7.0,7.0,47.2%,2002,7,dst
14,Dallas Cowboys (DAL),1,0,1,1,0,0,0,1,7.0,7.0,93.2%,2002,7,dst
15,Miami Dolphins (MIA),5,0,0,0,0,0,0,1,6.0,6.0,69.0%,2002,7,dst
16,Los Angeles Chargers (LAC),3,1,0,0,0,0,0,1,5.0,5.0,16.5%,2002,7,dst
17,Denver Broncos (DEN),4,0,0,0,0,0,0,1,4.0,4.0,34.5%,2002,7,dst
18,Minnesota Vikings (MIN),2,0,0,0,0,0,0,1,4.0,4.0,11.6%,2002,7,dst
19,Chicago Bears (CHI),2,0,1,2,0,0,0,1,4.0,4.0,31.1%,2002,7,dst
20,New Orleans Saints (NO),0,1,1,1,0,0,0,1,4.0,4.0,63.8%,2002,7,dst
21,Indianapolis Colts (IND),1,1,0,0,0,0,0,1,2.0,2.0,24.5%,2002,7,dst
22,Washington Commanders (WAS),1,0,1,1,0,0,0,1,2.0,2.0,8.1%,2002,7,dst
23,Las Vegas Raiders (LV),2,0,0,1,0,0,0,1,2.0,2.0,21.9%,2002,7,dst
24,Seattle Seahawks (SEA),1,1,1,1,1,0,1,1,1.0,1.0,26.9%,2002,7,dst
25,San Francisco 49ers (SF),3,0,1,1,0,0,0,1,1.0,1.0,98.1%,2002,7,dst
26,Houston Texans (HOU),1,0,0,0,0,0,0,1,0.0,0.0,29.9%,2002,7,dst
27,Carolina Panthers (CAR),1,0,0,1,0,0,0,1,0.0,0.0,2.9%,2002,7,dst
28,Kansas City Chiefs (KC),1,0,1,1,0,0,0,1,0.0,0.0,77.0%,2002,7,dst
1,Minnesota Vikings (MIN),6,2,1,1,0,1,0,1,18.0,18.0,11.6%,2002,8,dst
2,Tampa Bay Buccaneers (TB),3,3,1,1,0,0,0,1,15.0,15.0,20.7%,2002,8,dst
3,Carolina Panthers (CAR),6,1,1,1,0,0,0,1,14.0,14.0,2.9%,2002,8,dst
4,Pittsburgh Steelers (PIT),1,3,2,1,0,0,0,1,12.0,12.0,76.5%,2002,8,dst
5,San Francisco 49ers (SF),3,3,1,3,0,0,0,1,10.0,10.0,98.1%,2002,8,dst
6,Washington Commanders (WAS),3,2,1,1,0,0,0,1,9.0,9.0,8.1%,2002,8,dst
7,Jacksonville Jaguars (JAC),4,0,1,0,0,1,0,1,9.0,9.0,47.2%,2002,8,dst
8,Kansas City Chiefs (KC),0,1,1,1,0,0,0,1,9.0,9.0,77.0%,2002,8,dst
9,Philadelphia Eagles (PHI),1,0,0,2,0,0,0,1,8.0,8.0,50.8%,2002,8,dst
10,Las Vegas Raiders (LV),3,2,0,0,0,0,0,1,8.0,8.0,21.9%,2002,8,dst
11,Cleveland Browns (CLE),1,1,2,3,0,0,0,1,8.0,8.0,94.3%,2002,8,dst
12,Detroit Lions (DET),4,0,2,1,0,0,0,1,8.0,8.0,43.8%,2002,8,dst
13,Dallas Cowboys (DAL),1,2,0,0,0,0,0,1,6.0,6.0,93.2%,2002,8,dst
14,Denver Broncos (DEN),5,0,0,0,0,0,0,1,6.0,6.0,34.5%,2002,8,dst
15,New England Patriots (NE),2,1,1,1,0,0,0,1,6.0,6.0,13.3%,2002,8,dst
16,Houston Texans (HOU),5,0,0,0,0,0,0,1,6.0,6.0,29.9%,2002,8,dst
17,Seattle Seahawks (SEA),2,0,1,1,0,0,0,1,5.0,5.0,26.9%,2002,8,dst
18,Chicago Bears (CHI),0,0,1,1,0,0,0,1,3.0,3.0,31.1%,2002,8,dst
19,New Orleans Saints (NO),3,0,2,2,0,0,0,1,3.0,3.0,63.8%,2002,8,dst
20,Buffalo Bills (BUF),0,1,0,0,0,0,0,1,3.0,3.0,62.6%,2002,8,dst
21,Indianapolis Colts (IND),1,0,1,0,0,0,0,1,3.0,3.0,24.5%,2002,8,dst
22,Atlanta Falcons (ATL),0,2,1,1,0,0,0,1,2.0,2.0,16.5%,2002,8,dst
23,Tennessee Titans (TEN),0,0,1,0,0,0,0,1,2.0,2.0,3.5%,2002,8,dst
24,New York Giants (NYG),1,0,0,1,0,0,0,1,2.0,2.0,3.1%,2002,8,dst
25,New York Jets (NYJ),2,0,0,0,0,0,1,1,2.0,2.0,82.9%,2002,8,dst
26,Cincinnati Bengals (CIN),1,0,1,1,0,0,0,1,2.0,2.0,48.8%,2002,8,dst
27,Baltimore Ravens (BAL),0,1,0,0,0,0,0,1,1.0,1.0,87.5%,2002,8,dst
28,Arizona Cardinals (ARI),1,0,0,1,0,0,0,1,-3.0,-3.0,0.8%,2002,8,dst
1,Green Bay Packers (GB),5,2,2,3,1,0,0,1,23.0,23.0,26.0%,2002,9,dst
2,Cincinnati Bengals (CIN),2,2,0,0,1,0,0,1,20.0,20.0,48.8%,2002,9,dst
3,Atlanta Falcons (ATL),6,1,1,1,1,0,0,1,17.0,17.0,16.5%,2002,9,dst
4,Tennessee Titans (TEN),3,1,2,3,1,0,0,1,16.0,16.0,3.5%,2002,9,dst
5,Washington Commanders (WAS),4,0,2,2,0,0,0,1,15.0,15.0,8.1%,2002,9,dst
6,Detroit Lions (DET),5,0,2,3,0,0,0,1,13.0,13.0,43.8%,2002,9,dst
7,Los Angeles Rams (LAR),3,1,2,1,0,0,0,1,13.0,13.0,21.1%,2002,9,dst
8,New York Jets (NYJ),2,2,1,1,0,0,1,1,13.0,13.0,82.9%,2002,9,dst
9,Arizona Cardinals (ARI),2,2,0,0,1,0,0,1,12.0,12.0,0.8%,2002,9,dst
10,Pittsburgh Steelers (PIT),4,2,1,0,0,0,0,1,11.0,11.0,76.5%,2002,9,dst
11,New England Patriots (NE),4,1,0,1,0,0,0,1,10.0,10.0,13.3%,2002,9,dst
12,Tampa Bay Buccaneers (TB),3,2,1,1,0,0,0,1,9.0,9.0,20.7%,2002,9,dst
13,Philadelphia Eagles (PHI),3,0,1,0,0,0,0,1,9.0,9.0,50.8%,2002,9,dst
14,Dallas Cowboys (DAL),1,2,0,0,0,0,0,1,9.0,9.0,93.2%,2002,9,dst
15,Miami Dolphins (MIA),3,1,0,0,0,0,0,1,6.0,6.0,69.0%,2002,9,dst
16,Baltimore Ravens (BAL),3,1,0,2,0,0,0,1,6.0,6.0,87.5%,2002,9,dst
17,Chicago Bears (CHI),3,1,0,0,0,0,0,1,6.0,6.0,31.1%,2002,9,dst
18,New York Giants (NYG),2,0,1,0,0,0,0,1,5.0,5.0,3.1%,2002,9,dst
19,Jacksonville Jaguars (JAC),3,0,1,1,0,0,0,1,5.0,5.0,47.2%,2002,9,dst
20,Seattle Seahawks (SEA),1,1,0,0,0,0,0,1,4.0,4.0,26.9%,2002,9,dst
21,San Francisco 49ers (SF),1,0,1,1,0,0,0,1,4.0,4.0,98.1%,2002,9,dst
22,Cleveland Browns (CLE),2,1,0,1,0,0,1,1,4.0,4.0,94.3%,2002,9,dst
23,Las Vegas Raiders (LV),0,0,1,1,0,0,0,1,2.0,2.0,21.9%,2002,9,dst
24,Indianapolis Colts (IND),1,0,0,0,0,0,0,1,2.0,2.0,24.5%,2002,9,dst
25,Los Angeles Chargers (LAC),2,0,0,0,0,0,0,1,-1.0,-1.0,16.5%,2002,9,dst
26,Houston Texans (HOU),0,0,0,0,0,0,0,1,-1.0,-1.0,29.9%,2002,9,dst
27,Buffalo Bills (BUF),1,0,0,0,0,0,0,1,-3.0,-3.0,62.6%,2002,9,dst
28,Minnesota Vikings (MIN),0,0,0,0,0,0,0,1,-4.0,-4.0,11.6%,2002,9,dst
1,Los Angeles Chargers (LAC),0,0,4,4,2,0,0,1,19.0,19.0,16.5%,2002,10,dst
2,Seattle Seahawks (SEA),0,2,3,2,0,0,0,1,17.0,17.0,26.9%,2002,10,dst
3,Baltimore Ravens (BAL),3,3,1,1,1,0,1,1,17.0,17.0,87.5%,2002,10,dst
4,Las Vegas Raiders (LV),4,1,0,0,1,0,0,1,16.0,16.0,21.9%,2002,10,dst
5,Tennessee Titans (TEN),4,2,1,1,0,0,0,1,14.0,14.0,3.5%,2002,10,dst
6,New Orleans Saints (NO),2,1,1,1,1,0,0,1,13.0,13.0,63.8%,2002,10,dst
