rank,player,fg,fg_att,fg_perc,fg_longest,fg_1_19,fg_20_29,fg_30_39,fg_40_49,fg_50_plus,xp,xp_att,g,fpts,fpts_per_game,rost,year,week,pos
1,Olindo Mare (FA),0,0,0.0,0,0,0,0,0,0,7,7,1,7.0,7.0,0.0%,2002,1,k
2,Ryan Longwell (FA),3,4,75.0,42,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,1,k
3,Brett Conway (FA),1,1,100.0,35,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,1,k
4,Jay Feely (FA),2,2,100.0,52,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,1,k
5,Mike Vanderjagt (FA),0,1,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,1,k
6,Mike Hollis (FA),1,2,50.0,52,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,1,k
7,Sebastian Janikowski (FA),1,1,100.0,27,0,0,0,0,0,4,4,1,4.0,4.0,20.0%,2002,1,k
8,Morten Andersen (FA),2,2,100.0,33,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,1,k
9,Steve Christie (FA),2,2,100.0,28,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,1,k
10,Jason Hanson (FA),0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,1,k
11,Adam Vinatieri (FA),3,3,100.0,45,0,0,0,0,0,3,3,1,3.0,3.0,0.2%,2002,1,k
12,David Akers (FA),1,1,100.0,30,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,1,k
13,Phil Dawson (FA),4,4,100.0,41,0,0,0,0,0,3,3,1,3.0,3.0,0.1%,2002,1,k
14,Paul Edinger (FA),2,3,66.7,49,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,1,k
15,Bill Gramatica (FA),3,4,75.0,39,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,1,k
16,Hayden Epstein (FA),1,2,50.0,27,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,1,k
17,Doug Brien (FA),3,3,100.0,42,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,1,k
18,Kris Brown (FA),1,1,100.0,42,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,1,k
19,John Hall (FA),3,4,75.0,45,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,1,k
20,Rian Lindell (FA),1,2,50.0,32,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,1,k
21,Martin Gramatica (FA),2,4,50.0,52,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,1,k
22,John Carney (FA),2,2,100.0,41,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,1,k
23,Todd Peterson (FA),0,1,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,1,k
24,Jason Elam (FA),3,3,100.0,41,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,1,k
25,Jose Cortez (FA),3,5,60.0,36,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,1,k
26,Matt Stover (FA),0,1,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,1,k
27,Joe Nedney (FA),2,2,100.0,47,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,1,k
28,Jeff Wilkins (FA),3,4,75.0,43,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,1,k
29,Billy Cundiff (FA),1,2,50.0,33,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,1,k
30,John Kasay (FA),1,2,50.0,27,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,1,k
31,Matt Bryant (FA),2,2,100.0,33,0,0,0,0,0,1,1,1,1.0,1.0,1.1%,2002,1,k
32,Wade Richey (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,1,k
33,J.R. Jenkins (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,1,k
34,Charlie Rogers (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,1,k
35,Allen Rossum (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,1,k
36,Neil Rackers (FA),2,2,100.0,54,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,1,k
37,Jason Baker (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,1,k
1,Adam Vinatieri (FA),3,3,100.0,40,0,0,0,0,0,5,5,1,5.0,5.0,0.2%,2002,2,k
2,John Carney (FA),0,1,0.0,0,0,0,0,0,0,5,5,1,5.0,5.0,0.0%,2002,2,k
3,John Kasay (FA),1,3,33.3,23,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,2,k
4,David Akers (FA),3,3,100.0,47,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,2,k
5,Olindo Mare (FA),0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,2,k
6,Mike Hollis (FA),4,5,80.0,54,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,2,k
7,Jeff Wilkins (FA),0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,2,k
8,Doug Brien (FA),2,3,66.7,29,0,0,0,0,0,3,5,1,3.0,3.0,0.0%,2002,2,k
9,Jason Elam (FA),1,1,100.0,28,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,2,k
10,Bill Gramatica (FA),1,1,100.0,23,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,2,k
11,Steve Christie (FA),1,1,100.0,36,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,2,k
12,Sebastian Janikowski (FA),3,4,75.0,45,0,0,0,0,0,3,3,1,3.0,3.0,20.0%,2002,2,k
13,Billy Cundiff (FA),0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,2,k
14,Paul Edinger (FA),0,1,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,2,k
15,Hayden Epstein (FA),1,2,50.0,26,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,2,k
16,Phil Dawson (FA),2,2,100.0,52,0,0,0,0,0,2,2,1,2.0,2.0,0.1%,2002,2,k
17,Matt Bryant (FA),4,4,100.0,34,0,0,0,0,0,2,2,1,2.0,2.0,1.1%,2002,2,k
18,Ryan Longwell (FA),2,2,100.0,36,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,2,k
19,Martin Gramatica (FA),3,3,100.0,36,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,2,k
20,Todd Peterson (FA),1,1,100.0,46,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,2,k
21,Jose Cortez (FA),0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,2,k
22,John Hall (FA),0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,2,k
23,Rian Lindell (FA),2,2,100.0,46,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,2,k
24,Neil Rackers (FA),0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,2,k
25,Morten Andersen (FA),3,3,100.0,39,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,2,k
26,Mike Vanderjagt (FA),2,2,100.0,25,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,2,k
27,James Tuthill (FA),0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,2,k
28,Joe Nedney (FA),2,2,100.0,53,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,2,k
29,Jay Feely (FA),2,4,50.0,37,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,2,k
30,Jason Hanson (FA),0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,2,k
31,J.R. Jenkins (FA),0,1,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,2,k
32,Charlie Rogers (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,2,k
33,Wade Richey (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,2,k
34,Kris Brown (FA),1,1,100.0,45,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,2,k
35,Jason Baker (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,2,k
1,David Akers (FA),3,3,100.0,51,0,0,0,0,0,5,5,1,6.0,6.0,0.0%,2002,3,k
2,Morten Andersen (FA),1,1,100.0,39,0,0,0,0,0,5,5,1,5.0,5.0,0.0%,2002,3,k
3,Jason Elam (FA),0,1,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,3,k
4,Ryan Longwell (FA),3,3,100.0,47,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,3,k
5,Phil Dawson (FA),1,2,50.0,33,0,0,0,0,0,4,4,1,4.0,4.0,0.1%,2002,3,k
6,Joe Nedney (FA),0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,3,k
7,Jason Hanson (FA),1,1,100.0,33,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,3,k
8,Adam Vinatieri (FA),2,2,100.0,37,0,0,0,0,0,3,3,1,3.0,3.0,0.2%,2002,3,k
9,Jon Hilbert (FA),0,2,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,3,k
10,Olindo Mare (FA),3,4,75.0,53,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,3,k
11,John Carney (FA),0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,3,k
12,Jay Feely (FA),3,3,100.0,44,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,3,k
13,Steve Christie (FA),0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,3,k
14,Mike Vanderjagt (FA),3,4,75.0,39,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,3,k
15,Jose Cortez (FA),2,2,100.0,35,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,3,k
16,Mike Hollis (FA),1,1,100.0,38,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,3,k
17,Martin Gramatica (FA),2,2,100.0,47,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,3,k
18,Paul Edinger (FA),3,4,75.0,31,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,3,k
19,Jeff Wilkins (FA),0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,3,k
20,Gary Anderson (FA),0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,3,k
21,Bill Gramatica (FA),0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,3,k
22,James Tuthill (FA),1,1,100.0,33,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,3,k
23,Billy Cundiff (FA),2,2,100.0,47,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,3,k
24,Doug Brien (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,3,k
25,Charlie Rogers (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,3,k
26,Wade Richey (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,3,k
27,Reginald Swinton (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,3,k
28,John Hall (FA),1,1,100.0,20,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,3,k
29,Kris Brown (FA),1,2,50.0,24,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,3,k
30,Rian Lindell (FA),2,2,100.0,42,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,3,k
31,Neil Rackers (FA),1,1,100.0,24,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,3,k
32,Matt Bryant (FA),3,3,100.0,47,0,0,0,0,0,0,0,1,0.0,0.0,1.1%,2002,3,k
33,Jason Baker (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,3,k
1,Sebastian Janikowski (FA),1,1,100.0,28,0,0,0,0,0,7,7,1,7.0,7.0,20.0%,2002,4,k
2,Rian Lindell (FA),2,2,100.0,35,0,0,0,0,0,6,6,1,6.0,6.0,0.0%,2002,4,k
3,Morten Andersen (FA),2,2,100.0,50,0,0,0,0,0,6,6,1,6.0,6.0,0.0%,2002,4,k
4,Martin Gramatica (FA),0,0,0.0,0,0,0,0,0,0,5,5,1,5.0,5.0,0.0%,2002,4,k
5,Matt Stover (FA),2,2,100.0,41,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,4,k
6,Hayden Epstein (FA),0,1,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,4,k
7,Bill Gramatica (FA),0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,4,k
8,Paul Edinger (FA),2,2,100.0,46,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,4,k
9,Steve Christie (FA),0,1,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,4,k
10,Olindo Mare (FA),3,3,100.0,42,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,4,k
11,David Akers (FA),2,2,100.0,41,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,4,k
12,Mike Hollis (FA),2,3,66.7,49,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,4,k
13,Adam Vinatieri (FA),0,1,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.2%,2002,4,k
14,Ryan Longwell (FA),1,1,100.0,30,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,4,k
15,Kris Brown (FA),1,1,100.0,48,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,4,k
16,Shayne Graham (FA),0,1,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,4,k
17,Gary Anderson (FA),1,2,50.0,35,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,4,k
18,Jason Hanson (FA),4,4,100.0,38,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,4,k
19,Jason Elam (FA),1,3,33.3,40,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,4,k
20,Neil Rackers (FA),0,1,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,4,k
21,Joe Nedney (FA),0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,4,k
22,John Carney (FA),0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,4,k
23,Jeff Wilkins (FA),1,2,50.0,27,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,4,k
24,Todd Peterson (FA),3,4,75.0,31,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,4,k
25,Billy Cundiff (FA),2,2,100.0,48,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,4,k
26,Phil Dawson (FA),2,3,66.7,28,0,0,0,0,0,1,1,1,1.0,1.0,0.1%,2002,4,k
27,Matt Bryant (FA),0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,1.1%,2002,4,k
28,Reginald Swinton (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,4,k
29,Doug Brien (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,4,k
30,Charlie Rogers (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,4,k
31,Wade Richey (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,4,k
32,J.R. Jenkins (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,4,k
33,John Hall (FA),1,1,100.0,46,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,4,k
1,Sebastian Janikowski (FA),0,0,0.0,0,0,0,0,0,0,7,7,1,7.0,7.0,20.0%,2002,5,k
2,James Tuthill (FA),1,1,100.0,31,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,5,k
3,Ryan Longwell (FA),2,5,40.0,49,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,5,k
4,Mike Vanderjagt (FA),0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,5,k
5,Jose Cortez (FA),3,3,100.0,33,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,5,k
6,Mike Hollis (FA),1,1,100.0,30,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,5,k
7,Paul Edinger (FA),0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,5,k
8,Matt Bryant (FA),0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,1.1%,2002,5,k
9,Neil Rackers (FA),0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,5,k
10,Todd Peterson (FA),0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,5,k
11,Jason Elam (FA),1,2,50.0,36,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,5,k
12,John Carney (FA),4,4,100.0,48,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,5,k
13,Joe Nedney (FA),0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,5,k
14,Hayden Epstein (FA),2,2,100.0,34,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,5,k
15,Matt Stover (FA),4,4,100.0,43,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,5,k
16,John Hall (FA),1,2,50.0,25,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,5,k
17,David Akers (FA),1,1,100.0,31,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,5,k
18,Olindo Mare (FA),2,3,66.7,40,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,5,k
19,Martin Gramatica (FA),2,2,100.0,23,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,5,k
20,Billy Cundiff (FA),1,2,50.0,32,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,5,k
21,Morten Andersen (FA),3,3,100.0,40,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,5,k
22,Shayne Graham (FA),2,2,100.0,48,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,5,k
23,Adam Vinatieri (FA),0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.2%,2002,5,k
24,Phil Dawson (FA),0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.1%,2002,5,k
25,Bill Gramatica (FA),3,3,100.0,50,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,5,k
26,Jeff Wilkins (FA),2,2,100.0,38,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,5,k
27,Reginald Swinton (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,5,k
28,Allen Rossum (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,5,k
29,Wade Richey (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,5,k
30,Charlie Rogers (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,5,k
31,J.R. Jenkins (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,5,k
32,Steve Christie (FA),1,1,100.0,24,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,5,k
33,Jay Feely (FA),2,3,66.7,34,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,5,k
34,Jason Baker (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,5,k
1,Steve Christie (FA),0,0,0.0,0,0,0,0,0,0,5,5,1,5.0,5.0,0.0%,2002,6,k
2,Mike Hollis (FA),1,1,100.0,33,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,6,k
3,Jeff Wilkins (FA),0,0,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,6,k
4,John Carney (FA),3,3,100.0,36,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,6,k
5,Ryan Longwell (FA),0,1,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,6,k
6,Todd Peterson (FA),2,3,66.7,34,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,6,k
7,Morten Andersen (FA),2,2,100.0,43,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,6,k
8,Gary Anderson (FA),1,1,100.0,42,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,6,k
9,Kris Brown (FA),1,1,100.0,26,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,6,k
10,Jason Hanson (FA),1,1,100.0,49,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,6,k
11,James Tuthill (FA),0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,6,k
12,Olindo Mare (FA),1,2,50.0,53,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,6,k
13,Rian Lindell (FA),0,2,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,6,k
14,Hayden Epstein (FA),0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,6,k
15,Matt Stover (FA),2,2,100.0,51,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,6,k
16,Jay Feely (FA),1,1,100.0,31,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,6,k
17,Martin Gramatica (FA),1,3,33.3,33,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,6,k
18,Joe Nedney (FA),3,4,75.0,40,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,6,k
19,Billy Cundiff (FA),0,0,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,6,k
20,Jose Cortez (FA),2,2,100.0,37,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,6,k
21,Neil Rackers (FA),0,1,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,6,k
22,Matt Bryant (FA),1,1,100.0,38,0,0,0,0,0,1,1,1,1.0,1.0,1.1%,2002,6,k
23,Sebastian Janikowski (FA),2,3,66.7,43,0,0,0,0,0,1,1,1,1.0,1.0,20.0%,2002,6,k
24,Adam Vinatieri (FA),1,1,100.0,32,0,0,0,0,0,1,1,1,1.0,1.0,0.2%,2002,6,k
25,Shayne Graham (FA),2,3,66.7,50,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,6,k
26,Mike Vanderjagt (FA),5,5,100.0,50,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,6,k
27,Jason Elam (FA),5,5,100.0,55,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,6,k
28,Michael Husted (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,6,k
29,Wade Richey (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,6,k
30,Reginald Swinton (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,6,k
31,Allen Rossum (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,6,k
32,Doug Brien (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,6,k
33,J.R. Jenkins (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,6,k
34,Charlie Rogers (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,6,k
35,Phil Dawson (FA),1,1,100.0,50,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,2002,6,k
36,Jason Baker (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,6,k
1,Phil Dawson (FA),2,2,100.0,43,0,0,0,0,0,4,4,1,4.0,4.0,0.1%,2002,7,k
2,Todd Peterson (FA),0,1,0.0,0,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,7,k
3,Morten Andersen (FA),2,3,66.7,41,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,7,k
4,Jeff Wilkins (FA),3,3,100.0,47,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,7,k
5,Jason Elam (FA),3,3,100.0,33,0,0,0,0,0,4,4,1,4.0,4.0,0.0%,2002,7,k
6,Jay Feely (FA),3,3,100.0,49,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,7,k
7,Sebastian Janikowski (FA),0,2,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,20.0%,2002,7,k
8,Ryan Longwell (FA),3,3,100.0,41,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,7,k
9,Steve Christie (FA),0,0,0.0,0,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,7,k
10,Jose Cortez (FA),2,2,100.0,41,0,0,0,0,0,3,3,1,3.0,3.0,0.0%,2002,7,k
11,Rian Lindell (FA),0,1,0.0,0,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,7,k
12,Paul Edinger (FA),2,2,100.0,53,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,7,k
13,Matt Stover (FA),1,2,50.0,30,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,7,k
14,John Hall (FA),2,3,66.7,38,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,7,k
15,Kris Brown (FA),1,2,50.0,47,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,7,k
16,John Carney (FA),3,4,75.0,46,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,7,k
17,Mike Hollis (FA),3,3,100.0,46,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,7,k
18,David Akers (FA),2,2,100.0,36,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,7,k
19,Jason Hanson (FA),3,4,75.0,48,0,0,0,0,0,2,2,1,2.0,2.0,0.0%,2002,7,k
20,Mike Vanderjagt (FA),1,2,50.0,41,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,7,k
21,Gary Anderson (FA),0,0,0.0,0,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,7,k
22,Olindo Mare (FA),1,1,100.0,42,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,7,k
23,Hayden Epstein (FA),1,2,50.0,22,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,7,k
24,Martin Gramatica (FA),1,2,50.0,48,0,0,0,0,0,1,1,1,1.0,1.0,0.0%,2002,7,k
25,Reginald Swinton (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,7,k
26,Michael Husted (FA),0,0,0.0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,7,k
27,Bill Gramatica (FA),3,6,50.0,41,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2002,7,k
