time/total_timesteps,params/n_steps,params/batch_size,params/sde_sample_freq,params/clip_range_vf,params/clip_range,rollout/ep_len_mean,time/fps,params/device,rollout/ep_rew_mean,params/normalize_advantage,params/seed,params/ent_coef,params/n_epochs,params/gae_lambda,params/learning_rate,params/policy,params/verbose,time/iterations,time/time_elapsed,params/max_grad_norm,params/target_kl,params/policy_kwargs,params/_init_setup_model,params/gamma,params/vf_coef,params/stats_window_size,params/use_sde,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/n_updates,train/clip_fraction,train/loss,train/approx_kl,train/explained_variance,train/clip_range,train/value_loss,mean_reward,eval/mean_reward,eval/mean_ep_length
1380,,,,,,15.0,13,,-0.3460275217391305,,,,,,,,,23,104,,,,,,,,,-1.7482304970423381,-0.0255127393397399,9.996700000000001e-05,330,0.0900000013411045,-0.0436946265399456,0.016043423,0.21714282035827637,0.2,0.16211026559273403,,,
1440,,,,,,15.0,13,,-0.3466382395833334,,,,,,,,,24,108,,,,,,,,,-1.7350182056427002,-0.008653512538229553,9.99655e-05,345,0.021111111715435983,0.028061695396900177,0.0063656,-0.41144073009490967,0.2,0.2585479776064555,,,
1500,,,,,,15.0,13,,-0.34823109,,,,,,,,,25,113,,,,,,,,,-1.7201786359151205,-0.011328332711838958,9.9964e-05,360,0.0,0.0057826414704322815,0.0019727875,-0.03670680522918701,0.2,0.21906912724177044,,,
1560,,,,,,15.0,13,,-0.3491032300000001,,,,,,,,,26,118,,,,,,,,,-1.7212892850240071,-0.021527891568322164,9.99625e-05,375,0.06777778007090092,-0.0005293712019920349,0.008093951,-0.10771894454956055,0.2,0.20793575048446655,,,
1620,,,,,,15.0,13,,-0.31988239,,,,,,,,,27,123,,,,,,,,,-1.7287089347839355,-0.0232342835747275,9.9961e-05,390,0.05111111290752888,0.0041579753160476685,0.010175779,-0.2477879524230957,0.2,0.26069197754065193,,,
1680,,,,,,15.0,13,,-0.32071023000000004,,,,,,,,,28,127,,,,,,,,,-1.750974917411804,-0.00586499129971747,9.99595e-05,405,0.003333333507180214,0.026242695748806,0.0028972686,-0.09497976303100586,0.2,0.23553300599257151,,,
1740,,,,,,15.0,13,,-0.30826369,,,,,,,,,29,132,,,,,,,,,-1.7375350952148438,-0.01330196635525181,9.995800000000001e-05,420,0.008888889104127884,-7.281452417373657e-05,0.004949842,-0.057884931564331055,0.2,0.20211926698684693,,,
1800,,,,,,15.0,13,,-0.30949339000000003,,,,,,,,,30,137,,,,,,,,,-1.743193022410075,-0.0064151483003257685,9.995650000000001e-05,435,0.0011111111690600714,0.03471256047487259,0.005334608,-0.11049973964691162,0.2,0.250739786028862,,,
1860,,,,,,15.0,13,,-0.29241203,,,,,,,,,31,141,,,,,,,,,-1.747458529472351,-0.003478005773892316,9.9955e-05,450,0.02222222238779068,-0.05058614909648895,0.003911206,0.41141295433044434,0.2,0.060376766013602416,,,
1920,,,,,,15.0,13,,-0.29456659,,,,,,,,,32,146,,,,,,,,,-1.7630565563837688,-0.0027103735289953097,9.99535e-05,465,0.0,0.06584477424621582,0.0012255063,-0.13286292552947998,0.2,0.32146676381429035,,,
1980,,,,,,15.0,13,,-0.31035542,,,,,,,,,33,151,,,,,,,,,-1.766069483757019,-0.005931684479971129,9.995200000000001e-05,480,0.0,0.017321333289146423,0.002133422,-0.10793411731719971,0.2,0.20723128020763398,,,
2040,,,,,,15.0,13,,-0.30977232,,,,,,,,,34,156,,,,,,,,,-1.7548620700836182,-0.011349449766826562,9.99505e-05,495,0.012222222487131755,-0.07288341224193573,0.008818406,0.9217314645648003,0.2,0.04749792385846376,-0.01843985,,
2100,,,,,,15.0,13,,-0.31084761000000005,,,,,,,,,35,160,,,,,,,,,-1.7232264757156373,-0.007162922876693045,9.9949e-05,510,0.007777777810891469,0.020433269441127777,0.005565236,-0.21899092197418213,0.2,0.2149971048037211,,,
2160,,,,,,15.0,13,,-0.29830397999999997,,,,,,,,,36,165,,,,,,,,,-1.6677949825922649,-0.01965388414346497,9.99475e-05,525,0.04888888994852702,-0.0835423469543457,0.013253153,0.3192442059516907,0.2,0.03004649169743061,,,
2220,,,,,,15.0,13,,-0.29788923000000006,,,,,,,,,37,169,,,,,,,,,-1.616299533843994,-0.009419438040931757,9.994600000000001e-05,540,0.028888889774680137,0.007310129702091217,0.011173536,0.0024380087852478027,0.2,0.20145120819409687,,,
2280,,,,,,15.0,13,,-0.31021434,,,,,,,,,38,173,,,,,,,,,-1.6794601678848267,-0.019187668062470447,9.994450000000001e-05,555,0.08333333416117562,0.02229863405227661,0.017017288,0.13949048519134521,0.2,0.2593347281217575,,,
2340,,,,,,15.0,13,,-0.3245539099999999,,,,,,,,,39,177,,,,,,,,,-1.7378013253211975,-0.01377326644336172,9.9943e-05,570,0.11666666958481073,0.019299522042274475,0.015387235,0.0008789300918579102,0.2,0.21218562573194505,,,
2400,,,,,,15.0,13,,-0.32344259999999997,,,,,,,,,40,182,,,,,,,,,-1.7591005245844522,-0.02300994504967496,9.99415e-05,585,0.06333333514630794,0.012377731502056122,0.0092433775,-0.012366414070129395,0.2,0.23667129178841909,,,
2460,,,,,,15.0,13,,-0.29684949000000005,,,,,,,,,41,186,,,,,,,,,-1.7498100121816,-0.007993637686853993,9.994000000000001e-05,600,0.0,0.01854442059993744,0.0029798348,-0.03580117225646973,0.2,0.20723662972450257,,,
2520,,,,,,15.0,13,,-0.2825065,,,,,,,,,42,190,,,,,,,,,-1.7377055724461874,-0.009592663132611475,9.99385e-05,615,0.0077777780592441555,0.023374296724796295,0.006174198,-0.0469433069229126,0.2,0.24009094536304473,,,
2580,,,,,,15.0,13,,-0.25309756,,,,,,,,,43,194,,,,,,,,,-1.7078186988830566,-0.015115405478928541,9.9937e-05,630,0.1388888920346896,0.03086560219526291,0.013581602,0.0014635920524597168,0.2,0.23618003825346628,,,
2640,,,,,,15.0,13,,-0.25408533,,,,,,,,,44,199,,,,,,,,,-1.6972951889038086,-0.016906614279400323,9.99355e-05,645,0.045555556565523146,0.014193199574947357,0.0124621205,0.03152203559875488,0.2,0.22368015746275585,,,
2700,,,,,,15.0,13,,-0.23792451000000003,,,,,,,,,45,203,,,,,,,,,-1.6448375384012859,-0.0032217325866478554,9.993400000000001e-05,660,0.0,-0.04100877791643143,0.0041300515,0.5206152200698853,0.2,0.10719158376256625,,,
2760,,,,,,15.0,13,,-0.25091574999999994,,,,,,,,,46,207,,,,,,,,,-1.6014440695444743,-0.008264493611641182,9.993250000000001e-05,675,0.0,0.0300159752368927,0.0022794167,-0.30124425888061523,0.2,0.43347986936569216,,,
2820,,,,,,15.0,13,,-0.26414821,,,,,,,,,47,212,,,,,,,,,-1.566246517499288,-0.00020796238784299704,9.9931e-05,690,0.0,0.03951478749513626,0.0011439293,0.07127410173416138,0.2,0.2697070668141047,,,
2880,,,,,,15.0,13,,-0.30705578999999994,,,,,,,,,48,216,,,,,,,,,-1.5683489322662354,-0.010119322725415714,9.99295e-05,705,0.01777777833243211,-0.06190546602010727,0.0069826553,0.8420878350734711,0.2,0.024828235525637864,,,
2940,,,,,,15.0,13,,-0.32087078999999996,,,,,,,,,49,220,,,,,,,,,-1.6092844274308946,-0.017306063593261763,9.9928e-05,720,0.07407407379812664,-0.07850746065378189,0.01534213,0.546947717666626,0.2,0.011315799887395568,,,
3000,,,,,,15.0,13,,-0.3333621,,,,,,,,,50,224,,,,,,,,,-1.6372801860173543,-0.01086577411258115,9.99265e-05,735,0.08703703764412138,-0.06740642338991165,0.01535782,0.8272616118192673,0.2,0.003876724746078253,-0.024716424,,
3060,,,,,,15.0,13,,-0.31797356,,,,,,,,,51,228,,,,,,,,,-1.6480318903923035,-0.01935378881559391,9.9925e-05,750,0.09375000139698386,-0.08319838345050812,0.021677488,0.666645348072052,0.2,0.004344612796558067,,,
3120,,,,,,15.0,13,,-0.34666975,,,,,,,,,52,233,,,,,,,,,-1.6370704094568889,0.0014988872082258335,9.99235e-05,765,0.09888889119029046,0.0239650160074234,0.005681761,-0.06775271892547607,0.2,0.4153411626815796,,,
3180,,,,,,15.0,13,,-0.33160670000000003,,,,,,,,,53,238,,,,,,,,,-1.61484797000885,-0.008536349964431622,9.992200000000001e-05,780,0.09666666934887568,-0.009949848055839539,0.014214715,-0.12481439113616943,0.2,0.28544845630725224,,,
3240,,,,,,15.0,13,,-0.3445167600000001,,,,,,,,,54,242,,,,,,,,,-1.6011598587036133,-0.015423721454830642,9.992050000000001e-05,795,0.04333333522081375,0.0388876348733902,0.009783966,-0.09181463718414307,0.2,0.2869682788848877,,,
3300,,,,,,15.0,13,,-0.32997199,,,,,,,,,55,247,,,,,,,,,-1.575820263226827,-0.013019609117828719,9.991900000000002e-05,810,0.06333333464960257,0.01361016184091568,0.012800471,0.035456061363220215,0.2,0.2163113643725713,,,
3360,,,,,,15.0,13,,-0.34500915,,,,,,,,,56,251,,,,,,,,,-1.5758163770039877,-0.01889624533967833,9.99175e-05,825,0.04333333472410838,-0.00524815171957016,0.010021546,0.04752159118652344,0.2,0.172757026553154,,,
3420,,,,,,15.0,13,,-0.34511800000000004,,,,,,,,,57,255,,,,,,,,,-1.6066219727198283,-0.020416454549671906,9.9916e-05,840,0.022222222884496053,-0.01028260588645935,0.008680244,0.10368990898132324,0.2,0.1703687181075414,,,
3480,,,,,,15.0,13,,-0.32872604000000005,,,,,,,,,58,260,,,,,,,,,-1.5934690713882447,-0.008638662562783183,9.99145e-05,855,0.0,0.019497744739055634,0.0046628783,-0.050980329513549805,0.2,0.19169205526510874,,,
3540,,,,,,15.0,13,,-0.32905836999999993,,,,,,,,,59,264,,,,,,,,,-1.5714266459147135,-0.02009508288568943,9.9913e-05,870,0.03444444512327512,-0.0023187249898910522,0.0096870605,0.02099478244781494,0.2,0.17884908616542816,,,
3600,,,,,,15.0,13,,-0.32778636,,,,,,,,,60,268,,,,,,,,,-1.568913189570109,-0.01201416686878171,9.991150000000001e-05,885,0.07777778021991252,0.008339017629623413,0.011199861,0.06133162975311279,0.2,0.17875959277153014,,,
3660,,,,,,15.0,13,,-0.32578024,,,,,,,,,61,272,,,,,,,,,-1.5360241333643596,-0.011864769224387927,9.991000000000001e-05,900,0.05555555671453476,-0.06511593610048294,0.007411627,0.5884536802768707,0.2,0.027922401049484808,,,
3720,,,,,,15.0,13,,-0.3553531900000001,,,,,,,,,62,277,,,,,,,,,-1.5816418011983235,-0.015742948649632223,9.990850000000001e-05,915,0.054444445918003716,-0.0015152692794799805,0.011385093,0.0012620091438293457,0.2,0.18339694738388063,,,
3780,,,,,,15.0,13,,-0.3713244300000001,,,,,,,,,63,281,,,,,,,,,-1.5903338034947714,-0.012558249730953113,9.9907e-05,930,0.01888888937731584,-0.07305373251438141,0.006718267,0.6440771818161011,0.2,0.016493222614129385,,,
3840,,,,,,15.0,13,,-0.3693199300000001,,,,,,,,,64,285,,,,,,,,,-1.5837278286616008,-0.007436525333970323,9.990550000000001e-05,945,0.013333333780368169,-0.06639914214611053,0.003551348,0.6632512807846069,0.2,0.007140038969616095,,,
